blockname,0
大盘价值,"['000002', '000069', '000333', '000617', '000651', '000708', '000776', '000895', '001979', '003816', '300498', '600000', '600011', '600015', '600016', '600019', '600023', '600025', '600028', '600036', '600048', '600050', '600104', '600383', '600585', '600606', '600660', '600741', '600837', '600886', '600900', '600919', '600926', '600958', '601006', '601009', '601088', '601155', '601166', '601169', '601186', '601211', '601225', '601229', '601288', '601318', '601328', '601336', '601390', '601398', '601601', '601618', '601628', '601658', '601668', '601669', '601800', '601818', '601857', '601881', '601916', '601919', '601939', '601985', '601988', '601998']"
大盘成长,"['000568', '000661', '000708', '000858', '002007', '002230', '002236', '002241', '002271', '002371', '002415', '002475', '002493', '002555', '002600', '002602', '002607', '002714', '002812', '002841', '002916', '300003', '300014', '300015', '300033', '300059', '300122', '300124', '300142', '300274', '300347', '300433', '300454', '300498', '300601', '300750', '300759', '300760', '300782', '300896', '600025', '600031', '600346', '600436', '600519', '600570', '600585', '600588', '600745', '600809', '601012', '601066', '601100', '601155', '601225', '601377', '601888', '601919', '603160', '603195', '603259', '603288', '603392', '603501', '603986', '603993']"
大盘股,"['600919', '601658', '601328', '601628', '300122', '601390', '600048', '000166', '003816', '601919', '600438', '300782', '601238', '601166', '603799', '601288', '002311', '300454', '000895', '600104', '601398', '601601', '601818', '601888', '688111', '002475', '601989', '600028', '002230', '300059', '601225', '300433', '601998', '601229', '603259', '601857', '002594', '300896', '002714', '000661', '000596', '600989', '603501', '600196', '601100', '300750', '688981', '002050', '601318', '002352', '600436', '688363', '000001', '600745', '000333', '600276', '600406', '300015', '002812', '600016', '600019', '601012', '600900', '601899', '300274', '603392', '600999', '601668', '000625', '601633', '001979', '002304', '600660', '601169', '600760', '688396', '600837', '000002', '603993', '300124', '600588', '300347', '600309', '601319', '603986', '002027', '300014', '600015', '000776', '601766', '600887', '002736', '300999', '603195', '601066', '000858', '601186', '600030', '601006', '002241', '601985', '002493', '000568', '601009', '600000', '000725', '002415', '002142', '002179', '002371', '002129', '601088', '600036', '600690', '002460', '688036', '601138', '000100', '600031', '000538', '601360', '600018', '600050', '600893', '601688', '600519', '600703', '000651', '600585', '300759', '000708', '000063', '601988', '300498', '600809', '002271', '601816', '601336', '600346', '603288', '600025', '000338', '300760', '601211', '601995', '300450', '002821', '603486', '000301', '600845', '300142', '300979', '002049', '002466', '300919', '002709', '603659', '603806', '600905', '688012', '603260', '600111', '002459', '600010', '688599', '000768', '688303', '601800', '601877', '300316', '601669', '600958', '600150', '000792', '600926', '601127', '601728', '600009', '600089', '600570', '600460', '300957', '601111', '600029', '600741', '002938', '300207', '688008', '000877', '300661', '300413', '688728', '603290', '002074', '600702', '601868', '300408', '002920', '000799', '600011']"
天然气,"['000010', '000027', '000039', '000040', '000407', '000421', '000422', '000507', '000543', '000554', '000593', '000669', '000683', '000685', '000723', '000731', '000852', '000883', '000968', '002053', '002080', '002221', '002259', '002267', '002271', '002353', '002377', '002430', '002443', '002478', '002490', '002524', '002554', '002573', '002601', '002629', '002639', '002682', '002700', '002828', '002849', '002911', '002971', '300008', '300084', '300125', '300157', '300164', '300191', '300228', '300262', '300332', '300335', '300370', '300435', '300471', '300483', '300540', '300746', '300985', '600026', '600028', '600098', '600101', '600207', '600248', '600256', '600323', '600333', '600339', '600461', '600501', '600509', '600583', '600617', '600635', '600642', '600644', '600681', '600691', '600755', '600759', '600777', '600803', '600856', '600860', '600871', '600903', '600917', '600956', '600969', '600979', '601015', '601139', '601216', '601798', '601808', '601857', '601872', '601969', '603003', '603053', '603077', '603080', '603169', '603223', '603227', '603318', '603393', '603619', '603689', '603706', '603727', '603800', '605090', '605169', '605368', '688106', '831010']"
央企100,"['000021', '000050', '000066', '000069', '000166', '000547', '000617', '000625', '000708', '000768', '000786', '000799', '000800', '001979', '002013', '002080', '002179', '002202', '002405', '002415', '002916', '002939', '003035', '003816', '600011', '600019', '600025', '600028', '600029', '600030', '600036', '600038', '600048', '600050', '600061', '600115', '600118', '600150', '600161', '600176', '600299', '600372', '600390', '600406', '600482', '600486', '600489', '600517', '600536', '600705', '600760', '600795', '600845', '600862', '600886', '600893', '600900', '600999', '601006', '601088', '601111', '601186', '601198', '601236', '601288', '601319', '601328', '601336', '601390', '601398', '601600', '601601', '601618', '601628', '601658', '601668', '601669', '601696', '601698', '601766', '601788', '601800', '601808', '601816', '601818', '601857', '601868', '601872', '601881', '601888', '601898', '601919', '601939', '601985', '601988', '601989', '601995', '601998', '688009', '688396']"
央企改革,"['000008', '000016', '000021', '000026', '000031', '000032', '000050', '000059', '000065', '000066', '000099', '000151', '000166', '000400', '000410', '000411', '000423', '000503', '000519', '000537', '000547', '000553', '000554', '000566', '000617', '000625', '000629', '000635', '000652', '000657', '000663', '000666', '000677', '000687', '000698', '000708', '000717', '000720', '000727', '000731', '000733', '000736', '000738', '000751', '000758', '000762', '000767', '000768', '000777', '000780', '000798', '000799', '000800', '000807', '000815', '000819', '000825', '000830', '000831', '000839', '000851', '000852', '000862', '000875', '000877', '000878', '000881', '000883', '000897', '000898', '000901', '000920', '000922', '000925', '000927', '000928', '000930', '000958', '000962', '000966', '000969', '000970', '000998', '000999', '001213', '001872', '001914', '001965', '001979', '002013', '002017', '002025', '002037', '002046', '002049', '002051', '002057', '002059', '002063', '002080', '002106', '002116', '002128', '002140', '002179', '002189', '002190', '002205', '002222', '002226', '002232', '002246', '002258', '002265', '002268', '002281', '002302', '002305', '002320', '002338', '002368', '002389', '002401', '002415', '002419', '002423', '002427', '002462', '002544', '002643', '002732', '002777', '002786', '002819', '002916', '002935', '002939', '003009', '003031', '003035', '003816', '300024', '300034', '300073', '300087', '300105', '300114', '300140', '300188', '300197', '300212', '300334', '300374', '300388', '300396', '300425', '300446', '300455', '300523', '300557', '300678', '300747', '300788', '300797', '300847', '300962', '301039', '301058', '600006', '600011', '600019', '600021', '600025', '600026', '600028', '600029', '600030', '600037', '600038', '600048', '600050', '600056', '600058', '600062', '600072', '600081', '600088', '600099', '600100', '600101', '600115', '600116', '600118', '600125', '600129', '600131', '600138', '600150', '600151', '600158', '600171', '600178', '600184', '600195', '600198', '600206', '600230', '600236', '600262', '600271', '600275', '600283', '600292', '600299', '600312', '600313', '600316', '600320', '600328', '600335', '600339', '600343', '600345', '600372', '600378', '600379', '600390', '600391', '600392', '600406', '600409', '600428', '600433', '600435', '600444', '600452', '600458', '600469', '600476', '600480', '600482', '600486', '600489', '600495', '600497', '600498', '600500', '600501', '600505', '600508', '600517', '600523', '600528', '600536', '600550', '600560', '600562', '600579', '600581', '600582', '600583', '600598', '600610', '600622', '600636', '600647', '600657', '600685', '600688', '600698', '600705', '600707', '600710', '600720', '600737', '600742', '600744', '600750', '600760', '600764', '600765', '600775', '600776', '600787', '600795', '600797', '600808', '600830', '600845', '600850', '600855', '600862', '600863', '600871', '600875', '600877', '600879', '600893', '600900', '600916', '600961', '600963', '600967', '600968', '600970', '600973', '600977', '600980', '600995', '601005', '601006', '601016', '601038', '601068', '601088', '601106', '601111', '601117', '601179', '601186', '601226', '601236', '601319', '601333', '601336', '601390', '601399', '601598', '601600', '601611', '601618', '601628', '601668', '601669', '601766', '601798', '601800', '601808', '601816', '601857', '601858', '601866', '601868', '601872', '601880', '601881', '601888', '601898', '601919', '601949', '601965', '601968', '601975', '601985', '601989', '601991', '601995', '603000', '603013', '603026', '603029', '603060', '603126', '603128', '603698', '603860', '603927', '688009', '688037', '688128', '688187', '688396', '688425', '688456', '688568', '688569', '688586', '688707', '688779']"
央视50,"['000002', '000049', '000333', '000423', '000538', '000596', '000651', '000726', '000848', '000895', '002008', '002038', '002230', '002294', '002410', '002415', '300003', '300024', '300070', '300124', '300136', '300183', '300244', '600016', '600085', '600104', '600196', '600398', '600519', '600522', '600535', '600563', '600600', '600660', '600690', '600887', '601088', '601166', '601318', '601398', '601601', '601607', '601939', '601988', '600585', '002120', '600276', '600036', '603160', '603986']"
婴童概念,"['600398', '603557', '002656', '603615', '000915', '300995', '300703', '002308', '603439', '603839', '605009', '300086', '300106', '300279', '003006', '605199', '300979', '002570', '002699', '300314', '300723', '002172', '603518', '301009', '002348', '300955', '603877', '002612', '300994', '600429', '002435', '600976', '002737', '002621', '001206', '002269', '600327', '002875', '002563', '600315', '600735', '603168', '603511', '002762', '603214', '002292', '002083', '000705', '603398', '600597', '000607', '600981', '002024', '300957', '300043', '002293', '600824', '603085', '300199', '300901', '002862', '600393', '300753', '300888', '300049', '000650', '002127', '002173', '605388', '600887', '688089', '300430', '300482', '300206', '300783', '301004', '002004', '301078', '300329']"
字节跳动,"['000038', '000070', '000607', '000676', '000721', '000793', '000829', '000977', '002024', '002103', '002115', '002124', '002131', '002137', '002141', '002148', '002168', '002174', '002195', '002277', '002279', '002291', '002354', '002400', '002425', '002445', '002453', '002526', '002528', '002591', '002599', '002605', '002649', '002654', '002699', '002712', '002717', '002757', '002799', '002803', '002995', '300038', '300043', '300044', '300058', '300063', '300182', '300231', '300242', '300280', '300292', '300299', '300343', '300364', '300382', '300383', '300392', '300418', '300419', '300459', '300465', '300467', '300541', '300612', '300634', '300766', '300781', '300925', '600070', '600242', '600859', '600986', '603123', '603533', '603598', '603600', '603608', '603825', '605168', '688365']"
安防服务,"['000032', '000586', '000665', '000676', '000687', '000836', '000909', '000938', '000997', '002090', '002121', '002139', '002152', '002212', '002214', '002230', '002236', '002253', '002273', '002298', '002373', '002401', '002414', '002415', '002421', '002444', '002474', '002528', '002535', '002583', '002609', '002632', '002654', '002835', '002960', '002962', '003004', '003005', '300014', '300020', '300053', '300074', '300075', '300076', '300078', '300093', '300098', '300101', '300123', '300136', '300150', '300155', '300162', '300167', '300168', '300184', '300188', '300211', '300212', '300213', '300270', '300275', '300287', '300297', '300310', '300352', '300367', '300370', '300397', '300407', '300420', '300423', '300448', '300449', '300460', '300523', '300588', '300603', '300613', '300667', '300672', '300691', '300701', '300790', '300884', '301042', '430198', '600071', '600100', '600167', '600260', '600565', '600580', '600602', '600654', '600689', '600728', '600734', '600770', '600804', '600855', '600990', '601360', '603208', '603508', '603516', '603660', '603680', '603728', '603819', '605118', '688002', '688010', '688038', '688039', '688081', '688607', '688619']"
定增股,"['000010', '000017', '000032', '000063', '000066', '000099', '000151', '000155', '000401', '000546', '000570', '000596', '000668', '000725', '000737', '000738', '000755', '000803', '000807', '000821', '000837', '000851', '000852', '000877', '000911', '000949', '001896', '002015', '002020', '002025', '002026', '002042', '002048', '002065', '002079', '002092', '002100', '002129', '002135', '002154', '002162', '002163', '002165', '002166', '002179', '002180', '002183', '002185', '002187', '002197', '002218', '002226', '002230', '002240', '002261', '002264', '002273', '002291', '002292', '002294', '002297', '002330', '002347', '002352', '002361', '002371', '002389', '002390', '002409', '002436', '002438', '002452', '002453', '002456', '002520', '002551', '002570', '002576', '002593', '002623', '002627', '002639', '002646', '002688', '002709', '002717', '002726', '002728', '002747', '002760', '002780', '002789', '002792', '002800', '002805', '002811', '002819', '002837', '002852', '002858', '002868', '002892', '002908', '002915', '002921', '002932', '002947', '002967', '300007', '300036', '300073', '300080', '300081', '300087', '300119', '300124', '300155', '300166', '300207', '300212', '300214', '300217', '300222', '300223', '300239', '300274', '300284', '300289', '300293', '300294', '300308', '300319', '300331', '300344', '300346', '300366', '300397', '300404', '300408', '300413', '300415', '300422', '300428', '300436', '300447', '300450', '300456', '300476', '300479', '300480', '300481', '300491', '300494', '300501', '300507', '300538', '300569', '300578', '300585', '300586', '300587', '300589', '300590', '300592', '300604', '300617', '300619', '300627', '300634', '300643', '300649', '300650', '300662', '300669', '300678', '300683', '300687', '300696', '300706', '300715', '300729', '300745', '300757', '300768', '300786', '300790', '300793', '300825', '300850', '300919', '600027', '600081', '600095', '600098', '600100', '600110', '600115', '600120', '600152', '600155', '600186', '600196', '600218', '600234', '600258', '600259', '600306', '600310', '600418', '600419', '600433', '600452', '600460', '600538', '600577', '600588', '600597', '600619', '600626', '600629', '600662', '600679', '600706', '600735', '600753', '600765', '600774', '600796', '600804', '600821', '600841', '600843', '600845', '600859', '600876', '600877', '600882', '600884', '600886', '600887', '600898', '600929', '600956', '600970', '600975', '601008', '601011', '601117', '601127', '601198', '601233', '601456', '601500', '601515', '601599', '601828', '601866', '601880', '601956', '601969', '603006', '603011', '603020', '603030', '603038', '603042', '603085', '603115', '603129', '603158', '603166', '603168', '603178', '603180', '603189', '603260', '603290', '603337', '603338', '603345', '603363', '603386', '603393', '603396', '603477', '603496', '603530', '603535', '603565', '603567', '603577', '603590', '603595', '603612', '603616', '603626', '603663', '603668', '603693', '603717', '603727', '603738', '603797', '603808', '603813', '603815', '603825', '603843', '603859', '603871', '603883', '603890', '603926', '603956', '603985', '605018', '605199', '605358', '605377', '688012', '688015', '688023', '688066', '688186', '688339']"
定增预案,"['000016', '000420', '000505', '000586', '000591', '000595', '000712', '000716', '000752', '000780', '000782', '000796', '000862', '000878', '000905', '000920', '000959', '000983', '001872', '002011', '002037', '002043', '002044', '002052', '002096', '002108', '002140', '002156', '002160', '002198', '002245', '002254', '002270', '002272', '002281', '002355', '002360', '002407', '002459', '002468', '002472', '002479', '002513', '002548', '002552', '002559', '002569', '002617', '002669', '002675', '002706', '002714', '002715', '002731', '002741', '002785', '002799', '002812', '002838', '002840', '002848', '002849', '002870', '002916', '002939', '002943', '002993', '003038', '300021', '300035', '300051', '300055', '300069', '300074', '300077', '300083', '300094', '300099', '300129', '300160', '300163', '300164', '300168', '300182', '300205', '300220', '300254', '300264', '300302', '300316', '300338', '300345', '300353', '300382', '300393', '300421', '300438', '300443', '300449', '300461', '300489', '300506', '300530', '300537', '300561', '300568', '300583', '300597', '300599', '300612', '300616', '300631', '300655', '300660', '300680', '300681', '300710', '300712', '300716', '300752', '300761', '300765', '300769', '300777', '300792', '300842', '300887', '600009', '600029', '600039', '600055', '600063', '600071', '600109', '600136', '600200', '600201', '600207', '600212', '600217', '600281', '600298', '600305', '600318', '600328', '600338', '600361', '600370', '600480', '600481', '600526', '600529', '600539', '600552', '600703', '600705', '600711', '600722', '600742', '600744', '600803', '600811', '600816', '600861', '600872', '600874', '600908', '600980', '600995', '601018', '601021', '601069', '601100', '601228', '601339', '601606', '601966', '603033', '603045', '603078', '603133', '603187', '603223', '603301', '603313', '603378', '603392', '603489', '603517', '603566', '603588', '603598', '603603', '603633', '603679', '603703', '603725', '603779', '603817', '603885', '603897', '603906', '605050', '605111', '605266', '605286', '605333', '688020', '688028', '688133', '688135', '688266', '688277', '688368', '688388', '688516', '688567', '688568', '688589', '688598', '688661']"
密集调研,"['000636', '000970', '002028', '002158', '002203', '002326', '002372', '002385', '002402', '002411', '002452', '002456', '002507', '002650', '002805', '002867', '002908', '300296', '300382', '300474', '300498', '300633', '300979', '603386', '688077', '688139', '688256', '688305', '688617', '688668']"
富时A50,"['000001', '000002', '000333', '000568', '000651', '000858', '002304', '002352', '002475', '002594', '002714', '300015', '300059', '300122', '300750', '300760', '300999', '600000', '600028', '600030', '600031', '600036', '600104', '600276', '600309', '600519', '600585', '600809', '600887', '600900', '601012', '601066', '601088', '601138', '601166', '601288', '601318', '601328', '601398', '601601', '601628', '601816', '601857', '601888', '601899', '601939', '601988', '601998', '603259', '603288']"
小盘价值,"['000012', '000028', '000035', '000039', '000060', '000090', '000156', '000401', '000402', '000488', '000528', '000537', '000560', '000581', '000582', '000591', '000598', '000600', '000623', '000627', '000672', '000683', '000685', '000690', '000717', '000718', '000778', '000830', '000869', '000877', '000887', '000902', '000921', '000933', '000937', '000951', '000959', '000967', '000983', '000990', '002002', '002004', '002010', '002048', '002091', '002092', '002100', '002110', '002124', '002128', '002131', '002191', '002233', '002244', '002408', '002419', '002423', '002434', '002440', '002608', '002701', '002807', '002839', '002911', '002936', '002948', '600008', '600021', '600022', '600026', '600039', '600056', '600060', '600062', '600064', '600094', '600126', '600141', '600157', '600166', '600216', '600252', '600256', '600266', '600273', '600282', '600307', '600312', '600325', '600339', '600348', '600373', '600376', '600388', '600395', '600409', '600466', '600497', '600500', '600507', '600528', '600566', '600567', '600578', '600582', '600612', '600623', '600639', '600643', '600648', '600649', '600657', '600675', '600685', '600704', '600717', '600729', '600740', '600755', '600782', '600787', '600808', '600811', '600820', '600823', '600827', '600835', '600839', '600863', '600873', '600881', '600901', '600908', '600928', '600956', '600959', '600970', '600985', '601000', '601003', '601005', '601016', '601058', '601098', '601128', '601139', '601158', '601163', '601222', '601311', '601333', '601598', '601666', '601699', '601717', '601801', '601860', '601866', '601880', '601928', '601952', '601958', '603198', '603225', '603587', '603609']"
小盘成长,"['000016', '000034', '000035', '000039', '000062', '000090', '000403', '000517', '000528', '000537', '000560', '000629', '000672', '000690', '000717', '000830', '000831', '000877', '000921', '000933', '000935', '000951', '000959', '000967', '000990', '002002', '002010', '002030', '002048', '002100', '002110', '002124', '002131', '002138', '002155', '002216', '002233', '002244', '002302', '002351', '002382', '002387', '002389', '002399', '002408', '002409', '002429', '002430', '002434', '002440', '002458', '002511', '002541', '002583', '002595', '002597', '002626', '002635', '002653', '002675', '002677', '002706', '002745', '002755', '002831', '002867', '002912', '002950', '002959', '002967', '002985', '300001', '300058', '300073', '300118', '300212', '300236', '300244', '300271', '300294', '300346', '300348', '300451', '300463', '300476', '300502', '300567', '300602', '300616', '300618', '300630', '300666', '300674', '300682', '300685', '300702', '300725', '300726', '300747', '300748', '300751', '300761', '300763', '300768', '300770', '300777', '300815', '300841', '600026', '600039', '600094', '600116', '600171', '600206', '600256', '600282', '600307', '600325', '600330', '600348', '600392', '600395', '600466', '600507', '600549', '600567', '600645', '600657', '600667', '600673', '600711', '600728', '600732', '600737', '600740', '600755', '600782', '600881', '600966', '600984', '600988', '601003', '601005', '601311', '601717', '603005', '603039', '603127', '603129', '603218', '603225', '603236', '603267', '603305', '603337', '603489', '603583', '603587', '603609', '603613', '603650', '603678', '603713', '603719', '603868', '605111']"
小米概念,"['000049', '000050', '000100', '000701', '000725', '000727', '000823', '000889', '002008', '002105', '002106', '002131', '002137', '002138', '002148', '002217', '002241', '002273', '002303', '002313', '002369', '002384', '002387', '002416', '002426', '002429', '002432', '002456', '002467', '002512', '002579', '002585', '002600', '002635', '002655', '002681', '002705', '002713', '002745', '002747', '002751', '002768', '002769', '002824', '002831', '002838', '002841', '002851', '002861', '002866', '002885', '002903', '002913', '002962', '002981', '002983', '002992', '002993', '003003', '003015', '003021', '300032', '300083', '300088', '300097', '300115', '300128', '300134', '300183', '300184', '300207', '300221', '300230', '300242', '300256', '300279', '300280', '300303', '300315', '300322', '300337', '300408', '300433', '300458', '300460', '300538', '300566', '300567', '300577', '300598', '300650', '300679', '300684', '300686', '300701', '300735', '300740', '300752', '300773', '300782', '300793', '300802', '300843', '300857', '300909', '300938', '300940', '300956', '300975', '300980', '300991', '300996', '301013', '600577', '600589', '600986', '601077', '601169', '603068', '603160', '603327', '603386', '603501', '603657', '603661', '603678', '603773', '688007', '688018', '688020', '688088', '688099', '688111', '688123', '688157', '688169', '688286', '688368', '688386', '688521', '688595', '688601', '688608', '688665', '689009', '836720']"
工业互联,"['000410', '000938', '002009', '002056', '002063', '002158', '002169', '002184', '002212', '002217', '002230', '002232', '002364', '002368', '002380', '002386', '002439', '002442', '002757', '002912', '002917', '002925', '003019', '300002', '300007', '300068', '300098', '300124', '300161', '300166', '300170', '300213', '300226', '300245', '300297', '300310', '300324', '300350', '300353', '300369', '300370', '300378', '300383', '300423', '300457', '300466', '300508', '300532', '300607', '300682', '300687', '300757', '300768', '300939', '300982', '600031', '600172', '600355', '600418', '600487', '600522', '600560', '600588', '600718', '600845', '601138', '601869', '603015', '603019', '603083', '603100', '603203', '603613', '603803', '603859', '603956', '605277', '688012', '688023', '688060', '688080', '688618', '688777']"
工业大麻,"['000038', '000523', '000538', '000650', '000766', '000806', '000813', '000837', '000850', '000955', '000990', '002038', '002083', '002118', '002166', '002172', '002198', '002215', '002224', '002265', '002303', '002337', '002355', '002370', '002390', '002424', '002565', '002592', '002640', '002701', '002750', '002923', '300021', '300022', '300125', '300132', '300138', '300165', '300175', '300194', '300199', '300237', '300261', '300267', '300381', '300430', '300469', '300482', '300487', '300755', '600096', '600177', '600203', '600232', '600239', '600298', '600356', '600422', '600535', '600572', '600664', '600800', '600805', '600829', '600963', '600981', '601068', '601515', '601718', '603003', '603058', '603716', '603896', '603963', '603998']"
工业母机,"['000410', '000837', '002008', '002026', '002031', '002122', '002248', '002270', '002520', '002559', '002685', '002747', '002903', '002943', '003025', '300083', '300112', '300124', '300161', '300353', '300441', '300488', '300503', '300508', '300606', '300607', '300780', '300809', '300946', '300971', '301029', '301058', '600243', '600862', '600960', '601727', '601882', '603011', '603185', '688305', '688308', '688355', '688558', '688577', '688697']"
工业气体,"['000709', '000818', '000959', '000990', '002409', '002430', '002549', '002658', '002971', '300091', '300196', '300346', '300435', '300540', '600273', '600378', '600409', '600595', '600623', '600808', '600894', '600969', '601369', '603026', '603165', '688106', '688268', '688596']"
已高送转,"['002746', '002867', '300065', '300124', '300379', '300394', '300486', '300566', '300568', '300569', '300581', '300587', '300593', '300604', '300607', '300620', '300642', '300644', '300658', '300661', '300663', '300673', '300674', '300677', '300679', '300689', '300701', '300702', '300708', '300718', '300737', '300747', '300758', '300763', '300791', '300810', '300815', '300827', '300849', '300853', '300858', '300885', '300916', '300925', '300948', '300970', '300977', '300996', '600061', '600595', '603555']"
微利股,"['000034', '000420', '000554', '000597', '000608', '000712', '000716', '000737', '000766', '000797', '000803', '000812', '000851', '000901', '000926', '000955', '000996', '002033', '002153', '002198', '002239', '002268', '002297', '002308', '002331', '002333', '002342', '002343', '002354', '002418', '002431', '002446', '002494', '002510', '002620', '002642', '002717', '002762', '002855', '002902', '002981', '300057', '300070', '300093', '300107', '300141', '300149', '300169', '300188', '300239', '300330', '300352', '300491', '300536', '300637', '300683', '300694', '300805', '300810', '300839', '600011', '600037', '600052', '600076', '600107', '600128', '600249', '600318', '600355', '600448', '600538', '600540', '600653', '600683', '600699', '600749', '600751', '600758', '600770', '600778', '600780', '600825', '600868', '601106', '601212', '601500', '601519', '601595', '601777', '601929', '601991', '603003', '603023', '603390', '603602', '603609', '603861', '688039', '688058', '688286']"
微盘股,"['000014', '000017', '000023', '000416', '000419', '000430', '000526', '000548', '000554', '000573', '000586', '000590', '000593', '000605', '000608', '000610', '000619', '000622', '000632', '000637', '000668', '000678', '000679', '000691', '000692', '000695', '000702', '000715', '000721', '000798', '000856', '000890', '000929', '000953', '000978', '000985', '001202', '001211', '002069', '002098', '002103', '002112', '002133', '002134', '002144', '002150', '002159', '002193', '002199', '002205', '002207', '002209', '002211', '002231', '002247', '002278', '002289', '002290', '002295', '002316', '002336', '002337', '002343', '002347', '002348', '002357', '002370', '002403', '002417', '002486', '002492', '002494', '002495', '002513', '002591', '002615', '002633', '002652', '002659', '002660', '002671', '002682', '002691', '002693', '002694', '002696', '002715', '002718', '002725', '002740', '002767', '002769', '002771', '002775', '002781', '002787', '002789', '002796', '002800', '002808', '002809', '002816', '002817', '002820', '002826', '002828', '002830', '002836', '002843', '002848', '002849', '002855', '002856', '002857', '002861', '002862', '002864', '002868', '002871', '002873', '002875', '002877', '002883', '002888', '002890', '002893', '002898', '002899', '002910', '002917', '002921', '002952', '002981', '002999', '003003', '003004', '003007', '003017', '003023', '003033', '300013', '300022', '300025', '300056', '300074', '300084', '300086', '300106', '300108', '300126', '300163', '300164', '300167', '300169', '300175', '300210', '300235', '300254', '300270', '300275', '300282', '300295', '300321', '300330', '300335', '300345', '300380', '300387', '300399', '300417', '300449', '300478', '300509', '300521', '300528', '300534', '300535', '300539', '300553', '300554', '300555', '300557', '300564', '300584', '300588', '300594', '300597', '300606', '300609', '300611', '300612', '300621', '300626', '300635', '300637', '300640', '300644', '300649', '300652', '300654', '300665', '300668', '300669', '300675', '300700', '300703', '300716', '300717', '300736', '300743', '300749', '300753', '300779', '300789', '300796', '300807', '300808', '300823', '300826', '300836', '300845', '300849', '300897', '300899', '300972', '300984', '301004', '301024', '301043', '301052', '301057', '600051', '600082', '600099', '600107', '600128', '600137', '600148', '600149', '600156', '600159', '600192', '600202', '600212', '600213', '600232', '600235', '600243', '600250', '600272', '600287', '600302', '600322', '600355', '600356', '600358', '600421', '600444', '600448', '600455', '600463', '600476', '600493', '600520', '600539', '600543', '600560', '600561', '600573', '600605', '600630', '600647', '600678', '600689', '600692', '600697', '600706', '600712', '600719', '600749', '600768', '600769', '600778', '600791', '600796', '600833', '600838', '600857', '600883', '600889', '600892', '600992', '601007', '601798', '603021', '603022', '603029', '603030', '603036', '603041', '603042', '603059', '603086', '603089', '603117', '603133', '603139', '603159', '603161', '603183', '603196', '603199', '603221', '603226', '603238', '603268', '603269', '603286', '603311', '603316', '603320', '603321', '603322', '603329', '603332', '603335', '603356', '603388', '603389', '603499', '603536', '603559', '603578', '603580', '603598', '603602', '603615', '603616', '603629', '603656', '603677', '603679', '603685', '603696', '603709', '603721', '603725', '603773', '603790', '603798', '603810', '603813', '603828', '603829', '603838', '603860', '603880', '603895', '603903', '603937', '603955', '603958', '603963', '605033', '605155', '605255', '605298', '605303', '605318', '605398', '688004', '688013', '688038', '688067', '688081', '688090', '688096', '688118', '688129', '688156', '688178', '688215', '688218', '688260', '688309', '688367', '688379', '688466', '688501', '688517', '688528', '688555', '688557', '688565', '688616', '688618', '688659', '688679', '688681', '688701']"
成渝特区,"['000155', '000509', '000510', '000514', '000565', '000568', '000586', '000593', '000598', '000625', '000628', '000629', '000656', '000688', '000710', '000731', '000736', '000788', '000790', '000801', '000803', '000810', '000835', '000858', '000876', '000888', '000892', '000912', '000935', '000950', '001696', '002004', '002023', '002190', '002191', '002258', '002259', '002272', '002357', '002366', '002386', '002422', '002466', '002480', '002497', '002507', '002539', '002558', '002628', '002630', '002651', '002697', '002765', '300006', '300019', '300022', '300092', '300101', '300122', '300127', '300194', '300249', '300275', '600039', '600093', '600101', '600106', '600109', '600116', '600129', '600131', '600132', '600137', '600139', '600279', '600292', '600321', '600331', '600353', '600369', '600378', '600391', '600438', '600452', '600466', '600505', '600558', '600565', '600644', '600674', '600678', '600702', '600729', '600779', '600793', '600804', '600828', '600839', '600847', '600875', '600877', '600880', '600917', '600979', '601005', '601077', '601107', '601158', '601208', '601777', '601965', '603053', '603077', '603333', '603766']"
户数减少,"['000007', '000998', '002003', '002025', '002120', '002180', '002236', '002268', '002283', '002291', '002453', '002553', '002617', '002668', '002709', '002762', '002821', '002869', '002881', '002886', '002892', '002938', '002988', '300033', '300203', '300268', '300278', '300497', '300610', '300659', '300678', '300702', '300736', '300813', '300833', '300870', '430418', '430489', '600048', '600070', '600199', '600233', '600333', '600383', '600546', '600593', '600655', '600696', '600745', '600766', '601127', '601515', '601702', '603032', '603098', '603129', '603196', '603217', '603279', '603323', '603489', '603518', '603568', '603595', '603655', '603681', '603688', '603721', '603778', '603876', '603893', '603897', '603931', '603933', '603948', '603949', '603992', '605369', '605399', '688026', '688033', '688065', '688078', '688093', '688128', '688233', '688310', '688330', '688508', '688518', '688519', '688556', '689009', '830964', '831010', '831445', '833874', '834021', '837242', '838030']"
