代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,上市日期,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
300965,恒宇信通,0.69,-0.74,43.7,--  ,62.49,航空,装备制造-航空,         26.22亿,20210402,0.3,43.67,          7.18亿,通用及其他直升机显控设备,43.7,3891,1721.98,38.37,2.37,北京,0,154,43.74,44.87,43.45,43.4,1.48,3.27,44.26,1736,2155,0.81,9,6,--  ,1.31,--  ,--  ,0.16,2.99,747,5,0.0032,1,-0.88,-14.09,-5.1,-36.16,2.37,          7.18亿,27.38,115,0.93,KDJ死叉,1,2,13,0.78,3.39,0.12,1.98,-0.09,-2.61,0.58,-1.29,20220907,0.6,--  ,--  ,15.05,13.42,--  ,10.82,13.49,1.27,0.01,1.61,0.67,3.3,10.15,0.66,0.31,-0.02,0.01,-0.03,-0.02,-0.02,-0.03,2.25,-0.21,-1.12,10417,1577,6.89万,-104.37,-25.82,1.95,-127.29,39.92,0.47,-0.032㈡,22.37,16.92,3.75,-0.34,89.18,  -0.14㈡,52.71,-3.11,-2.88,0.06,122,300965,--  ,--  ,--  
300966,共同药业,-2.93,0.74,24.51,52.36,28.74,化学制药,可选消费-医药,         28.25亿,20210409,-0.74,24.51,         14.48亿,自产,24.79,8443,2089.15,37.16,1.43,湖北,0,173,25.25,25.39,24.26,25.25,1.52,4.48,24.75,4972,3471,1.43,87,4,--  ,1.77,--  ,--  ,0.59,-0.63,839,10,0.0017,-3,-5.73,-13,-18.57,-40.04,1.53,         13.54亿,47.92,45.29,0.92,空头排列,9,13,14,0,0.55,-3.92,-1.98,-2.93,-3.47,1.03,-0.95,20220826,1.15,--  ,--  ,17.26,8.18,0.5,49.66,11.68,1.78,0.28,5.49,4.2,2.13,4.09,2.68,1.99,0.29,0,0.29,0.27,0.27,0.26,2.84,-0.13,2.41,15680,3523,8.64万,-34.26,-11.34,3.45,-211.43,10.53,0.54,0.234㈡,7.1,3.55,2.46,-0.12,47.42,   3.30㈡,25.68,10.8,9.94,0.17,481,300966,--  ,--  ,--  
300967,晓鸣股份,-0.73,0.18,16.3,73.04,--  ,农业综合,日常消费-农林牧渔,         31.00亿,20210413,-0.12,16.29,         17.03亿,鸡收入,16.3,21677,3568.58,38.16,2.07,宁夏,0.03,385,16.42,16.74,16.18,16.42,0.58,3.41,16.46,13066,8611,1.52,134,62,--  ,32.62,--  ,--  ,1.05,1.57,1296,17,0.0016,-3,-7.13,-4.51,-14.75,-38.39,3.27,         10.79亿,34.81,61.1,0.84,跌破BOLL下轨,7,13,11,0,1.95,-1.46,0.24,-0.73,-2.63,0.74,-0.97,20220907,1.9,--  ,--  ,13.7,8.13,--  ,40.64,2.83,6.52,0.46,2.72,0.98,0.18,3.08,3.82,3.3,0.11,0,0.21,0.21,0.21,0.09,3.04,0.68,-0.14,17289,3830,6.24万,-59.15,7.81,3.81,45.57,8.12,1.22,0.110㈡,4.28,1.62,1.6,0.36,59.36,   2.61㈡,13.55,2.97,5.56,0.13,1700,300967,--  ,--  ,--  
300968,格林精密,-2.5,0,8.58,35.64,40.28,元器件,信息产业-元器件,         35.47亿,20210415,-0.22,8.58,         14.85亿,精密结构件,8.59,17825,1555.07,40.81,1.03,广东,0,188,8.81,8.89,8.56,8.8,1.01,3.75,8.72,9058,8767,1.03,49,10,--  ,0,--  ,--  ,1.73,-0.2,1117,16,0.0009,-4,-6.13,-15.63,-0.92,-36.68,1.03,         14.85亿,41.88,37.63,1.05,EXPMA死叉,10,2,11,0.11,1.02,-2.73,-0.91,-2.61,-3.49,0.23,-1.59,20220826,4.13,--  ,--  ,28.14,18.6,--  ,33.89,22.36,4.51,0.18,9.39,3.32,4.04,8.74,7.25,6,0.55,0.03,0.53,0.5,0.5,0.48,4.82,0.44,2.36,26757,6470,5.55万,17.85,21.49,1.91,81.13,4.89,2.27,0.120㈡,4.5,2.11,1.17,0.11,66.11,   2.67㈡,17.19,7.61,6.86,0.59,4897,300968,--  ,--  ,--  
300969,恒帅股份,-0.09,-0.01,80.35,48.19,38.31,汽车配件,可选消费-汽车类,         64.28亿,20210412,-0.07,80.34,         16.07亿,汽车电机,80.35,9340,7576.19,55.66,4.67,浙江,0.01,89,79.95,83.37,79.12,80.42,0.83,5.28,81.11,4578,4762,0.96,9,7,--  ,9.59,--  ,--  ,0.2,2.22,1626,6,0.0029,-3,-11.29,-30.01,-24.55,-19.51,4.67,         16.07亿,25,53.17,0.82,KDJ死叉,14,10,14,-0.58,3.67,-1.62,0.86,0.5,-3.62,1.55,-0.95,20220901,0.8,--  ,--  ,10.09,8.34,--  ,17.27,6.85,1.64,0.59,1.54,1.02,1.41,4.95,3.22,2.19,0.73,0.09,0.77,0.67,0.67,0.56,2.35,0.65,-0.07,8497,2354,18.91万,8.8,13.97,7.7,99.03,19.95,0.31,0.830㈡,10.43,6.18,2.94,0.81,82.73,   7.99㈡,31.9,22.81,20.7,0.11,775,300969,--  ,--  ,--  
300970,华绿生物,-4.26,-0.1,17.96,3239.46,64.25,种植业,日常消费-农林牧渔,         20.96亿,20210412,-0.8,17.95,         12.27亿,金针菇,17.96,27445,5045.25,141.2,4.02,江苏,0,299,18.69,19,17.91,18.76,1.04,5.81,18.38,16079,11366,1.41,7,128,--  ,2.8,--  ,--  ,0.68,-1.96,1654,17,0.0024,-3,-5.97,0.39,-5.08,-38.43,4.76,         10.36亿,49.43,138.86,0.86,-- -- ,2,9,9,-0.37,1.28,-4.53,-2.03,-3.91,-5.47,0.28,-2.24,20220907,1.17,--  ,--  ,18.9,14.29,0.12,23.74,8.01,8.16,0.52,1.22,1.22,0.2,8.41,2.95,2.9,0,0.02,0,0,0,-0.08,4.51,0.16,0.88,12307,4687,8.42万,421.19,21.98,1.47,131.65,7.11,0,0.003㈡,12.25,7.2,3.86,0.14,75.61,   0.02㈡,1.73,0.17,-0.04,0.06,1829,300970,--  ,--  ,--  
300971,博亚精工,-3.24,-0.04,22.12,23.05,45.89,机械基件,装备制造-通用机械,         18.58亿,20210415,-0.74,22.12,         12.25亿,板带成形加工精密装备,22.13,5285,1186.81,22.39,0.95,湖北,0,80,22.49,22.83,22.11,22.86,0.64,3.15,22.46,3323,1962,1.69,26,65,--  ,0,--  ,--  ,0.55,-0.93,475,11,0.002,-4,-5.92,-14.93,-7.21,-44.07,1.12,         10.41亿,56.01,25.17,1.12,KDJ死叉,4,7,13,-1.62,-0.13,-3.28,-1.75,-1.65,-3.11,0.05,-1.49,20220914,0.84,--  ,--  ,12.49,9.06,0.24,25.56,9.23,1.87,0.48,2.78,1.09,2.21,4.67,1.97,1.14,0.46,0,0.49,0.41,0.4,0.34,2.91,0.57,0.95,9213,5106,11.30万,-19.03,5.19,2.05,32.82,9.45,1.75,0.480㈡,10.78,5.56,3.47,0.67,72.55,   4.45㈡,41.94,23.55,21.01,0.2,757,300971,--  ,--  ,--  
300972,万辰生物,-3.99,-0.16,11.78,509.27,64.25,种植业,日常消费-农林牧渔,         18.08亿,20210419,-0.49,11.77,          8.81亿,金针菇,11.78,32818,3945.46,77.57,4.39,福建,0,577,12.35,12.35,11.78,12.27,0.95,4.65,12.02,21052,11766,1.79,13,552,--  ,3.21,--  ,--  ,0.75,-1.69,1568,21,0.0028,-3,-8.33,-6.59,-9.39,-24.63,4.62,          8.36亿,46.24,48.51,0.86,KDJ死叉,2,13,14,0.65,0.65,-3.99,-2.04,-4.62,-4.62,0,-1.96,20220907,1.53,--  ,--  ,8.63,6.22,--  ,27.96,2.46,4.51,0.53,1.87,0.62,0.04,3.04,2.02,1.93,0.02,0.01,0.02,0.02,0.02,-0.07,1.38,0.3,-0.98,15148,4686,5.52万,113.9,21.78,2.91,60.12,8.97,1.79,0.012㈡,4.05,1.98,0.9,0.2,72.04,   0.29㈡,4.4,0.93,0.88,0.01,1051,300972,--  ,--  ,--  
300973,立高食品,-1.24,0.42,77.36,93.05,33.52,食品,日常消费-食品饮料,        131.00亿,20210415,-0.97,77.31,         54.96亿,冷冻烘焙食品,77.36,12183,9563.77,46.85,1.71,广东,0,317,78.39,81.66,76.53,78.33,1.25,6.55,78.5,5409,6774,0.8,5,5,--  ,14.89,--  ,--  ,0.71,1.06,2288,5,0.0007,-1,3.86,-0.27,-7.9,-41.21,2.22,         42.43亿,32.39,61.2,1.16,MACD金叉,1,14,11,0.08,4.25,-2.3,0.22,-1.31,-5.27,1.08,-1.46,20220829,1.69,--  ,--  ,25.37,20.1,--  ,20.75,10.39,5.85,2.92,4.69,2.25,1.78,12.37,13.24,9.12,0.87,0,0.87,0.7,0.7,0.67,5.61,1.52,-2.05,6034,9090,70.32万,-48.53,5.76,6.52,85.91,9.9,0.64,0.420㈡,11.87,7.3,3.31,0.9,79.25,   3.50㈡,31.13,6.58,5.32,0.49,3967,300973,--  ,--  ,--  
300975,商络电子,-2.84,0,6.83,23.43,25.81,商贸代理,商贸-商贸代理,         43.03亿,20210421,-0.2,6.83,         20.65亿,电容,6.84,31982,2207.44,18.74,1.06,江苏,0,178,7.01,7.03,6.82,7.03,1.11,2.99,6.9,22331,9651,2.31,179,39,--  ,1.61,--  ,--  ,3.02,-0.54,1195,27,0.0009,-3,-6.18,-25.11,-21.67,-41.12,1.39,         15.73亿,36.56,21.9,1.42,空头排列,7,7,9,-0.28,0,-2.99,-1.85,-2.57,-2.84,0.15,-1,20220829,6.3,--  ,--  ,33.62,16.3,0,51.51,30.27,0.32,0.24,16.8,8.42,14.65,0.8,28.9,25.26,1.13,0,1.21,0.92,0.92,0.85,8.44,1.72,-0.74,16113,14295,9.76万,-27.04,25.05,2.64,25.08,1.49,0.34,0.146㈡,2.59,0.13,1.34,0.27,48.5,   5.63㈡,12.59,3.91,3.17,0.08,665,300975,--  ,--  ,--  
300976,达瑞电子,-2.9,-0.5,45.15,36.16,40.28,元器件,信息产业-元器件,         42.43亿,20210419,-1.35,45.15,         16.82亿,消费电子功能性器件,45.29,3581,1647.73,19.67,0.96,广东,0,91,46.23,46.68,45.11,46.5,0.45,3.38,46.01,2350,1231,1.91,5,1,--  ,5.55,--  ,--  ,0.37,-0.6,584,6,0.0016,-5,-9.81,-29.88,-7.89,-44.49,1.18,         13.65亿,32.16,24.78,1.34,空头排列,10,5,11,-0.58,0.39,-2.99,-1.05,-2.34,-3.28,0.09,-1.85,20220827,0.94,--  ,--  ,34.01,30.13,--  ,11.4,26.06,4.81,0.72,3.82,2.16,2.81,21.25,5.63,4.07,0.72,0.07,0.7,0.59,0.59,0.48,7.58,0.8,-11.2,16706,1809,8.17万,-43.85,-5.23,1.41,52.94,7.54,2.58,0.620㈡,32.06,22.61,8.07,0.85,88.6,   1.95㈡,27.72,12.79,10.42,0.39,2284,300976,--  ,--  ,--  
300977,深圳瑞捷,-3.72,0.1,19.42,--  ,7.91,建筑工程,建筑地产-建筑,         19.92亿,20210420,-0.75,19.4,          4.89亿,工程评估,19.42,5057,996.83,17.36,2.01,深圳,0,61,20.1,20.11,19.39,20.17,0.97,3.57,19.71,3168,1889,1.68,2,147,--  ,0,--  ,--  ,0.25,-1.42,691,7,0.0029,-4,-4.71,-20.02,-13.54,-46.94,2.01,          4.89亿,24.57,34.75,0.39,MACD金叉,1,13,13,-0.35,-0.3,-3.87,-2.28,-3.38,-3.43,0.15,-1.44,20220826,1.03,--  ,--  ,14.83,13.42,--  ,9.52,13.24,0.04,0.17,1.34,0.01,3.53,9.67,2.44,1.74,-0.12,0.15,-0.12,-0.1,-0.1,-0.23,2.81,-0.98,-1.68,10654,2365,4.59万,-119.56,-23.86,1.48,-20.29,8.18,2.31,-0.100㈡,13.08,9.43,2.74,-0.96,90.48,  -0.73㈡,28.38,-4.92,-4,0.14,2371,300977,--  ,--  ,--  
300978,东箭科技,-2.21,-0.06,13.69,54.52,38.31,汽车配件,可选消费-汽车类,         57.87亿,20210426,-0.31,13.69,         18.07亿,车侧承载装饰系统产品,13.7,31584,4370.36,51.08,2.39,广东,0,544,14,14.21,13.68,14,1.09,3.79,13.84,15220,16364,0.93,79,79,--  ,0.14,--  ,--  ,1.32,0.09,1722,18,0.0014,-3,-10.93,-27.53,1.26,-23.78,3.22,         13.44亿,23.22,59.47,1.55,空头排列,1,14,11,0,1.5,-2.29,-1.14,-2.21,-3.66,0.07,-1.07,20220907,4.23,--  ,--  ,28.55,15.28,0.14,46.01,20.33,3.15,1.53,11.72,2.42,4.02,7.71,8.62,6.64,0.57,0.02,0.55,0.52,0.53,0.56,2.55,0.94,2.92,12635,7769,10.64万,-23.55,11.05,3.79,61.42,6.71,0.71,0.126㈡,3.61,1.82,0.6,0.22,53.51,   3.47㈡,22.98,6.63,6,0.42,3405,300978,--  ,--  ,--  
300979,华利集团,-2.17,-0.18,52.76,19.71,22.66,服饰,日常消费-纺织服饰,        615.71亿,20210426,-1.17,52.76,         77.07亿,运动休闲鞋,52.78,21019,11238.57,22.74,1.44,广东,0,218,53.99,55.09,52.75,53.93,0.8,4.34,53.47,12148,8871,1.37,8,14,--  ,23.22,--  ,--  ,1.46,0.13,2511,8,0.0006,-5,-4.21,-11.22,-28.05,-40.01,1.44,         77.07亿,12.52,20.71,0.72,空头排列,13,9,13,0.11,2.15,-2.19,-0.85,-2.28,-4.23,0.02,-1.32,20220913,11.67,--  ,--  ,186.84,115.04,--  ,38.43,135.86,33.87,3.52,69.25,29.57,33.98,57.04,98.99,72.93,20.15,0.37,20.08,15.62,15.62,15.3,48.36,11.03,8.15,13100,11152,58.84万,21.02,20.79,5.35,55.82,6.22,2.04,1.340㈡,9.86,4.89,4.14,0.95,61.57,  13.58㈡,26.32,20.36,15.78,1.52,151198,300979,--  ,--  ,--  
300980,祥源新材,-1.93,-0.18,21.3,28.52,28.01,塑料,材料-化工,         23.07亿,20210421,-0.42,21.26,         10.87亿,IXPE,21.3,7970,1720.28,26.82,1.56,湖北,0,137,21.84,21.99,21.21,21.72,1.02,3.59,21.58,4583,3387,1.35,4,17,--  ,0,--  ,--  ,0.51,0.37,881,9,0.0018,-3,-9.36,-20.82,2.3,-23.87,2.09,          8.14亿,35.27,27.76,1.01,KDJ死叉,1,10,14,0.55,1.24,-2.35,-0.64,-2.47,-3.14,0.42,-1.29,20220829,1.08,--  ,--  ,10.74,9.35,--  ,12.94,6.16,2.37,0.76,1.03,0.54,0.96,5.41,2.12,1.39,0.47,0.06,0.46,0.4,0.4,0.35,2.6,0.1,0.71,9642,3962,8.44万,-6.82,0.58,2.46,230.94,10.9,0.92,0.380㈡,8.67,5,2.4,0.09,87.06,   4.33㈡,34.51,22.19,19.1,0.12,881,300980,--  ,--  ,--  
300981,中红医疗,-3.71,-0.25,19.45,39.84,18.55,医疗保健,可选消费-医疗保健,         58.35亿,20210427,-0.75,19.45,         18.38亿,防护手套,19.46,23908,4726.72,2.59,2.53,河北,0,1517,20.15,20.18,19.45,20.2,1.33,3.61,19.77,14515,9393,1.55,60,43,--  ,6.45,--  ,--  ,0.94,-1.41,1721,14,0.0015,-3,-6.04,-18.86,-19.73,-54.49,2.92,         15.90亿,27.25,18.57,0.99,空头排列,9,13,13,-0.25,-0.1,-3.71,-2.13,-3.47,-3.62,0,-1.58,20220907,3,--  ,--  ,66.6,61.32,--  ,7.93,46.64,14.43,0.85,5,4.18,2.19,18.06,9.23,7.54,1.01,0.1,1.01,0.73,0.73,0.18,39.28,1.56,-0.39,27551,2967,5.77万,-96.49,-74.68,0.95,37.52,6.32,8.25,0.244㈡,20.44,6.02,13.09,0.52,92.07,   1.19㈡,18.32,10.93,7.93,0.05,3678,300981,--  ,--  ,--  
300982,苏文电能,-1.84,0.19,48.57,31.67,7.91,建筑工程,建筑地产-建筑,         68.15亿,20210427,-0.91,48.41,         17.04亿,电力工程建设及智能用电服务,48.57,8125,3963.78,23.05,2.32,江苏,0.05,227,50.33,50.4,48.15,49.48,0.71,4.55,48.79,4272,3853,1.11,1,13,--  ,81.03,--  ,--  ,0.35,0.46,1120,7,0.0021,-5,-4.74,-24.91,1.82,-33.46,2.32,         17.04亿,25,24.7,1.32,EXPMA死叉,10,3,11,1.72,1.86,-2.69,-1.39,-3.5,-3.63,0.87,-0.44,20220830,1.4,--  ,--  ,25.62,14.99,0,41.52,20.74,1.42,0.39,10.41,1.93,9.38,6.42,8.93,6.62,1.2,0.11,1.22,1.07,1.08,0.95,6.37,-3.63,-2.46,9668,3628,17.62万,-15.72,22.78,4.55,-18.78,7.63,1.21,0.770㈡,10.68,4.58,4.54,-2.59,58.49,   7.18㈡,25.81,13.47,12.01,0.38,810,300982,--  ,--  ,--  
300983,尤安设计,-4.48,-0.09,31.53,--  ,7.91,建筑工程,建筑地产-建筑,         40.36亿,20210420,-1.48,31.52,         10.09亿,居住建筑设计及咨询,31.53,6027,1934.74,13.9,1.88,上海,0.01,140,32.65,33.18,31.53,33.01,1.78,5,32.1,3990,2037,1.96,3,30,--  ,11.1,--  ,--  ,0.32,-2.18,792,8,0.0024,-1,-3.22,-5.06,-12.36,-36.89,1.88,         10.09亿,25,27.65,0.58,KDJ金叉,11,9,13,-1.09,0.51,-4.48,-2.76,-3.43,-4.97,0,-1.73,20220913,1.28,--  ,--  ,33.09,30.65,0.02,7.31,28.62,0.24,0.02,1.83,0,7.32,23.52,2.23,1.74,-0.11,-0.02,-0.11,-0.08,-0.07,-0.18,5.4,-1.06,-2.48,18524,1727,5.45万,-104.7,-51.76,1.32,-38.19,18.08,2.56,-0.050㈡,23.95,18.37,4.22,-0.83,92.64,  -0.22㈡,22.01,-4.73,-3.52,0.19,1555,300983,--  ,--  ,--  
300984,金沃股份,-2.17,-0.49,27.98,36.71,45.89,机械基件,装备制造-通用机械,         21.49亿,20210618,-0.62,27.97,          8.32亿,轴承套圈,27.98,8014,2285.86,34.93,2.7,浙江,0.02,108,28.59,29.14,27.98,28.6,1.1,4.06,28.52,4102,3912,1.05,2,61,--  ,14.87,--  ,--  ,0.3,0.14,976,8,0.0028,-2,-2.91,-17.88,-2.51,-27.38,3.61,          6.21亿,28.91,35.29,1.3,-- -- ,10,3,1,-0.03,1.89,-2.17,-0.28,-2.13,-3.98,0,-1.89,20220907,0.77,--  ,--  ,11.11,6.66,--  ,40.04,6.46,3.37,0.39,3.99,2.86,2.28,4.18,5.41,4.69,0.35,0,0.35,0.29,0.29,0.25,1.57,0.26,0.56,5499,4038,11.30万,-2.18,33.55,3.23,83.16,3.97,1.75,0.380㈡,8.67,5.44,2.04,0.34,59.96,   4.40㈡,13.16,6.4,5.41,0.17,1431,300984,--  ,--  ,--  
300985,致远新能,-3.86,-0.2,23.94,610.23,38.31,汽车配件,可选消费-汽车类,         31.92亿,20210429,-0.96,23.93,          8.70亿,车载液化天然气模块收入,23.94,12481,3044.63,171.86,3.44,吉林,0,157,24.9,25.08,23.88,24.9,0.71,4.82,24.39,7209,5272,1.37,22,21,--  ,1.25,--  ,--  ,0.36,-1.55,1224,10,0.0028,-5,-8.87,-19.01,-20.28,-51.04,3.44,          8.70亿,27.25,--  ,1.16,空头排列,9,3,14,0,0.72,-4.1,-2.05,-3.86,-4.55,0.25,-1.81,20220826,1.33,--  ,--  ,15.42,12.3,0.07,19.79,9.76,1.17,0.89,2.66,2,0.9,8.16,1.07,0.91,0.03,-0.01,0.03,0.03,0.03,-0.07,2.5,0.77,0.59,14228,2554,6.11万,-91.34,-64.94,2.59,41.62,29.79,0.48,0.020㈡,9.23,6.12,1.87,0.58,79.79,   0.21㈡,15.48,2.36,2.36,0.07,572,300985,--  ,--  ,--  
300986,志特新材,-4.32,-1.48,38.32,44.36,11.18,铝,材料-有色,         62.80亿,20210430,-1.73,38.32,         26.83亿,铝模,38.4,45734,17770.85,39.92,6.53,江西,0.01,135,39.38,41,36.43,40.05,1.31,11.41,38.86,23998,21736,1.1,57,2,--  ,38.99,--  ,--  ,0.7,-2.02,2831,16,0.0023,-1,-0.6,9.09,44.6,-15.98,6.53,         26.83亿,42.71,35.68,0.17,上穿BOLL上轨,8,12,14,-1.67,2.37,-9.04,-2.97,-2.69,-6.54,5.19,-1.35,20220816,1.64,--  ,--  ,35.55,12.83,1.09,60.87,15.38,14.66,2.07,17.36,3.7,6.17,4.65,7.82,5.34,0.99,0,1,0.74,0.71,0.54,6.09,-0.64,1.28,5851,11965,45.85万,38.15,29.17,4.9,-98.9,8.03,0.27,0.430㈡,7.83,2.84,3.71,-0.39,36.08,   5.52㈡,31.72,12.67,9.43,0.42,2910,300986,--  ,--  ,--  
300987,川网传媒,-5.79,-0.32,15.14,168.77,32.58,互联网,信息产业-互联网,         26.25亿,20210511,-0.93,15.12,         14.44亿,新媒体整合营销,15.14,46179,7181.47,33.72,4.84,四川,0.04,855,15.76,16.02,15.14,16.07,1.02,5.48,15.55,27114,19065,1.42,35,11,--  ,52.48,--  ,--  ,0.95,-3.48,1730,27,0.0028,-1,-5.96,-4.66,-7.62,-49,5.41,         12.92亿,49.23,38.41,0.56,-- -- ,8,5,9,-1.93,-0.31,-5.79,-3.24,-3.93,-5.49,0,-2.55,20220905,1.73,--  ,--  ,8.76,7.87,0.01,9.99,6.27,0.87,0.28,0.82,0,0.61,2.17,0.83,0.5,0.08,0,0.08,0.08,0.08,0.07,3.59,-0.07,-0.62,15593,5474,8.29万,-56.45,1.13,3.34,-354.5,31.67,0.96,0.040㈡,4.54,1.25,2.07,-0.04,89.86,   0.99㈡,39.83,10.02,9.46,--  ,461,300987,--  ,--  ,--  
300988,津荣天宇,-2.44,-0.13,21.18,35.87,45.89,机械基件,装备制造-通用机械,         28.17亿,20210512,-0.53,21.17,         10.51亿,电气精密部品,21.18,20233,4344.02,39.43,4.08,天津,0,238,21.6,22,21.15,21.71,0.58,3.92,21.47,11477,8756,1.31,60,7,--  ,4.32,--  ,--  ,0.5,-0.14,1519,13,0.0027,-3,-11.19,-24.41,-2.08,8.4,4.08,         10.51亿,37.32,36.36,2.06,空头排列,1,8,14,-0.51,1.34,-2.58,-1.11,-1.94,-3.73,0.14,-1.34,20220824,1.33,--  ,--  ,13.18,8.89,--  ,32.57,9.18,1.96,0.39,4.09,3.31,2.37,4.9,6.86,5.64,0.42,0.01,0.47,0.39,0.39,0.33,2.48,0.72,-0.38,12709,3905,8.27万,18.75,6.77,3.17,39.38,4.1,0.77,0.300㈡,6.69,3.68,1.86,0.54,67.43,   4.42㈡,17.75,6.12,5.72,0.3,1024,300988,--  ,--  ,--  
300989,蕾奥规划,-3.54,0.05,18.55,39.99,7.91,建筑工程,建筑地产-建筑,         20.03亿,20210507,-0.68,18.55,          5.01亿,专业技术服务,18.56,4001,754.69,20.2,1.48,深圳,0,44,19.29,19.32,18.52,19.23,1.37,4.16,18.86,2456,1545,1.59,159,16,--  ,0.39,--  ,--  ,0.27,-1.23,548,7,0.0027,-3,-4.97,-9.6,-10.21,-22.87,1.48,          5.01亿,25,21.07,0.54,空头排列,9,1,4,0.31,0.47,-3.69,-1.92,-3.84,-3.99,0.16,-1.61,20220825,1.08,--  ,--  ,11.11,10.01,--  ,9.86,10.65,0.09,0.02,1.03,0,1.44,6.33,1.83,0.98,0.27,0.06,0.28,0.25,0.25,0.14,2.25,-1.15,0.09,11931,2263,4.20万,-14.49,-4.44,2,-17.46,10.92,0.61,0.230㈡,9.27,5.87,2.08,-1.06,90.14,   2.50㈡,46.83,14.69,13.65,0.19,850,300989,--  ,--  ,--  
300990,同飞股份,1.44,0.02,92.71,89.87,40.85,专用机械,装备制造-工业机械,         86.78亿,20210512,1.32,92.7,         21.69亿,液体恒温设备,92.71,8756,8248.14,71.31,3.74,河北,0,40,91,97.29,90.01,91.39,0.98,7.97,94.2,4317,4439,0.97,12,7,--  ,0,--  ,--  ,0.23,3.75,1477,6,0.0025,1,-6.27,-19.99,66.62,31.65,3.74,         21.69亿,25,83.12,2.09,-- -- ,10,8,2,-0.43,6.46,-1.51,3.07,1.88,-4.71,3,-1.63,20220826,0.94,--  ,--  ,16.69,15.49,--  ,7.2,11.96,2.29,0.89,0.97,1.37,2.22,11.36,4.01,3,0.49,0.16,0.54,0.48,0.48,0.36,2.78,-0.11,0.49,5991,3906,36.21万,-26.08,3.36,5.6,-803.11,21.62,0.61,0.520㈡,16.55,12.13,2.97,-0.12,92.8,   3.12㈡,25.16,12.27,12.03,0.17,1043,300990,--  ,--  ,--  
300991,创益通,-1.85,0,12.21,157.1,40.28,元器件,信息产业-元器件,         17.58亿,20210520,-0.23,12.2,          7.98亿,消费电子互连产品及组件,12.21,14396,1767.46,24.87,2.2,深圳,0.01,254,12.46,12.51,12.13,12.44,0.99,3.05,12.28,9311,5085,1.83,232,91,--  ,5.11,--  ,--  ,0.65,0.45,978,15,0.0023,-3,-6.3,-20.35,-12.78,-39.91,2.2,          7.98亿,45.4,52.13,1.08,KDJ死叉,1,9,13,0.16,0.56,-2.49,-1.29,-2.01,-2.4,0.66,-0.56,20220819,1.44,--  ,--  ,11.48,6.29,0.02,45.07,3.61,3.56,0.68,2.8,0.92,1.17,2.01,1.91,1.42,0.06,0.01,0.06,0.05,0.06,0.02,2.51,0.09,-0.58,10855,6023,7.35万,-87.06,-23.75,2.8,186.16,9.19,1.96,0.040㈡,4.37,1.4,1.74,0.07,54.77,   0.89㈡,25.61,2.91,2.84,0.18,875,300991,--  ,--  ,--  
300992,泰福泵业,-3.34,-0.17,21.99,19.57,40.85,专用机械,装备制造-工业机械,         19.97亿,20210525,-0.76,21.98,          9.57亿,陆上泵,21.99,13682,3065.4,33.8,3.14,浙江,0,688,22.89,23,21.98,22.75,0.63,4.48,22.4,7994,5688,1.41,7,26,--  ,2.75,--  ,--  ,0.44,-1.04,1287,11,0.0024,-3,-9.09,-12.56,7.43,-10.9,4.65,          6.47亿,32.4,25.02,0.88,KDJ死叉,12,3,11,0.62,1.1,-3.38,-1.54,-3.93,-4.39,0.05,-1.8,20220829,0.91,--  ,--  ,9.78,7.28,--  ,25.59,5.11,2.8,0.63,2.28,2.31,1.03,2.79,2.79,2.26,0.56,0.04,0.56,0.51,0.51,0.39,3.22,0.23,-0.1,10069,2922,6.43万,72.52,10.95,2.74,87.76,7.15,0.3,0.560㈡,8.02,3.08,3.55,0.25,74.41,   7.01㈡,19.01,20.02,18.26,0.11,779,300992,--  ,--  ,--  
