代码,名称,涨幅%,涨速%,现价,市盈(动),行业PE,细分行业,所属行业,AB股总市值,涨跌,买价,流通市值,主营构成,卖价,总量,总金额,市盈(静),换手%,地区,开盘换手Z,现量,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,开盘金额,封成比,封单额,流通股(亿),强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,流通比例Z%,市盈(TTM),贝塔系数,近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,财务更新,上市日期,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收账款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,净益率%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,交易代码,自选日,自选价,自选收益%
002705,新宝股份,0.42,0.05,19.26,16.37,16.41,家用电器,可选消费-家用电器,        159.23亿,0.08,19.26,        158.50亿,电热类厨房电器,19.27,105321,20403.46,20.09,1.28,广东,0.02,720,19.33,19.75,19.08,19.18,0.87,3.49,19.37,57445,47876,1.2,126,173,--  ,89.88,--  ,--  ,8.23,0.5,3959,27,0.0003,2,-0.21,-10,-4.84,-21.39,3.58,         56.68亿,35.59,16.51,0.85,空头排列,1,8,11,0.78,2.97,-0.52,0.99,-0.36,-2.48,0.94,-0.57,20220901,20140121,8.27,--  ,--  ,127.26,64.09,0.81,49,81.64,29.68,5.1,59.47,19.91,16.33,20.54,71.26,57.97,6.19,0.25,6.18,5.1,4.86,4.93,33.02,2.98,1.34,27430,10728,20.66万,54.72,7.26,2.48,53.43,2.23,1.02,0.600㈡,7.75,2.49,3.99,0.36,50.36,   7.59㈡,18.65,8.68,7.16,2.2,28012,2705,--  ,--  ,--  
002706,良信股份,-2.96,0.15,13.78,36.05,32.22,电气设备,装备制造-电气设备,        154.77亿,-0.42,13.78,        111.20亿,配电电器,13.79,72019,10025.01,36.98,0.89,上海,0,694,14.21,14.32,13.73,14.2,0.6,4.15,13.92,49133,22886,2.15,411,24,--  ,13.22,--  ,--  ,8.07,-2.87,2740,26,0.0003,-3,-11.5,-11.21,-3.23,-22.67,1.05,         94.53亿,61.08,36.01,1.45,-- -- ,14,10,11,0.07,0.85,-3.31,-1.97,-3.03,-3.77,0.36,-0.99,20220830,20140121,11.23,--  ,--  ,43.58,24.61,--  ,43.53,23.17,6.97,1.56,14.47,5.93,6.3,2.61,18.82,12.79,2.31,0,2.57,2.15,2.15,1.93,11.01,1.27,-0.36,20928,32779,45.17万,5.51,5.95,5.71,121.53,8.22,1.45,0.210㈡,2.41,0.23,0.98,0.11,56.47,   8.72㈡,32.04,12.3,11.41,1.19,2544,2706,--  ,--  ,--  
002707,众信旅游,2.63,0,6.63,--  ,66.31,旅游服务,社会服务-旅游,         60.09亿,0.17,6.63,         47.93亿,整合营销服务,6.64,244063,15945.79,--  ,3.38,北京,0.02,3827,6.48,6.67,6.38,6.46,0.86,4.49,6.53,95766,148297,0.65,122,1467,--  ,86.64,--  ,--  ,7.23,2.72,3200,76,0.0011,1,-1.63,10.5,13.14,17.55,4.2,         38.54亿,64.14,--  ,1.15,-- -- ,4,14,3,0.31,3.25,-1.24,1.08,2.31,-0.6,3.92,1.55,20220829,20140123,9.06,--  ,--  ,23.4,3.44,-2.22,94.81,11.58,0.23,0.13,17,0.02,0.83,7.33,1.26,1.07,-1.24,-0.03,-1.2,-0.94,-0.81,-0.83,-11.44,-1.43,-0.72,73065,7957,5.28万,34.22,-56.93,24.92,-42.05,47.67,0,-0.090㈡,0.27,0.81,-1.26,-0.16,14.69, -23.52㈡,14.85,-98.13,-74.85,--  ,1745,2707,--  ,--  ,--  
002708,光洋股份,1.8,-0.13,7.36,--  ,39.32,汽车配件,可选消费-汽车类,         36.21亿,0.13,7.36,         29.77亿,轴承产品,7.37,45904,3358.36,--  ,1.13,江苏,0.01,235,7.25,7.4,7.17,7.23,0.67,3.18,7.32,17508,28396,0.62,107,37,--  ,11.67,--  ,--  ,4.04,1.88,2080,22,0.0005,1,-7.07,-16.84,23.49,5.44,2.15,         15.71亿,43.37,--  ,0.67,-- -- ,10,8,6,0.28,2.35,-0.83,1.24,1.52,-0.54,2.65,0.55,20220831,20140121,4.92,--  ,--  ,26.92,13.82,0.1,48.28,13.1,10.12,1.26,12.13,3.99,4.2,8.46,6.36,5.98,-0.88,0,-0.88,-0.84,-0.84,-0.91,0.45,-0.26,-0.16,26804,7961,5.86万,-366.98,-26.72,2.62,-140.02,5.69,0,-0.170㈡,2.81,1.72,0.09,-0.05,51.35,  -6.06㈡,6.04,-13.88,-13.15,0.29,3575,2708,--  ,--  ,--  
002709,天赐材料,0.34,0.04,47.14,15.61,17.23,化工原料,材料-化工,        907.33亿,0.16,47.13,        653.75亿,锂离子电池材料,47.14,214143,101348.08,41.09,1.54,广东,0,3334,47.03,48.1,46.9,46.98,0.76,2.55,47.33,112262,101881,1.1,325,213,--  ,261.49,--  ,--  ,13.87,0.43,4488,48,0.0003,1,-5.72,-10.48,1.16,-17.41,1.77,        571.46亿,62.98,20.95,1.77,-- -- ,4,14,11,0.11,2.38,-0.17,0.75,0.23,-2,0.51,-0.4,20220825,20140123,19.25,--  ,--  ,173.26,92.72,2.47,45.06,110.41,28.81,6.86,71.67,13.52,36.39,20.09,103.63,59.03,36.09,0.03,36.08,29.77,29.06,28.86,57.2,24.27,-1.99,198000,6123,28.86万,271.32,180.13,9.79,37.39,8.76,0.53,1.520㈡,4.82,1.04,2.97,1.26,53.51,  31.35㈡,43.04,34.83,28.72,4.36,4020,2709,--  ,--  ,--  
002712,思美传媒,5.32,0.61,4.95,282.51,37.79,广告包装,社会服务-广告包装,         28.77亿,0.25,4.94,         28.44亿,营销服务,4.95,332736,16280.61,48.48,5.79,浙江,0.01,9092,4.7,4.97,4.7,4.7,1.5,5.74,4.89,131994,200742,0.66,1437,1663,--  ,17.16,--  ,--  ,5.75,5.4,2626,127,0.0022,1,1.65,10,18.71,-1.79,9.61,         17.15亿,59.6,93.31,0.93,KDJ金叉,12,3,11,0,5.74,0,4.04,5.32,-0.4,5.32,1.28,20220816,20140123,5.81,--  ,--  ,29.07,19.76,0.45,30.47,21.61,0.04,0.17,7.92,0.35,11.22,18.6,19.35,18.3,0.14,-0.01,0.15,0.07,0.05,-0.06,-2.93,-2.07,-3.3,20835,16627,8.23万,-84.84,-17.98,1.46,-13.9,1.49,0,0.010㈡,3.4,3.2,-0.5,-0.36,67.99,   0.26㈡,5.44,0.72,0.37,0.1,801,2712,--  ,--  ,--  
002713,东易日盛,1.68,0.17,6.05,--  ,--  ,装修装饰,建筑地产-建筑,         25.38亿,0.1,6.04,         24.48亿,工程收入,6.05,30102,1804.85,32.73,0.74,北京,0.03,776,5.97,6.05,5.91,5.95,0.7,2.35,6,14297,15805,0.9,1248,256,--  ,25.79,--  ,--  ,4.05,1.77,1497,20,0.0005,2,-0.65,6.14,-2.1,-1.79,1.83,          9.97亿,39.27,--  ,0.77,阶段缩量,14,1,2,0.34,1.68,-0.67,0.84,1.34,0,2.37,0.84,20220830,20140219,4.2,--  ,--  ,38.44,5.91,1.12,81.71,17.43,4.65,1.06,27.51,1.64,3.67,4.25,9.64,7.13,-5.37,0.04,-5.35,-3.98,-3.85,-3.85,-4.02,-1.21,-4.12,14400,11442,6.92万,-200.43,-45.58,4.3,-20.98,2.63,0,-0.920㈡,1.41,1.01,-0.96,-0.29,15.36, -65.12㈡,25.96,-55.68,-41.29,0.66,7228,2713,--  ,--  ,--  
002714,牧原股份,0.51,-0.07,59,--  ,--  ,农业综合,日常消费-农林牧渔,       3140.07亿,0.3,59,       2124.65亿,生猪,59.01,227293,133867.46,45.48,0.63,河南,0,3445,58.92,59.4,58.13,58.7,0.9,2.16,58.9,107087,120206,0.89,464,6,--  ,573.29,--  ,--  ,36.01,0.6,4564,50,0.0001,2,-0.27,1.01,14.39,11.09,0.97,       1389.47亿,44.25,--  ,0.44,平台整理,1,14,12,0.37,1.19,-0.97,0.34,0.14,-0.67,1.5,0.17,20220831,20140128,53.22,--  ,--  ,1816.54,479.93,128.93,66.48,530.76,1039.94,8.92,925.46,352.73,2.17,113.35,442.68,484.67,-75.15,0.27,-74.22,-73.88,-66.84,-68.71,283.49,1.9,-18.16,218774,10765,63.51万,-170.16,6.57,7.05,1649.04,7.09,0.42,-1.280㈡,8.36,2.13,5.33,0.04,26.42, -13.93㈡,-9.49,-16.98,-16.69,4.86,137520,2714,--  ,--  ,--  
002715,登云股份,3.05,0,20.25,--  ,39.32,汽车配件,可选消费-汽车类,         27.94亿,0.6,20.23,         27.94亿,配套产品柴油机气门,20.25,16238,3271.68,405.82,1.18,广东,0,191,19.79,20.57,19.34,19.65,0.82,6.26,20.15,7363,8875,0.83,26,1,--  ,6.33,--  ,--  ,1.38,3.14,1283,13,0.0009,1,-1.9,22.43,58.95,58.95,1.88,         17.53亿,62.73,--  ,0.7,-- -- ,8,8,3,0.71,4.68,-1.58,2.54,2.32,-1.56,4.71,0.51,20220825,20140219,1.38,--  ,--  ,10.83,5.01,--  ,53.7,4.6,3.57,1.92,3.33,2.45,1.35,2.17,2.29,1.79,-0.14,0,-0.15,-0.17,-0.17,-0.18,1.22,-0.18,-0.22,7448,11623,23.54万,-519.24,-3.51,5.58,-159.65,12.2,0,-0.122㈡,3.63,1.57,0.88,-0.13,46.3,  -3.36㈡,21.62,-6.17,-7.35,0.06,1614,2715,--  ,--  ,--  
002716,金贵银业,0.39,0.39,2.57,--  ,15.3,小金属,材料-有色,         56.81亿,0.01,2.57,         54.14亿,电银,2.58,83041,2129.96,380.35,0.39,湖南,0,537,2.58,2.58,2.55,2.56,0.69,1.17,2.56,37468,45573,0.82,952,5456,--  ,3.38,--  ,--  ,21.07,0.48,1457,57,0.0003,1,-2.66,-4.46,-6.2,-19.94,0.51,         41.68亿,73.37,416.81,0.68,空头排列,7,13,9,0.78,0.78,-0.39,0,-0.39,-0.39,0.78,0.39,20220829,20140128,22.1,--  ,--  ,39.02,19.79,--  ,49.29,14.97,11.55,11.56,9.47,10.8,0.02,25.05,15.53,15.36,-0.28,0.33,-0.3,-0.3,-0.3,-0.64,-29.82,0.23,-0.21,69841,23222,5.97万,-4.51,263.92,2.87,245.74,3.66,0,-0.014㈡,0.9,1.13,-1.35,0.01,50.71,  -1.53㈡,1.08,-1.79,-1.95,--  ,382,2716,--  ,--  ,--  
002717,岭南股份,2.4,-0.65,2.99,--  ,28.74,环境保护,公用事业-环境保护,         50.38亿,0.07,2.99,         41.17亿,生态环境建设与修复业务,3,398650,11928.22,107.21,2.9,广东,0.01,7423,2.91,3.04,2.91,2.92,0.82,4.45,2.99,154139,244511,0.63,55,5023,--  ,28.55,--  ,--  ,13.77,2.48,2357,169,0.0012,1,-2.6,9.52,1.01,-13.33,3.29,         36.24亿,71.94,--  ,0.54,-- -- ,2,11,14,-0.34,4.11,-0.34,2.4,2.75,-1.64,2.75,0,20220829,20140219,16.85,--  ,--  ,176.95,46.6,3.07,71.93,111.31,3.77,0.2,107.2,2.59,21.89,13.38,10.25,9.48,-2.18,0.26,-2.19,-1.79,-1.79,-1.86,13.49,0.07,-3.7,91991,13176,3.94万,-589.84,-55.72,1.11,716.77,4.92,0,-0.110㈡,2.69,0.79,0.8,0,26.34,  -3.84㈡,7.45,-21.29,-17.5,0.52,1681,2717,--  ,--  ,--  
002718,友邦吊顶,1.96,-0.12,15.09,12.23,29.83,家居用品,可选消费-家居用品,         19.84亿,0.29,15.09,          9.28亿,基础模块,15.11,11984,1788.33,--  ,1.95,浙江,0,396,14.83,15.17,14.65,14.8,0.72,3.51,14.92,5176,6808,0.76,25,25,--  ,0.74,--  ,--  ,0.62,2.04,1164,10,0.0017,2,0.6,5.45,9.59,19.19,3.03,          5.97亿,30.12,--  ,0.53,KDJ金叉,4,8,2,0.2,2.5,-1.01,0.81,1.75,-0.53,3,1.15,20220825,20140128,1.31,--  ,--  ,17.59,10.57,-0.1,40.47,7.55,7.06,0.94,7.11,1.19,2.1,4.09,4.54,3.24,0.93,0.11,0.93,0.79,0.81,0.23,4.09,1.4,1.39,11000,3599,5.43万,210.09,0.17,1.88,14.15,4.37,0,0.620㈡,8.04,3.11,3.11,1.07,60.07,   7.67㈡,28.62,20.36,17.39,0.16,810,2718,--  ,--  ,--  
002719,麦趣尔,1.37,0.12,8.13,--  ,21.82,乳制品,日常消费-食品饮料,         14.16亿,0.11,8.12,         13.16亿,乳制品,8.13,67480,5393.55,76.7,4.17,新疆,0.01,1198,7.94,8.14,7.8,8.02,0.89,4.24,7.99,29956,37524,0.8,312,757,--  ,8.26,--  ,--  ,1.62,1.46,1995,34,0.0021,2,0.12,7.11,-7.19,-22.42,8.15,          6.73亿,47.57,--  ,0.52,-- -- ,14,2,1,-1,1.5,-2.74,-0.37,2.39,-0.12,4.23,1.75,20220902,20140128,1.74,--  ,--  ,15.93,7.36,-0.03,54.01,6.75,3.2,0.47,7.19,0.77,1.7,6.08,7.08,5.81,-1.74,0.01,-1.75,-1.76,-1.75,-0.3,-0.47,0.73,-2.13,11583,7152,5.81万,-1700.99,47.06,1.92,19.28,2,0.24,-1.006㈡,4.22,3.49,-0.27,0.42,46.19, -23.81㈡,17.95,-24.64,-24.87,0.03,2183,2719,--  ,--  ,--  
002721,金一文化,3.66,0.3,3.4,--  ,22.98,服饰,日常消费-纺织服饰,         32.64亿,0.12,3.39,         32.64亿,纯金制品,3.4,97521,3278.7,--  ,1.02,北京,0,1498,3.29,3.4,3.28,3.28,1.09,3.66,3.36,40146,57375,0.7,585,1328,--  ,3.75,--  ,--  ,9.6,3.74,1703,57,0.0006,1,-0.59,0.29,1.49,3.98,1.63,         20.29亿,62.18,--  ,0.5,-- -- ,7,14,1,0.3,3.66,0,2.44,3.34,0,3.66,1.22,20220831,20140127,9.6,--  ,--  ,86.7,8.21,-2.31,93.19,71.71,3.58,0.71,71.87,40.51,22.02,32.86,9.55,8.47,-3.91,0,-4.09,-3.17,-3.03,-2.93,-34.41,0.26,-0.06,50466,11827,4.02万,-49.38,-41.46,3.97,123.98,3.42,0,-0.320㈡,0.86,3.42,-3.58,0.03,9.47, -36.92㈡,11.25,-40.95,-33.21,0.01,1340,2721,--  ,--  ,--  
002722,物产金轮,0.15,-0.28,13.7,23.29,23.37,纺织机械,装备制造-工业机械,         24.04亿,0.02,13.7,         24.04亿,不锈钢装饰板加工,13.71,16748,2282.99,18.74,0.95,江苏,0,649,13.8,13.85,13.43,13.68,0.53,3.07,13.63,8624,8124,1.06,24,61,--  ,4.28,--  ,--  ,1.75,0.23,874,19,0.0011,1,-3.92,-6.36,0.22,-14.59,1.82,         12.62亿,52.49,24.18,0.04,空头排列,10,10,12,0.88,1.24,-1.83,-0.37,-0.72,-1.08,2.01,0.51,20220816,20140128,1.75,--  ,--  ,30.54,20.35,0.02,33.29,18.48,4.23,0.67,8.09,6.76,5.98,11.1,13.5,11.33,0.75,0.05,0.73,0.52,0.52,0.45,6.05,-0.45,-0.19,18786,4903,6.72万,-35.85,-11.32,1.21,-53.63,1.78,1.09,0.290㈡,11.33,6.33,3.45,-0.26,66.63,   2.54㈡,16.07,5.53,3.83,0.13,2216,2722,--  ,--  ,--  
002723,小崧股份,0.4,0,12.63,515.16,16.41,家用电器,可选消费-家用电器,         40.17亿,0.05,12.62,         38.95亿,工程施工,12.63,40775,5097.79,223.27,1.32,广东,0.01,342,12.58,12.7,12.27,12.58,0.56,3.42,12.5,23173,17602,1.32,218,144,--  ,14.34,--  ,--  ,3.08,0.48,1829,22,0.0007,2,-2.09,-1.94,14.71,-14.43,2.37,         21.76亿,54.16,256.71,0.65,EXPMA死叉,8,5,1,0,0.95,-2.46,-0.64,0.4,-0.55,2.93,1.03,20220831,20140129,3.18,--  ,--  ,22.66,12.38,0,45.35,14.1,4.49,0.5,9.39,1.83,2.59,6.96,6.6,5.81,0.07,-0.01,0.07,0.04,0.04,0.03,1.84,0,-1.79,17711,9726,12.28万,-37.54,-2.89,3.24,-282866.81,6.09,0,0.012㈡,3.9,2.19,0.58,0,54.65,   0.31㈡,11.98,1.05,0.59,0.19,1139,2723,--  ,--  ,--  
002724,海洋王,4.21,0.08,12.62,70.28,51.09,半导体,信息产业-半导体,         98.41亿,0.51,12.62,         46.65亿,工程施工,12.63,21674,2724.21,25.08,0.59,深圳,0,999,12.21,12.76,12.21,12.11,1.01,4.54,12.57,8690,12984,0.67,177,90,--  ,12.33,--  ,--  ,3.7,4.3,1400,15,0.0004,1,-2.02,-12.18,8.79,-21.86,0.89,         30.65亿,31.14,26.86,0.54,-- -- ,10,2,1,0.83,5.37,0.83,3.8,3.36,-1.1,3.36,0.41,20220830,20141104,7.8,--  ,--  ,36.52,28.24,2.49,15.87,21.95,3.99,0.74,5.65,2.58,8.84,3.21,8,3.71,1.1,-0.01,1.11,0.88,0.7,0.51,15.91,-1.48,-1.5,18575,13075,16.50万,-26.98,-5.22,3.49,-66.3,12.3,1.58,0.090㈡,3.62,0.41,2.04,-0.19,77.32,   2.48㈡,53.6,13.79,10.95,0.51,3082,2724,--  ,--  ,--  
002725,跃岭股份,10.04,0,10.85,64.13,39.32,汽车配件,可选消费-汽车类,         27.78亿,0.99,10.85,         21.80亿,汽轮涂装轮,--  ,305829,32345.97,393.42,15.22,浙江,0.01,673,9.8,10.85,9.79,9.86,3.21,10.75,10.58,123296,182533,0.68,18117,0,--  ,13.92,0.06,1965.69,2.01,10.13,2809,109,0.0054,1,2.07,-0.28,3.04,3.63,23.58,         14.07亿,50.65,106.92,0.84,KDJ金叉,10,5,8,-0.61,10.04,-0.71,7.3,10.71,0,10.83,2.74,20220831,20140129,2.56,--  ,--  ,13.53,10.56,--  ,21.98,5.01,3.9,0.9,2.81,2.02,1.63,2.97,4.17,3.61,0.23,-0.02,0.23,0.22,0.22,0.18,3.52,0.17,0.15,37532,3455,3.75万,691.14,0.09,2.63,160.25,6.66,0.23,0.085㈡,4.12,1.16,1.37,0.07,78.02,   2.05㈡,13.45,5.46,5.19,0.15,1404,2725,--  ,--  ,--  
002726,龙大美食,-0.76,-0.1,9.13,136.07,34.04,食品,日常消费-食品饮料,         98.46亿,-0.07,9.13,         98.06亿,鲜冻肉,9.14,38774,3538.14,--  ,0.36,山东,0,638,9.17,9.19,9.08,9.2,0.85,1.2,9.13,22806,15968,1.43,2665,44,--  ,15.86,--  ,--  ,10.74,-0.68,1429,27,0.0003,-2,-0.55,-4.7,-9.87,-12.72,0.6,         58.59亿,59.51,--  ,0.43,KDJ死叉,1,1,9,-0.33,-0.11,-1.3,-0.76,-0.44,-0.65,0.55,0,20220830,20140626,10.78,--  ,--  ,81.07,33.12,2.11,56.54,47.53,12.05,1.39,34.4,18.14,5.02,8.35,68.15,65.14,1.04,0,1.08,0.9,0.36,0.89,9.83,7.28,-0.14,28586,22451,20.50万,-88.25,-35.71,3.15,13.53,1.44,0,0.030㈡,2.9,0.77,0.91,0.67,40.85,   1.09㈡,4.41,1.53,1.32,0.04,6766,2726,--  ,--  ,--  
002727,一心堂,-1.19,0,26.53,18.9,15.22,医药商业,商贸-商业连锁,        158.14亿,-0.32,26.53,        105.70亿,中西成药,26.54,74942,20313.85,17.16,1.88,云南,0,511,27.1,27.8,26.32,26.85,1.83,5.51,27.11,39803,35139,1.13,258,3,--  ,30.89,--  ,--  ,3.98,-1.11,2590,29,0.0007,-1,-0.83,3.07,22.31,-30.57,2.52,         78.90亿,49.9,19.38,0.45,-- -- ,12,2,11,0.93,3.54,-1.97,0.97,-2.1,-4.57,0.8,-2.16,20220901,20140702,5.96,--  ,--  ,143.76,68.44,0.92,51.75,77.7,8.52,1.29,57.25,33.7,16.51,21.63,79.65,52.03,4.55,0.05,4.7,4.15,4.18,3.98,37.44,6.26,-1.53,28495,10437,27.69万,-20.16,18.85,2.31,25.27,1.99,1.13,0.710㈡,11.48,3.63,6.28,1.05,47.61,   6.11㈡,34.67,5.71,5.21,0.02,32503,2727,--  ,--  ,--  
002728,特一药业,1.74,0,12.31,22.2,28.42,中成药,可选消费-医药,         27.29亿,0.21,12.31,         18.74亿,化学药制剂,12.32,24431,2994.68,21.5,1.61,广东,0.01,196,12.2,12.32,12.12,12.1,0.78,1.65,12.26,9534,14897,0.64,118,379,--  ,11.47,--  ,--  ,1.52,1.82,1333,18,0.0012,2,1.24,-3.45,-16.82,-25.26,2.21,         13.61亿,49.87,24.13,0.5,KDJ金叉,9,5,1,0.83,1.82,0.17,1.32,0.9,-0.08,1.57,0.41,20220826,20140731,2.22,--  ,--  ,21.88,11.79,--  ,46.1,8.09,3.89,1.6,6.87,2.16,0.87,4.61,3.85,2.04,0.73,0,0.73,0.61,0.61,0.56,3.26,0.67,-1.39,31443,3516,4.33万,-18.39,7.51,2.42,40.53,7.08,5.28,0.280㈡,5.08,2.08,1.47,0.3,53.9,   5.21㈡,46.92,19.05,15.96,0.18,1200,2728,--  ,--  ,--  
002729,好利科技,1.82,0.12,48.21,196.15,41.79,元器件,信息产业-元器件,         63.01亿,0.86,48.21,         60.42亿,电子熔断器及配件,48.26,18282,8700.22,260.99,1.46,福建,0.02,227,46.94,48.61,46.17,47.35,1.1,5.15,47.59,6892,11390,0.61,9,10,--  ,58.21,--  ,--  ,1.25,1.9,1659,11,0.0009,2,1.82,8.58,12.06,44.82,2.85,         30.96亿,49.13,212.93,0.81,KDJ金叉,10,8,8,-0.87,2.66,-2.49,0.51,2.71,-0.82,4.42,1.31,20220830,20140912,1.31,--  ,--  ,5.53,4.55,--  ,17.72,3.35,1.88,0.13,0.96,0.55,0.8,1.14,1.19,0.77,0.18,0,0.18,0.16,0.16,0.09,1.87,0,-0.12,6643,9666,46.60万,51.35,12.51,13.85,470201.47,52.79,0.06,0.120㈡,3.48,0.87,1.43,0,82.28,   3.53㈡,35.22,15.01,13.46,0.08,542,2729,--  ,--  ,--  
002730,电光科技,2.03,0.33,9.04,49.24,41.93,专用机械,装备制造-工业机械,         32.73亿,0.18,9.04,         31.28亿,矿用防爆开关,9.05,48742,4353.89,38.15,1.41,浙江,0,608,8.87,9.08,8.67,8.86,1.02,4.63,8.93,21839,26903,0.81,69,156,--  ,4.44,--  ,--  ,3.46,2.12,1377,35,0.001,2,-0.88,-0.99,7.24,-23.65,3.04,         14.49亿,44.27,35.79,1.49,KDJ金叉,10,3,9,0.11,2.48,-2.14,0.79,1.92,-0.44,4.27,1.24,20220830,20141009,3.62,--  ,--  ,20.92,14.24,0.47,29.67,15.75,2.23,1.61,6.09,2.48,5.2,5.17,5.24,3.62,0.35,0.02,0.34,0.31,0.33,0.3,4.72,0.22,1.1,21072,7606,6.88万,20.54,42.34,2.3,149.15,6.24,1.22,0.090㈡,3.93,1.43,1.3,0.06,68.07,   2.33㈡,31.04,6.65,5.86,0.23,901,2730,--  ,--  ,--  
002731,萃华珠宝,1.2,-0.08,21.15,74.21,22.98,服饰,日常消费-纺织服饰,         54.18亿,0.25,21.15,         50.60亿,黄金产品,21.16,31504,6623.65,158.93,1.32,辽宁,0,475,21.2,21.39,20.65,20.9,0.91,3.54,21.02,15719,15785,1,37,121,--  ,3.6,--  ,--  ,2.39,1.28,1799,18,0.0007,2,-6.2,6.12,42.14,97.11,2.01,         33.19亿,61.25,184.2,0.9,-- -- ,10,8,8,1.44,2.34,-1.2,0.57,-0.24,-1.12,2.42,0.62,20220826,20141104,2.56,--  ,--  ,33.72,13.24,-0.27,61.54,29.31,2.61,0.03,20.2,22.23,1.19,2.96,19.78,18.37,0.48,0,0.48,0.36,0.37,0.35,7.3,0.3,0.06,12430,12623,26.70万,-11.35,46.95,4.09,179.42,2.74,0.05,0.140㈡,5.17,1.16,2.85,0.12,39.27,   2.76㈡,7.11,2.42,1.82,0.01,598,2731,--  ,--  ,--  
002732,燕塘乳业,0.38,0,18.46,25.15,21.82,乳制品,日常消费-食品饮料,         29.05亿,0.07,18.46,         28.81亿,液体乳类,18.47,9452,1734.52,18.41,0.61,广东,0.01,183,18.47,18.5,18.15,18.39,0.64,1.9,18.35,5069,4383,1.16,10,146,--  ,8.13,--  ,--  ,1.56,0.47,871,11,0.0007,1,-1.86,1.15,-2.07,-30.71,1.45,         12.05亿,41.49,27.92,0.77,平台整理,11,13,11,0.44,0.6,-1.31,-0.22,-0.05,-0.22,1.71,0.6,20220829,20141205,1.57,--  ,--  ,18.3,12.08,0.22,32.77,6.31,7.72,0.27,5.36,2.44,1.15,3.19,8.99,6.81,0.78,0,0.76,0.58,0.58,0.59,6.27,-0.14,-0.05,18695,3492,6.45万,-48.19,-5.16,2.41,-201.68,3.23,1.08,0.367㈡,7.68,2.03,3.99,-0.09,66.01,   4.78㈡,24.19,8.71,6.46,0.08,1578,2732,--  ,--  ,--  
002733,雄韬股份,1.07,0.32,18.88,48.46,32.22,电气设备,装备制造-电气设备,         72.54亿,0.2,18.87,         68.97亿,蓄电池及材料,18.88,185748,34336.39,--  ,5.08,深圳,0.06,3316,18.7,18.9,17.9,18.68,0.53,5.35,18.49,92575,93173,0.99,443,229,--  ,239.73,--  ,--  ,3.65,1.16,3813,49,0.0013,1,-11.57,5.01,35.93,-18.37,8.41,         41.71亿,57.5,--  ,1.02,-- -- ,8,8,14,0.11,1.18,-4.18,-1.02,0.96,-0.11,5.47,2.09,20220826,20141203,3.84,--  ,--  ,59.04,25.31,1.07,55.32,40.75,5.31,2.66,28.93,9.08,10.55,18.08,17.02,14.61,0.73,0.29,0.81,0.74,0.75,0.33,3.3,1.34,-0.46,50358,4387,8.28万,196.19,17.11,2.87,53.97,4.26,0,0.190㈡,6.59,4.71,0.86,0.35,42.87,   2.96㈡,14.14,4.31,4.35,0.51,3013,2733,--  ,--  ,--  
002734,利民股份,-0.09,0.18,11.12,13.69,8.73,农药化肥,材料-化工,         41.43亿,-0.01,11.11,         36.12亿,农用杀虫剂,11.12,74592,8259.9,13.5,2.3,江苏,0.03,459,11.26,11.26,10.81,11.13,0.52,4.04,11.07,39569,35023,1.13,30,392,--  ,85.24,--  ,--  ,3.25,0,2085,36,0.0011,-2,-1.51,10.98,9.99,-13.13,3.11,         26.68亿,64.4,19.64,0.94,-- -- ,2,7,13,1.17,1.17,-2.88,-0.54,-1.24,-1.24,2.87,0.45,20220819,20150127,3.73,--  ,--  ,76.98,27.12,0.48,64.15,34.45,19.28,4.7,35.54,7.88,6.28,8.54,28.09,22.92,1.92,0.08,1.91,1.59,1.51,1.43,12.29,2.52,1.9,20729,11575,12.87万,-38.8,10.56,1.62,16.42,1.48,2.67,0.410㈡,6.88,2.29,3.3,0.68,35.23,   5.58㈡,18.38,6.83,5.67,0.73,4579,2734,--  ,--  ,--  
