code,code,decimal_point,name,pre_close,sec,sse,volunit
000142,000142,2,380稳定,6397.4091796875,index_cn,sh,100
000145,000145,2,优势资源,2624.87890625,index_cn,sh,100
000146,000146,2,优势制造,5531.0625,index_cn,sh,100
000147,000147,2,优势消费,7426.3081054688,index_cn,sh,100
000148,000148,2,消费领先,8680.9140625,index_cn,sh,100
000149,000149,2,180红利,3068.5986328125,index_cn,sh,100
000150,000150,2,380红利,7318.2607421875,index_cn,sh,100
000151,000151,2,上国红利,1065.853515625,index_cn,sh,100
000152,000152,2,上央红利,1705.6593017578,index_cn,sh,100
000153,000153,2,上民红利,2040.7572021484,index_cn,sh,100
000155,000155,2,市值百强,2795.5986328125,index_cn,sh,100
000158,000158,2,上证环保,1170.7265625,index_cn,sh,100
000159,000159,2,沪股通,2909.5583496094,index_cn,sh,100
000160,000160,2,沪新丝路,1256.5476074219,index_cn,sh,100
000161,000161,2,沪中国造,1584.3228759766,index_cn,sh,100
000162,000162,2,沪互联+,2655.8850097656,index_cn,sh,100
000170,000170,2,50AH优选,5372.59375,index_cn,sh,100
000171,000171,2,新兴成指,1438.0815429688,index_cn,sh,100
000300,000300,2,沪深300,3867.0319824219,index_cn,sh,100
000802,000802,2,500沪市,5270.3559570312,index_cn,sh,100
000805,000805,2,A股资源,2955.3518066406,index_cn,sh,100
000808,000808,2,医药生物,11838.072265625,index_cn,sh,100
000814,000814,2,细分医药,11428.4853515625,index_cn,sh,100
000819,000819,2,有色金属,3247.73828125,index_cn,sh,100
000823,000823,2,800有色,3247.154296875,index_cn,sh,100
000827,000827,2,中证环保,1207.7237548828,index_cn,sh,100
000828,000828,2,300高贝,2671.009765625,index_cn,sh,100
000841,000841,2,800医药,11233.09765625,index_cn,sh,100
000842,000842,2,800等权,5072.8916015625,index_cn,sh,100
000847,000847,2,腾讯济安,2091.7692871094,index_cn,sh,100
000849,000849,2,300非银,9708.0029296875,index_cn,sh,100
000851,000851,2,百发100,15988.279296875,index_cn,sh,100
000852,000852,2,中证1000,5547.6279296875,index_cn,sh,100
000853,000853,2,CSSW丝路,1551.2349853516,index_cn,sh,100
000854,000854,2,500原料,3421.4033203125,index_cn,sh,100
000855,000855,2,央视500,1261.2762451172,index_cn,sh,100
000856,000856,2,500工业,4112.6557617188,index_cn,sh,100
000857,000857,2,500医药,13180.8671875,index_cn,sh,100
000858,000858,2,500信息,7922.5629882812,index_cn,sh,100
000860,000860,2,结构调整,884.5861816406,index_cn,sh,100
000863,000863,2,CS精准医,3806.4506835938,index_cn,sh,100
000865,000865,2,上海国企,1318.8072509766,index_cn,sh,100
000867,000867,2,港中小企,5.877471754e-39,index_cn,sh,100
000869,000869,2,HK银行,5.877471754e-39,index_cn,sh,100
000891,000891,2,新兴综指,1240.4586181641,index_cn,sh,100
000901,000901,2,小康指数,4569.9755859375,index_cn,sh,100
000903,000903,2,中证100,3988.4145507812,index_cn,sh,100
000904,000904,2,中证200,4050.3295898438,index_cn,sh,100
000905,000905,2,中证500,5226.8115234375,index_cn,sh,100
000906,000906,2,中证800,4087.9143066406,index_cn,sh,100
000913,000913,2,300医药,12029.7294921875,index_cn,sh,100
000914,000914,2,300金融,6075.2041015625,index_cn,sh,100
000918,000918,2,300成长,4978.3374023438,index_cn,sh,100
000928,000928,2,中证能源,1414.7469482422,index_cn,sh,100
000932,000932,2,中证消费,17530.51953125,index_cn,sh,100
000933,000933,2,中证医药,11488.5751953125,index_cn,sh,100
000934,000934,2,中证金融,5786.50390625,index_cn,sh,100
000935,000935,2,中证信息,4882.9575195312,index_cn,sh,100
000944,000944,2,内地资源,1890.9545898438,index_cn,sh,100
000958,000958,2,创业成长,1232.0487060547,index_cn,sh,100
000966,000966,2,基本400,5675.3940429688,index_cn,sh,100
000971,000971,2,等权90,2780.3754882812,index_cn,sh,100
000974,000974,2,800金融,5943.8994140625,index_cn,sh,100
000982,000982,2,500等权,6025.16796875,index_cn,sh,100
000984,000984,2,300等权,3802.1721191406,index_cn,sh,100
000986,000986,2,全指能源,1267.6931152344,index_cn,sh,100
000987,000987,2,全指材料,2552.7661132812,index_cn,sh,100
000989,000989,2,全指可选,4157.9609375,index_cn,sh,100
000990,000990,2,全指消费,15414.0029296875,index_cn,sh,100
000991,000991,2,全指医药,11530.69140625,index_cn,sh,100
000992,000992,2,全指金融,5501.7788085938,index_cn,sh,100
000993,000993,2,全指信息,6041.6352539062,index_cn,sh,100
000998,000998,2,中证TMT,2078.6772460938,index_cn,sh,100
395001,395001,2,主板Ａ股,457.0,index_cn,sz,100
395002,395002,2,主板Ｂ股,256.0,index_cn,sz,100
395003,395003,2,中小板,953.0,index_cn,sz,100
395004,395004,2,创业板,804.0,index_cn,sz,100
395005,395005,2,存托凭证,5.877471754e-39,index_cn,sz,100
395011,395011,2,封闭基金,32768.5,index_cn,sz,100
395012,395012,2,ＬＯＦｓ,248.0,index_cn,sz,100
395013,395013,2,ＥＴＦｓ,95.0,index_cn,sz,100
395014,395014,2,分级基金,206.0,index_cn,sz,100
395021,395021,2,可 转 债,132.0,index_cn,sz,100
395022,395022,2,企业债,25.0,index_cn,sz,100
395024,395024,2,公司债,684.0,index_cn,sz,100
395031,395031,2,国债,4542.0,index_cn,sz,100
395032,395032,2,债券回购,264.0,index_cn,sz,100
395041,395041,2,股票权证,5.877471754e-39,index_cn,sz,100
395099,395099,2,总 成 交,2260.0,index_cn,sz,100
399001,399001,2,深证成指,10514.1728515625,index_cn,sz,100
399002,399002,2,深成指R,12904.5263671875,index_cn,sz,100
399003,399003,2,成份Ｂ指,4780.5639648438,index_cn,sz,100
399004,399004,2,深证100R,5991.3666992188,index_cn,sz,100
399005,399005,2,中小板指,6926.0991210938,index_cn,sz,100
399006,399006,2,创业板指,2030.4769287109,index_cn,sz,100
399007,399007,2,深证300,4509.5375976562,index_cn,sz,100
399008,399008,2,中小300,1309.5394287109,index_cn,sz,100
399009,399009,2,深证200,4105.2060546875,index_cn,sz,100
399010,399010,2,深证700,5915.40234375,index_cn,sz,100
399011,399011,2,深证1000,4937.0483398438,index_cn,sz,100
399012,399012,2,创业300,2827.21484375,index_cn,sz,100
399013,399013,2,深市精选,4646.1450195312,index_cn,sz,100
399015,399015,2,中小创新,1925.3341064453,index_cn,sz,100
399016,399016,2,深证创新,3232.5717773438,index_cn,sz,100
399017,399017,2,SME创新,2939.3271484375,index_cn,sz,100
399018,399018,2,创业创新,3664.6318359375,index_cn,sz,100
