code,code,volunit,decimal_point,name,pre_close,sse,sec
000147,000147,100.0,2.0,优势消费,7426.3081054688,sh,index_cn
000148,000148,100.0,2.0,消费领先,8680.9140625,sh,index_cn
000149,000149,100.0,2.0,180红利,3068.5986328125,sh,index_cn
000150,000150,100.0,2.0,380红利,7318.2607421875,sh,index_cn
000151,000151,100.0,2.0,上国红利,1065.853515625,sh,index_cn
000152,000152,100.0,2.0,上央红利,1705.6593017578,sh,index_cn
000153,000153,100.0,2.0,上民红利,2040.7572021484,sh,index_cn
000155,000155,100.0,2.0,市值百强,2795.5986328125,sh,index_cn
000158,000158,100.0,2.0,上证环保,1170.7265625,sh,index_cn
000159,000159,100.0,2.0,沪股通,2909.5583496094,sh,index_cn
000160,000160,100.0,2.0,沪新丝路,1256.5476074219,sh,index_cn
000161,000161,100.0,2.0,沪中国造,1584.3228759766,sh,index_cn
000162,000162,100.0,2.0,沪互联+,2655.8850097656,sh,index_cn
000170,000170,100.0,2.0,50AH优选,5372.59375,sh,index_cn
000171,000171,100.0,2.0,新兴成指,1438.0815429688,sh,index_cn
000300,000300,100.0,2.0,沪深300,3867.0319824219,sh,index_cn
000802,000802,100.0,2.0,500沪市,5270.3559570312,sh,index_cn
000805,000805,100.0,2.0,A股资源,2955.3518066406,sh,index_cn
000808,000808,100.0,2.0,医药生物,11838.072265625,sh,index_cn
000814,000814,100.0,2.0,细分医药,11428.4853515625,sh,index_cn
000819,000819,100.0,2.0,有色金属,3247.73828125,sh,index_cn
000823,000823,100.0,2.0,800有色,3247.154296875,sh,index_cn
000827,000827,100.0,2.0,中证环保,1207.7237548828,sh,index_cn
000828,000828,100.0,2.0,300高贝,2671.009765625,sh,index_cn
000841,000841,100.0,2.0,800医药,11233.09765625,sh,index_cn
000842,000842,100.0,2.0,800等权,5072.8916015625,sh,index_cn
000847,000847,100.0,2.0,腾讯济安,2091.7692871094,sh,index_cn
000849,000849,100.0,2.0,300非银,9708.0029296875,sh,index_cn
000851,000851,100.0,2.0,百发100,15988.279296875,sh,index_cn
000852,000852,100.0,2.0,中证1000,5547.6279296875,sh,index_cn
000853,000853,100.0,2.0,CSSW丝路,1551.2349853516,sh,index_cn
000854,000854,100.0,2.0,500原料,3421.4033203125,sh,index_cn
000855,000855,100.0,2.0,央视500,1261.2762451172,sh,index_cn
000856,000856,100.0,2.0,500工业,4112.6557617188,sh,index_cn
000857,000857,100.0,2.0,500医药,13180.8671875,sh,index_cn
000858,000858,100.0,2.0,500信息,7922.5629882812,sh,index_cn
000860,000860,100.0,2.0,结构调整,884.5861816406,sh,index_cn
000863,000863,100.0,2.0,CS精准医,3806.4506835938,sh,index_cn
000865,000865,100.0,2.0,上海国企,1318.8072509766,sh,index_cn
000867,000867,100.0,2.0,港中小企,5.877471754e-39,sh,index_cn
000869,000869,100.0,2.0,HK银行,5.877471754e-39,sh,index_cn
000891,000891,100.0,2.0,新兴综指,1240.4586181641,sh,index_cn
000901,000901,100.0,2.0,小康指数,4569.9755859375,sh,index_cn
000903,000903,100.0,2.0,中证100,3988.4145507812,sh,index_cn
000904,000904,100.0,2.0,中证200,4050.3295898438,sh,index_cn
000905,000905,100.0,2.0,中证500,5226.8115234375,sh,index_cn
000906,000906,100.0,2.0,中证800,4087.9143066406,sh,index_cn
000913,000913,100.0,2.0,300医药,12029.7294921875,sh,index_cn
000914,000914,100.0,2.0,300金融,6075.2041015625,sh,index_cn
000918,000918,100.0,2.0,300成长,4978.3374023438,sh,index_cn
000928,000928,100.0,2.0,中证能源,1414.7469482422,sh,index_cn
000932,000932,100.0,2.0,中证消费,17530.51953125,sh,index_cn
000933,000933,100.0,2.0,中证医药,11488.5751953125,sh,index_cn
000934,000934,100.0,2.0,中证金融,5786.50390625,sh,index_cn
000935,000935,100.0,2.0,中证信息,4882.9575195312,sh,index_cn
000944,000944,100.0,2.0,内地资源,1890.9545898438,sh,index_cn
000958,000958,100.0,2.0,创业成长,1232.0487060547,sh,index_cn
000966,000966,100.0,2.0,基本400,5675.3940429688,sh,index_cn
000971,000971,100.0,2.0,等权90,2780.3754882812,sh,index_cn
000974,000974,100.0,2.0,800金融,5943.8994140625,sh,index_cn
000982,000982,100.0,2.0,500等权,6025.16796875,sh,index_cn
000984,000984,100.0,2.0,300等权,3802.1721191406,sh,index_cn
000986,000986,100.0,2.0,全指能源,1267.6931152344,sh,index_cn
000987,000987,100.0,2.0,全指材料,2552.7661132812,sh,index_cn
000989,000989,100.0,2.0,全指可选,4157.9609375,sh,index_cn
000990,000990,100.0,2.0,全指消费,15414.0029296875,sh,index_cn
000991,000991,100.0,2.0,全指医药,11530.69140625,sh,index_cn
000992,000992,100.0,2.0,全指金融,5501.7788085938,sh,index_cn
000993,000993,100.0,2.0,全指信息,6041.6352539062,sh,index_cn
000998,000998,100.0,2.0,中证TMT,2078.6772460938,sh,index_cn
395001,395001,100.0,2.0,主板Ａ股,457.0,sz,index_cn
395002,395002,100.0,2.0,主板Ｂ股,256.0,sz,index_cn
395003,395003,100.0,2.0,中小板,953.0,sz,index_cn
395004,395004,100.0,2.0,创业板,804.0,sz,index_cn
395005,395005,100.0,2.0,存托凭证,5.877471754e-39,sz,index_cn
395011,395011,100.0,2.0,封闭基金,32768.5,sz,index_cn
395012,395012,100.0,2.0,ＬＯＦｓ,248.0,sz,index_cn
395013,395013,100.0,2.0,ＥＴＦｓ,95.0,sz,index_cn
395014,395014,100.0,2.0,分级基金,206.0,sz,index_cn
395021,395021,100.0,2.0,可 转 债,132.0,sz,index_cn
395022,395022,100.0,2.0,企业债,25.0,sz,index_cn
395024,395024,100.0,2.0,公司债,684.0,sz,index_cn
395031,395031,100.0,2.0,国债,4542.0,sz,index_cn
395032,395032,100.0,2.0,债券回购,264.0,sz,index_cn
395041,395041,100.0,2.0,股票权证,5.877471754e-39,sz,index_cn
395099,395099,100.0,2.0,总 成 交,2260.0,sz,index_cn
399001,399001,100.0,2.0,深证成指,10514.1728515625,sz,index_cn
399002,399002,100.0,2.0,深成指R,12904.5263671875,sz,index_cn
399003,399003,100.0,2.0,成份Ｂ指,4780.5639648438,sz,index_cn
399004,399004,100.0,2.0,深证100R,5991.3666992188,sz,index_cn
399005,399005,100.0,2.0,中小板指,6926.0991210938,sz,index_cn
399006,399006,100.0,2.0,创业板指,2030.4769287109,sz,index_cn
399007,399007,100.0,2.0,深证300,4509.5375976562,sz,index_cn
399008,399008,100.0,2.0,中小300,1309.5394287109,sz,index_cn
399009,399009,100.0,2.0,深证200,4105.2060546875,sz,index_cn
399010,399010,100.0,2.0,深证700,5915.40234375,sz,index_cn
399011,399011,100.0,2.0,深证1000,4937.0483398438,sz,index_cn
399012,399012,100.0,2.0,创业300,2827.21484375,sz,index_cn
399013,399013,100.0,2.0,深市精选,4646.1450195312,sz,index_cn
399015,399015,100.0,2.0,中小创新,1925.3341064453,sz,index_cn
399016,399016,100.0,2.0,深证创新,3232.5717773438,sz,index_cn
399017,399017,100.0,2.0,SME创新,2939.3271484375,sz,index_cn
399018,399018,100.0,2.0,创业创新,3664.6318359375,sz,index_cn
399050,399050,100.0,2.0,创新引擎,2471.0026855469,sz,index_cn
399088,399088,100.0,2.0,深创100,3112.3483886719,sz,index_cn
399100,399100,100.0,2.0,新 指 数,7893.1796875,sz,index_cn
399101,399101,100.0,2.0,中小板综,9807.4130859375,sz,index_cn
399102,399102,100.0,2.0,创业板综,2253.6650390625,sz,index_cn
399103,399103,100.0,2.0,乐富指数,6276.6323242188,sz,index_cn
399106,399106,100.0,2.0,深证综指,1730.7421875,sz,index_cn
399107,399107,100.0,2.0,深证Ａ指,1811.0322265625,sz,index_cn
399108,399108,100.0,2.0,深证Ｂ指,823.7258911133,sz,index_cn
399231,399231,100.0,2.0,农林指数,1661.6590576172,sz,index_cn
399232,399232,100.0,2.0,采矿指数,1658.2878417969,sz,index_cn
399233,399233,100.0,2.0,制造指数,2006.6729736328,sz,index_cn
399234,399234,100.0,2.0,水电指数,607.2551269531,sz,index_cn
399235,399235,100.0,2.0,建筑指数,1017.8629150391,sz,index_cn
399236,399236,100.0,2.0,批零指数,1348.4248046875,sz,index_cn
399237,399237,100.0,2.0,运输指数,1059.6196289062,sz,index_cn
399238,399238,100.0,2.0,餐饮指数,1017.3198852539,sz,index_cn
399239,399239,100.0,2.0,IT指数,1864.8813476562,sz,index_cn
399240,399240,100.0,2.0,金融指数,1038.5185546875,sz,index_cn
399241,399241,100.0,2.0,地产指数,2342.9504394531,sz,index_cn
399242,399242,100.0,2.0,商务指数,998.8756103516,sz,index_cn
399243,399243,100.0,2.0,科研指数,1940.8143310547,sz,index_cn
399244,399244,100.0,2.0,公共指数,756.6380004883,sz,index_cn
399248,399248,100.0,2.0,文化指数,909.1530151367,sz,index_cn
399249,399249,100.0,2.0,综企指数,718.8547973633,sz,index_cn
399282,399282,100.0,2.0,大数据50,4595.244140625,sz,index_cn
399283,399283,100.0,2.0,机器人50,2291.8854980469,sz,index_cn
399284,399284,100.0,2.0,AI 50,3094.5834960938,sz,index_cn
399285,399285,100.0,2.0,物联网50,3238.8159179688,sz,index_cn
399286,399286,100.0,2.0,区块链50,3189.3369140625,sz,index_cn
399290,399290,100.0,2.0,深转交债,133.2991943359,sz,index_cn
399291,399291,100.0,2.0,创精选88,3188.4226074219,sz,index_cn
399292,399292,100.0,2.0,民企发展,1112.7227783203,sz,index_cn
399293,399293,100.0,2.0,创业大盘,3786.2390136719,sz,index_cn
399294,399294,100.0,2.0,中小创Q,2808.5378417969,sz,index_cn
399295,399295,100.0,2.0,创业蓝筹,4602.5883789062,sz,index_cn
399296,399296,100.0,2.0,创成长,3950.7434082031,sz,index_cn
399297,399297,100.0,2.0,新浪100,3012.4768066406,sz,index_cn
399298,399298,100.0,2.0,深信中高,175.083404541,sz,index_cn
399299,399299,100.0,2.0,深信中低,192.0986022949,sz,index_cn
399300,399300,100.0,2.0,沪深300,3867.0319824219,sz,index_cn
399301,399301,100.0,2.0,深信用债,178.0605010986,sz,index_cn
399302,399302,100.0,2.0,深公司债,182.2467041016,sz,index_cn
399303,399303,100.0,2.0,国证2000,6084.1923828125,sz,index_cn
399306,399306,100.0,2.0,深证ETF,1262.7071533203,sz,index_cn
399307,399307,100.0,2.0,深证转债,242.591003418,sz,index_cn
399310,399310,100.0,2.0,国证A50,6100.802734375,sz,index_cn
399311,399311,100.0,2.0,国证1000,3856.349609375,sz,index_cn
399312,399312,100.0,2.0,国证300,4390.1000976562,sz,index_cn
399313,399313,100.0,2.0,巨潮100,4585.7275390625,sz,index_cn
399314,399314,100.0,2.0,巨潮大盘,4086.6765136719,sz,index_cn
399315,399315,100.0,2.0,巨潮中盘,3846.4309082031,sz,index_cn
399316,399316,100.0,2.0,巨潮小盘,4035.146484375,sz,index_cn
399317,399317,100.0,2.0,国证Ａ指,4435.072265625,sz,index_cn
399318,399318,100.0,2.0,国证Ｂ指,3219.0632324219,sz,index_cn
399319,399319,100.0,2.0,资源优势,1289.1993408203,sz,index_cn
399320,399320,100.0,2.0,国证服务,1806.875,sz,index_cn
399321,399321,100.0,2.0,国证红利,6308.5874023438,sz,index_cn
399322,399322,100.0,2.0,国证治理,8304.697265625,sz,index_cn
399324,399324,100.0,2.0,深证红利,9269.689453125,sz,index_cn
399326,399326,100.0,2.0,成长40,5707.1958007812,sz,index_cn
399328,399328,100.0,2.0,深证治理,10019.8203125,sz,index_cn
399330,399330,100.0,2.0,深证100,4666.4077148438,sz,index_cn
399333,399333,100.0,2.0,中小板R,7802.0537109375,sz,index_cn
399335,399335,100.0,2.0,深证央企,3788.8916015625,sz,index_cn
399337,399337,100.0,2.0,深证民营,4640.6845703125,sz,index_cn
399339,399339,100.0,2.0,深证科技,6323.46484375,sz,index_cn
399341,399341,100.0,2.0,深证责任,1784.6784667969,sz,index_cn
399344,399344,100.0,2.0,深证300R,5419.7963867188,sz,index_cn
399346,399346,100.0,2.0,深证成长,3809.1708984375,sz,index_cn
399348,399348,100.0,2.0,深证价值,5907.1904296875,sz,index_cn
399350,399350,100.0,2.0,皖江30,1683.1771240234,sz,index_cn
399351,399351,100.0,2.0,创新示范,8509.6572265625,sz,index_cn
399352,399352,100.0,2.0,深企综指,7776.9086914062,sz,index_cn
399353,399353,100.0,2.0,国证物流,2160.7321777344,sz,index_cn
399354,399354,100.0,2.0,分析师指,6740.607421875,sz,index_cn
399355,399355,100.0,2.0,长三角,3303.2836914062,sz,index_cn
399356,399356,100.0,2.0,珠三角,9935.306640625,sz,index_cn
399357,399357,100.0,2.0,环渤海,2679.7888183594,sz,index_cn
399358,399358,100.0,2.0,国证环保,2925.8254394531,sz,index_cn
399359,399359,100.0,2.0,国证基建,2289.5844726562,sz,index_cn
399360,399360,100.0,2.0,新硬件,3763.2687988281,sz,index_cn
399361,399361,100.0,2.0,在线消费,4658.9609375,sz,index_cn
399362,399362,100.0,2.0,民企100,6484.3129882812,sz,index_cn
399363,399363,100.0,2.0,云科技,4649.32421875,sz,index_cn
399364,399364,100.0,2.0,消费100,8919.873046875,sz,index_cn
399365,399365,100.0,2.0,国证农业,12621.5322265625,sz,index_cn
399366,399366,100.0,2.0,国证大宗,1707.9404296875,sz,index_cn
399367,399367,100.0,2.0,1000地产,5337.1181640625,sz,index_cn
399368,399368,100.0,2.0,国证军工,5694.9926757812,sz,index_cn
399369,399369,100.0,2.0,国证责任,1478.1135253906,sz,index_cn
399370,399370,100.0,2.0,国证成长,4092.8344726562,sz,index_cn
399371,399371,100.0,2.0,国证价值,5593.9619140625,sz,index_cn
399372,399372,100.0,2.0,大盘成长,4200.9067382812,sz,index_cn
399373,399373,100.0,2.0,大盘价值,6877.9619140625,sz,index_cn
399374,399374,100.0,2.0,中盘成长,4251.02734375,sz,index_cn
399375,399375,100.0,2.0,中盘价值,4576.3056640625,sz,index_cn
399376,399376,100.0,2.0,小盘成长,4542.9409179688,sz,index_cn
399377,399377,100.0,2.0,小盘价值,5103.72265625,sz,index_cn
399378,399378,100.0,2.0,国证低碳,2252.7026367188,sz,index_cn
399379,399379,100.0,2.0,国证基金,6726.6518554688,sz,index_cn
399380,399380,100.0,2.0,国证ETF,1342.3717041016,sz,index_cn
399381,399381,100.0,2.0,1000能源,1597.2365722656,sz,index_cn
399382,399382,100.0,2.0,1000材料,1988.2016601562,sz,index_cn
399383,399383,100.0,2.0,1000工业,2093.5024414062,sz,index_cn
399384,399384,100.0,2.0,1000可选,3062.4150390625,sz,index_cn
399385,399385,100.0,2.0,1000消费,11009.0888671875,sz,index_cn
399386,399386,100.0,2.0,1000医药,8065.740234375,sz,index_cn
399387,399387,100.0,2.0,1000金融,4684.0932617188,sz,index_cn
399388,399388,100.0,2.0,1000信息,4253.3037109375,sz,index_cn
399389,399389,100.0,2.0,国证通信,3927.9509277344,sz,index_cn
399390,399390,100.0,2.0,1000公用,1873.1794433594,sz,index_cn
399391,399391,100.0,2.0,投资时钟,2780.1486816406,sz,index_cn
399392,399392,100.0,2.0,国证新兴,2178.2412109375,sz,index_cn
399393,399393,100.0,2.0,国证地产,5716.552734375,sz,index_cn
399394,399394,100.0,2.0,国证医药,12316.7001953125,sz,index_cn
399395,399395,100.0,2.0,国证有色,3139.40234375,sz,index_cn
399396,399396,100.0,2.0,国证食品,19035.583984375,sz,index_cn
399397,399397,100.0,2.0,国证文化,2001.494140625,sz,index_cn
399398,399398,100.0,2.0,绩效指数,9100.716796875,sz,index_cn
399399,399399,100.0,2.0,中经GDP,7060.0703125,sz,index_cn
399400,399400,100.0,2.0,大中盘,3361.41015625,sz,index_cn
399401,399401,100.0,2.0,中小盘,3581.6037597656,sz,index_cn
399402,399402,100.0,2.0,周期100,2806.6293945312,sz,index_cn
399403,399403,100.0,2.0,防御100,8131.7622070312,sz,index_cn
399404,399404,100.0,2.0,大盘低波,4368.0629882812,sz,index_cn
399405,399405,100.0,2.0,大盘高贝,2141.2790527344,sz,index_cn
399406,399406,100.0,2.0,中盘低波,9464.5478515625,sz,index_cn
399407,399407,100.0,2.0,中盘高贝,2510.8959960938,sz,index_cn
399408,399408,100.0,2.0,小盘低波,9612.84765625,sz,index_cn
399409,399409,100.0,2.0,小盘高贝,3714.0510253906,sz,index_cn
399410,399410,100.0,2.0,苏州率先,2059.5163574219,sz,index_cn
399411,399411,100.0,2.0,红利100,2856.8278808594,sz,index_cn
399412,399412,100.0,2.0,国证新能,1743.0743408203,sz,index_cn
399413,399413,100.0,2.0,国证转债,130.8179931641,sz,index_cn
399415,399415,100.0,2.0,I100,5459.0498046875,sz,index_cn
399416,399416,100.0,2.0,I300,3426.6240234375,sz,index_cn
399417,399417,100.0,2.0,新能源车,1796.4775390625,sz,index_cn
399418,399418,100.0,2.0,国证国安,3039.3955078125,sz,index_cn
399419,399419,100.0,2.0,国证高铁,1512.3787841797,sz,index_cn
399420,399420,100.0,2.0,国证保证,1263.1696777344,sz,index_cn
399422,399422,100.0,2.0,中关村A,2898.7172851562,sz,index_cn
399423,399423,100.0,2.0,中关村50,2757.541015625,sz,index_cn
399427,399427,100.0,2.0,专利领先,2342.1064453125,sz,index_cn
399428,399428,100.0,2.0,国证定增,2225.107421875,sz,index_cn
399429,399429,100.0,2.0,新丝路,1061.4171142578,sz,index_cn
399431,399431,100.0,2.0,国证银行,6089.9711914062,sz,index_cn
399432,399432,100.0,2.0,智能汽车,2575.4597167969,sz,index_cn
399433,399433,100.0,2.0,国证交运,1530.2513427734,sz,index_cn
399434,399434,100.0,2.0,国证传媒,1761.2365722656,sz,index_cn
399435,399435,100.0,2.0,国证农牧,5086.0751953125,sz,index_cn
399436,399436,100.0,2.0,国证煤炭,1984.251953125,sz,index_cn
399437,399437,100.0,2.0,证券龙头,5356.0537109375,sz,index_cn
399438,399438,100.0,2.0,国证电力,1627.0909423828,sz,index_cn
399439,399439,100.0,2.0,国证油气,1147.3851318359,sz,index_cn
