,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
185,sh000911,300可选,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
186,sh000912,300消费,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
187,sh000913,300医药,16116.1364,529.984,3.4,15586.1524,15679.5506,16153.1752,15679.5506,3153330,22337556352
188,sh000914,300金融,6889.5994,46.535,0.68,6843.0645,6871.437,6911.5475,6859.073,24879173,31742279576
189,sh000917,300公用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
190,sh000918,300成长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
191,sh000919,300价值,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
192,sh000922,中证红利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
193,sh000925,基本面50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
194,sh000928,中证能源,1626.3999,4.619,0.285,1621.7806,1617.6026,1630.5281,1613.2253,4204012,2626712971
195,sh000931,中证可选,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
196,sh000932,中证消费,25307.7065,522.136,2.107,24785.5707,24890.194,25442.101,24805.1397,5329191,30868006435
197,sh000933,中证医药,14507.4571,372.66,2.636,14134.7976,14203.1168,14536.0296,14203.1168,5901729,28220295592
198,sh000934,中证金融,6504.7894,41.718,0.645,6463.0712,6487.5978,6524.5003,6477.0301,31208084,36368287522
199,sh000935,中证信息,5049.7888,109.615,2.219,4940.1739,4958.8288,5051.5061,4954.0758,18214384,31196623526
200,sh000939,民企200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
201,sh000940,财富大盘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
202,sh000944,内地资源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
203,sh000950,300基建,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
204,sh000951,300银行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
205,sh000952,300地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
206,sh000957,300运输,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
207,sh000958,创业成长,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
208,sh000959,银河99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
209,sh000961,中证上游,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
210,sh000963,中证下游,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
211,sh000964,中证新兴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
212,sh000966,基本400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
213,sh000969,300非周,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
214,sh000971,等权90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
215,sh000974,800金融,6837.2201,45.65,0.672,6791.5703,6818.3349,6857.022,6805.4329,26264471,32278297175
216,sh000975,钱江30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
217,sh000977,内地低碳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
218,sh000978,医药100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
219,sh000979,大宗商品,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
220,sh000982,500等权,7267.6366,88.81,1.237,7178.8265,7187.2501,7278.5163,7187.2501,88849870,88261481122
221,sh000983,智能资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
222,sh000984,300等权,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
223,sh000986,全指能源,1481.0703,4.285,0.29,1476.7852,1473.2977,1483.8231,1468.7951,8076637,4562627425
224,sh000987,全指材料,3663.0278,64.407,1.79,3598.6213,3609.6684,3667.8595,3605.5531,67131201,65935470144
225,sh000989,全指可选,5870.2321,116.788,2.03,5753.4446,5783.9397,5877.0338,5783.9397,40485130,47492224630
226,sh000990,全指消费,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
227,sh000991,全指医药,14283.3211,342.152,2.454,13941.1693,14010.5476,14309.1756,14005.4319,13300395,42531538363
228,sh000992,全指金融,6161.9022,38.137,0.623,6123.7654,6146.2974,6179.9422,6135.2763,35145870,39008022249
