,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,ma0,ma1,ma2,ma3,ma4,cToMa1,cToMa2,std_cToMa1,std_cToMa2,cdlBody,cdlHl,std_cdl_b,std_cdl_f,ma_body,ma_cToMa1,ma_cToMa2,ma_min1_3,ma_max1_3,ma_band1_3,kl_base_ref,kl1_3_thresh,ma_kl1_3,ma_min1_4,ma_max1_4,ma_band1_4,kl1_4_thresh,ma_kl1_4,df_12,df_23,df_34,mv1,mv2,bodyU,bodyD,bdr,upperShadow,lowerShadow,stdCdlB,stdCdlF,maBody,zdStrengh,longUShadow,longLShadow,rng3D,rng5D,rng7D,rng9D,bRng,yby,ctpj,ybyD,wygd,tp3D,tp5D,tp7D,s001,time
16,1.6166841e+18,14417.0,4795.0,4799.0,4792.0,4794.0,15350.0,932897.0,927268.0,SHFE.rb2105,300,4797.1449374777985,4795.379554495718,4793.890204317161,4793.289078229267,4792.652063810558,-1.3795544957183665,0.1097956828389215,,,-1.0,7.0,,,,,,4793.289078229267,4795.379554495718,2.0904762664513328,0.4793890204317161,0.5752668245180593,False,4792.652063810558,4795.379554495718,2.727490685160774,0.5752668245180593,False,1.489350178557288,0.6011260878940448,0.6370144187094411,24231.625,,4795.0,4794.0,1.0,4.0,2.0,,,,,,,5.0,11.0,12.0,12.0,1.0,False,False,False,False,False,False,False,False,2021-03-25 22:55
17,1.6167204e+18,14418.0,4800.0,4820.0,4800.0,4803.0,56283.0,927268.0,931075.0,SHFE.rb2105,300,4798.4460624827325,4796.105311210412,4794.334584594372,4793.607469106995,4792.823104078152,6.894688789588145,8.665415405627755,,,3.0,20.0,,,,,,4793.607469106995,4796.105311210412,2.4978421034165876,0.47943345845943725,0.5753201501513246,False,4792.823104078152,4796.105311210412,3.2822071322598276,0.5753201501513246,False,1.7707266160396102,0.7271154873769774,0.78436502884324,23705.0,,4803.0,4800.0,3.0,17.0,0.0,,,,,,,9.0,9.0,11.0,12.0,3.0,False,False,False,False,False,False,False,False,2021-03-26 09:00
18,1.6167207e+18,14419.0,4803.0,4815.0,4801.0,4815.0,27101.0,931075.0,934665.0,SHFE.rb2105,300,4802.124715264348,4797.904805380848,4795.34265363855,4794.308863562504,4793.189664341324,17.095194619151698,19.657346361450436,,,12.0,14.0,,,,,,4794.308863562504,4797.904805380848,3.595941818344727,0.47953426536385496,0.5754411184366259,False,4793.189664341324,4797.904805380848,4.715141039524497,0.5754411184366259,False,2.562151742298738,1.0337900760459888,1.1191992211797697,24163.25,,4815.0,4803.0,12.0,0.0,2.0,,,,,,,21.0,21.0,21.0,21.0,12.0,False,False,False,False,False,False,False,False,2021-03-26 09:05
19,1.616721e+18,14420.0,4815.0,4816.0,4806.0,4813.0,22558.0,934665.0,936915.0,SHFE.rb2105,300,4804.541445205604,4799.342442963624,4796.2039876074,4794.921687707994,4793.51710790593,13.657557036375692,16.79601239259955,7.401266524445587,7.401266524445587,-2.0,10.0,5.163383223797114,4.55492792709749,3.65,6.079018921149782,6.946241796332879,4794.921687707994,4799.342442963624,4.420755255629956,0.4796203987607401,4.38,False,4793.51710790593,4799.342442963624,5.825335057694247,4.38,False,3.138455356223858,1.2822998994060981,1.4045798020642906,23490.875,,4815.0,4813.0,2.0,1.0,7.0,5.163383223797114,4.55492792709749,,,,,12.0,21.0,21.0,21.0,2.0,False,False,False,False,False,False,False,False,2021-03-26 09:10
20,1.6167213e+18,14421.0,4813.0,4830.0,4810.0,4828.0,46532.0,936915.0,946754.0,SHFE.rb2105,300,4809.754457382136,4802.071734109946,4797.7550126021615,4796.00622253724,4794.08707306451,25.928265890053808,30.244987397838486,8.881084060911373,8.881084060911373,15.0,20.0,6.0567491714876045,5.037752213876845,4.3,7.375432215652472,8.458491166224803,4796.00622253724,4802.071734109946,6.065511572705873,0.4797755012602162,5.159999999999999,False,4794.08707306451,4802.071734109946,7.984661045436042,5.159999999999999,False,4.316721507784678,1.7487900649211952,1.9191494727301688,27789.125,,4828.0,4813.0,15.0,2.0,3.0,6.0567491714876045,5.037752213876845,,,,,15.0,34.0,34.0,34.0,15.0,False,False,False,False,False,False,False,False,2021-03-26 09:15
21,1.6167216e+18,14422.0,4828.0,4830.0,4822.0,4824.0,32818.0,946754.0,950085.0,SHFE.rb2105,300,4812.920133519439,4804.160140385189,4799.03525588986,4796.924051306511,4794.581501608899,19.839859614810848,24.96474411013969,9.410821751196446,9.410821751196446,-4.0,8.0,6.173798625942071,5.003945811478231,4.5,8.367425196393015,9.706728371731788,4796.924051306511,4804.160140385189,7.23608907867856,0.4799035255889861,5.4,False,4794.581501608899,4804.160140385189,9.578638776290063,5.4,False,5.124884495328843,2.1112045833497177,2.342549697611503,29389.875,,4828.0,4824.0,4.0,2.0,2.0,6.173798625942071,5.003945811478231,,,,,15.0,25.0,34.0,34.0,4.0,False,False,False,False,False,False,False,False,2021-03-26 09:20
22,1.6167219e+18,14423.0,4824.0,4828.0,4818.0,4824.0,23080.0,950085.0,951162.0,SHFE.rb2105,300,4815.382326070675,4806.049650824695,4800.253048285476,4797.811787329248,4795.067757780654,17.950349175304837,23.746951714523675,9.397783325381974,9.397783325381974,0.0,10.0,5.9418232183307795,5.003945811478231,4.2,8.993514083729679,10.608710103799467,4797.811787329248,4806.049650824695,8.237863495447527,0.48002530482854766,5.040000000000001,False,4795.067757780654,4806.049650824695,10.981893044041499,5.040000000000001,False,5.7966025392188385,2.441260956228689,2.7440295485939714,30381.375,,4824.0,4824.0,0.0,4.0,6.0,5.9418232183307795,5.003945811478231,,,,,4.0,15.0,34.0,34.0,0.0,False,False,False,False,False,False,False,False,2021-03-26 09:25
23,1.6167222e+18,14424.0,4824.0,4826.0,4819.0,4824.0,18045.0,951162.0,953212.0,SHFE.rb2105,300,4817.297364721637,4807.75920788901,4801.411436173989,4798.670417252879,4795.545976660313,16.240792110989787,22.588563826010613,9.18095934623397,9.18095934623397,0.0,7.0,5.9418232183307795,5.003945811478231,4.2,9.559975457986639,11.466692726985821,4798.670417252879,4807.75920788901,9.088790636131307,0.48014114361739896,5.040000000000001,False,4795.545976660313,4807.75920788901,12.213231228697623,5.040000000000001,False,6.347771715020826,2.7410189211104807,3.124440592566316,30220.875,,4824.0,4824.0,0.0,2.0,5.0,5.9418232183307795,5.003945811478231,,,,,0.0,15.0,25.0,34.0,0.0,False,False,False,False,False,False,False,False,2021-03-26 09:30
24,1.6167225e+18,14425.0,4824.0,4833.0,4824.0,4831.0,31634.0,953212.0,955783.0,SHFE.rb2105,300,4820.342394783495,4809.9726166614855,4802.8547807508685,4799.730403572456,4796.131993575018,21.027383338514483,28.145219249131515,9.055721359383398,9.055721359383398,7.0,9.0,6.026258331144144,4.944694126030447,4.5,10.343916701362014,12.568188392943558,4799.730403572456,4809.9726166614855,10.242213089029065,0.48028547807508687,5.4,False,4796.131993575018,4809.9726166614855,13.84062308646753,5.4,False,7.117835910617032,3.1243771784120327,3.5984099974384662,32256.375,,4831.0,4824.0,7.0,2.0,0.0,6.026258331144144,4.944694126030447,,,,,7.0,7.0,18.0,37.0,7.0,False,False,False,False,False,False,False,False,2021-03-26 09:35
25,1.6167228e+18,14426.0,4831.0,4837.0,4829.0,4836.0,28203.0,955783.0,961810.0,SHFE.rb2105,300,4823.821862609386,4812.451415074677,4804.471620714241,4800.919570668441,4796.790968887827,23.548584925322757,31.528379285759,9.230182001878724,9.230182001878724,5.0,8.0,6.047835628509896,4.86096156829295,4.55,11.46033973108256,14.044001343488707,4800.919570668441,4812.451415074677,11.531844406235905,0.4804471620714241,5.459999999999999,False,4796.790968887827,4812.451415074677,15.660446186850095,5.459999999999999,False,7.9797943604362445,3.5520500457996604,4.12860178061419,28746.375,,4836.0,4831.0,5.0,1.0,2.0,6.047835628509896,4.86096156829295,,,,,12.0,12.0,23.0,33.0,5.0,False,False,False,False,False,False,False,False,2021-03-26 09:40
26,1.6167231e+18,14427.0,4836.0,4840.0,4830.0,4833.0,26601.0,961810.0,966521.0,SHFE.rb2105,300,4825.861448696189,4814.408423162804,4805.863248972083,4801.971388023574,4797.389465269846,18.591576837196044,27.136751027916944,8.558991567229189,8.558991567229189,-3.0,10.0,5.940715888102872,4.727021984516813,4.45,12.108531996067768,15.06733561351948,4801.971388023574,4814.408423162804,12.43703513922992,0.4805863248972083,5.340000000000001,False,4797.389465269846,4814.408423162804,17.018957892957587,5.340000000000001,False,8.5451741907209,3.89186094850902,4.581922753727667,28683.875,,4836.0,4833.0,3.0,4.0,3.0,5.940715888102872,4.727021984516813,,,,,5.0,12.0,12.0,23.0,3.0,False,False,False,False,False,False,False,False,2021-03-26 09:45
27,1.6167234e+18,14428.0,4833.0,4837.0,4830.0,4835.0,18197.0,966521.0,968637.0,SHFE.rb2105,300,4827.892237874814,4816.369525718727,4807.284553900274,4803.054293334277,4798.011127000924,18.630474281272654,27.71544609972625,8.089391810444686,8.089391810444686,2.0,7.0,5.924747385243304,4.767212580688392,4.35,12.966420235816305,16.326116992329254,4803.054293334277,4816.369525718727,13.31523238445061,0.4807284553900274,5.22,False,4798.011127000924,4816.369525718727,18.35839871780354,5.22,False,9.084971818453596,4.230260565997014,5.043166333352929,28138.75,,4835.0,4833.0,2.0,2.0,3.0,5.924747385243304,4.767212580688392,,,,,3.0,12.0,12.0,23.0,2.0,False,False,False,False,False,False,False,False,2021-03-26 09:50
28,1.6167237e+18,14429.0,4835.0,4847.0,4831.0,4846.0,40700.0,968637.0,973070.0,SHFE.rb2105,300,4831.916185013744,4819.1914756502765,4809.173112246602,4804.46234929053,4798.804331513305,26.808524349723484,36.826887753398296,8.39519365209503,8.39519365209503,11.0,16.0,6.19932084565466,4.891184336183448,4.6,14.102040453873268,18.002891773191504,4804.46234929053,4819.1914756502765,14.72912635974626,0.4809173112246602,5.52,False,4798.804331513305,4819.1914756502765,20.387144136971074,5.52,False,10.018363403674812,4.710762956071449,5.6580177772248135,27409.75,,4846.0,4835.0,11.0,1.0,4.0,6.19932084565466,4.891184336183448,,,,,13.0,15.0,22.0,22.0,11.0,False,False,False,False,False,False,False,False,2021-03-26 09:55
29,1.616724e+18,14430.0,4846.0,4848.0,4827.0,4830.0,37075.0,973070.0,974105.0,SHFE.rb2105,300,4831.490366121801,4820.220858921679,4810.18905799067,4805.299649313792,4799.319962397383,9.779141078321118,19.810942009329665,8.443666825639946,8.443666825639946,-16.0,21.0,7.003006872990908,4.655217785622811,4.8,13.862839698781908,18.266165345231137,4805.299649313792,4820.220858921679,14.92120960788725,0.48101890579906703,5.76,False,4799.319962397383,4820.220858921679,20.900896524295604,5.76,False,10.031800931008547,4.889408676878702,5.979686916408355,27941.875,,4846.0,4830.0,16.0,2.0,3.0,7.003006872990908,4.655217785622811,4.533333333333333,-3.5294117647058822,0.4411764705882353,0.6617647058823529,16.0,16.0,22.0,22.0,16.0,False,False,False,False,True,True,False,False,2021-03-26 10:00
30,1.6167243e+18,14431.0,4830.0,4837.0,4825.0,4829.0,29467.0,974105.0,970234.0,SHFE.rb2105,300,4830.936951428068,4821.056967595804,4811.106664917955,4806.076709992028,4799.810541531311,7.943032404195947,17.89333508204527,8.540383592158017,8.540383592158017,-1.0,12.0,7.013333166566604,4.648429276308515,4.85,13.601181872746883,18.46903532839074,4806.076709992028,4821.056967595804,14.980257603776408,0.4811106664917955,5.819999999999999,False,4799.810541531311,4821.056967595804,21.24642606449288,5.819999999999999,False,9.950302677849322,5.029954925927086,6.266168460716472,28740.25,,4830.0,4829.0,1.0,7.0,4.0,7.013333166566604,4.648429276308515,4.5,-0.2222222222222222,1.5555555555555556,0.8888888888888888,17.0,17.0,17.0,22.0,1.0,False,False,False,False,False,False,False,False,2021-03-26 10:05
31,1.6167246e+18,14432.0,4829.0,4834.0,4825.0,4834.0,19541.0,970234.0,969563.0,SHFE.rb2105,300,4831.617628888497,4822.289637348585,4812.223412970738,4806.9922276972065,4800.375656547323,11.71036265141538,21.776587029262373,8.531551197507364,8.531551197507364,5.0,9.0,7.058216563171718,4.674679837052733,5.05,13.63587241109617,18.947375068469363,4806.9922276972065,4822.289637348585,15.297409651378075,0.4812223412970738,6.06,False,4800.375656547323,4822.289637348585,21.91398080126146,6.06,False,10.066224377846993,5.231185273531082,6.616571149883384,28927.25,,4834.0,4829.0,5.0,0.0,4.0,7.058216563171718,4.674679837052733,4.666666666666667,1.0714285714285714,0.0,0.8571428571428571,5.0,17.0,17.0,22.0,5.0,False,False,False,False,False,False,False,False,2021-03-26 10:10
32,1.6167258e+18,14433.0,4834.0,4840.0,4832.0,4840.0,19095.0,969563.0,971745.0,SHFE.rb2105,300,4833.4803780243865,4823.976338553482,4813.578368435579,4808.074449739921,4801.030604372988,16.023661446518418,26.42163156442075,8.50905453195001,8.50905453195001,6.0,8.0,7.133870286398393,4.632550735371332,5.35,13.938687660078859,19.68774701634902,4808.074449739921,4823.976338553482,15.901888813560618,0.48135783684355793,6.419999999999999,False,4801.030604372988,4823.976338553482,22.945734180493673,6.419999999999999,False,10.397970117902332,5.503918695658285,7.043845366933056,27359.875,,4840.0,4834.0,6.0,0.0,2.0,7.133870286398393,4.632550735371332,4.666666666666667,1.2857142857142856,0.0,0.42857142857142855,11.0,17.0,17.0,17.0,6.0,False,False,False,False,False,False,False,False,2021-03-26 10:30
33,1.6167261e+18,14434.0,4840.0,4846.0,4836.0,4837.0,28286.0,971745.0,972553.0,SHFE.rb2105,300,4834.26251624119,4825.216687262674,4814.720887048477,4809.022828436973,4801.625139837897,11.783312737326014,22.27911295152262,8.050153500292993,8.050153500292993,-3.0,10.0,6.8679269836415395,4.6407803336576015,5.1,14.438853837729857,20.62980813750287,4809.022828436973,4825.216687262674,16.193858825700772,0.48147208870484776,6.119999999999999,False,4801.625139837897,4825.216687262674,23.591547424776763,6.119999999999999,False,10.495800214196606,5.698058611504166,7.397688599075991,27370.25,,4840.0,4837.0,3.0,6.0,1.0,6.8679269836415395,4.6407803336576015,4.766666666666667,-0.6293706293706294,1.2587412587412588,0.2097902097902098,6.0,11.0,17.0,17.0,3.0,False,False,False,False,False,False,False,False,2021-03-26 10:35
34,1.6167264e+18,14435.0,4837.0,4845.0,4837.0,4838.0,13193.0,972553.0,974156.0,SHFE.rb2105,300,4835.093068187592,4826.434145618609,4815.856453533917,4809.972899635761,4802.226377195949,11.565854381390636,22.143546466082626,7.6705792903175265,7.6705792903175265,1.0,8.0,6.8692679453682075,4.543358368339206,5.05,14.846147046080796,21.478354082015038,4809.972899635761,4826.434145618609,16.461245982848595,0.48158564535339177,6.06,False,4802.226377195949,4826.434145618609,24.207768422660592,6.06,False,10.57769208469199,5.883553898156606,7.746522439811997,25694.25,,4838.0,4837.0,1.0,7.0,0.0,6.8692679453682075,4.543358368339206,4.766666666666667,0.2097902097902098,1.4685314685314685,0.0,3.0,11.0,17.0,17.0,1.0,False,False,False,False,False,False,False,False,2021-03-26 10:40
35,1.6167267e+18,14436.0,4838.0,4844.0,4837.0,4842.0,46146.0,974156.0,977465.0,SHFE.rb2105,300,4836.627941923683,4827.916607940646,4817.131748483482,4811.022968500162,4802.883792448908,14.083392059354082,24.868251516518285,6.794457667747194,6.794457667747194,4.0,7.0,6.754920234053179,4.639362478889348,5.05,15.52407811112721,22.665995346307135,4811.022968500162,4827.916607940646,16.89363944048364,0.4817131748483482,6.06,False,4802.883792448908,4827.916607940646,25.032815491737892,6.06,False,10.784859457164202,6.108779983319437,8.139176051254253,29187.875,,4842.0,4838.0,4.0,2.0,1.0,6.754920234053179,4.639362478889348,4.766666666666667,0.8391608391608392,0.4195804195804196,0.2097902097902098,5.0,8.0,13.0,17.0,4.0,False,False,False,False,False,False,False,False,2021-03-26 10:45
36,1.616727e+18,14437.0,4842.0,4845.0,4840.0,4841.0,12928.0,977465.0,978450.0,SHFE.rb2105,300,4837.599510385086,4829.162645279633,4818.296053435507,4812.00582199196,4803.513812408431,11.83735472036733,22.70394656449298,5.619046247383818,5.619046247383818,-1.0,5.0,6.754920234053179,4.751454071068527,5.05,16.046968122359658,23.79570289038984,4812.00582199196,4829.162645279633,17.156823287672523,0.48182960534355074,6.06,False,4803.513812408431,4829.162645279633,25.648832871202103,6.06,False,10.86659184412565,6.2902314435468725,8.49200958352958,25716.375,,4842.0,4841.0,1.0,3.0,1.0,6.754920234053179,4.751454071068527,4.633333333333334,-0.2158273381294964,0.6474820143884892,0.2158273381294964,4.0,5.0,13.0,17.0,1.0,False,False,False,False,False,False,False,False,2021-03-26 10:50
