,ma20,ma40,ma60,ma80,bias_cdl_b,bias_cdl_l,min,max,band
43,4790.7,4795.875,,,4.858795605583974,6.141103963843704,4.858795605583974,4795.875,4791.016204394416
44,4791.3,4795.85,,,4.817457289571141,6.129308366580326,4.817457289571141,4795.85,4791.032542710429
45,4791.85,4795.25,,,4.822098254800227,5.972524812135899,4.822098254800227,4795.25,4790.4279017452
46,4792.35,4794.35,,,4.837082635334304,6.028659622346022,4.837082635334304,4794.35,4789.5129173646665
47,4792.75,4793.6,,,5.2254438240110055,4.085919338668506,4.085919338668506,4793.6,4789.514080661332
48,4793.65,4793.45,,,4.951342189112386,4.186129980127987,4.186129980127987,4793.65,4789.463870019872
49,4794.25,4793.525,,,5.123732192352308,4.186129980127987,4.186129980127987,4794.25,4790.063870019872
50,4794.5,4793.55,,,4.972291645763183,4.2336372318050985,4.2336372318050985,4794.5,4790.266362768195
51,4794.8,4793.975,,,4.679181214924816,4.5421997916613535,4.5421997916613535,4794.8,4790.257800208339
52,4795.75,4794.65,,,5.382965334225524,4.56848471942054,4.56848471942054,4795.75,4791.181515280579
53,4796.9,4795.25,,,5.193872908483004,4.552327340001632,4.552327340001632,4796.9,4792.347672659998
54,4798.7,4796.0,,,6.082762530298221,5.039580183016502,5.039580183016502,4798.7,4793.660419816983
55,4800.3,4796.575,,,6.199320845654664,5.006311805584712,5.006311805584712,4800.3,4795.293688194415
56,4802.2,4797.225,,,5.968337509858083,5.006311805584712,5.006311805584712,4802.2,4797.193688194415
57,4804.05,4797.95,,,5.977809843606253,5.006311805584712,5.006311805584712,4804.05,4799.043688194415
58,4806.3,4798.625,,,6.065215750924545,4.948152233542921,4.948152233542921,4806.3,4801.3518477664575
59,4808.65,4799.65,4800.733333333334,,6.099827435005201,4.865561037591279,4.865561037591279,4808.65,4803.784438962409
60,4811.05,4800.575,4801.416666666667,,6.051533081094325,4.733975740937999,4.733975740937999,4811.05,4806.316024259062
61,4813.4,4801.675,4801.983333333334,,6.0478356285098975,4.773556546775493,4.773556546775493,4813.4,4808.626443453224
62,4816.05,4802.975,4802.6,,6.343459126077077,4.891184336183448,4.891184336183448,4816.05,4811.158815663816
63,4817.2,4803.95,4802.983333333334,,7.183863496534586,4.655217785622812,4.655217785622812,4817.2,4812.544782214377
64,4818.4,4804.85,4803.366666666667,,7.181115585522321,4.648429276308516,4.648429276308516,4818.4,4813.751570723691
65,4819.8,4805.825,4803.433333333333,,7.210372645308323,4.674679837052734,4.674679837052734,4819.8,4815.125320162948
66,4821.5,4806.925,4803.4,,7.243145580114821,4.632550735371333,4.632550735371333,4821.5,4816.867449264629
67,4823.55,4808.15,4803.583333333333,,6.927253575932036,4.6407803336576015,4.6407803336576015,4823.55,4818.909219666342
68,4825.45,4809.55,4804.116666666667,,6.931241249816509,4.543358368339207,4.543358368339207,4825.45,4820.906641631661
69,4827.85,4811.05,4804.966666666666,,6.789310483554665,4.639362478889349,4.639362478889349,4827.85,4823.210637521111
70,4830.2,4812.35,4805.766666666666,,6.816967994026301,4.751454071068528,4.751454071068528,4830.2,4825.448545928932
71,4832.0,4813.4,4806.65,,6.871757608616515,4.317650433182138,4.317650433182138,4832.0,4827.682349566818
72,4833.55,4814.65,4807.616666666667,,6.565259444907519,4.255027985559525,4.255027985559525,4833.55,4829.294972014441
73,4835.95,4816.425,4808.816666666667,,7.155417527999329,4.615762467663901,4.615762467663901,4835.95,4831.3342375323355
74,4837.65,4818.175,4809.883333333333,,6.513952636254614,4.024922359499623,4.024922359499623,4837.65,4833.6250776405
75,4839.5,4819.9,4810.883333333333,,6.409491317364306,4.006245124802027,4.006245124802027,4839.5,4835.493754875198
76,4841.3,4821.75,4811.916666666667,,6.428554720111955,4.029823033857757,4.029823033857757,4841.3,4837.270176966143
77,4843.3,4823.675,4813.066666666667,,6.431828748702159,3.9735970711951327,3.9735970711951327,4843.3,4839.326402928805
78,4845.6,4825.95,4814.283333333334,,6.726812023536856,4.183614654691249,4.183614654691249,4845.6,4841.416385345309
79,4848.2,4828.425,4815.833333333333,4812.6,6.984757841562095,4.396170582390279,4.396170582390279,4848.2,4843.803829417609
80,4850.85,4830.95,4817.333333333333,4813.775,6.946411417339704,4.541040919390503,4.541040919390503,4850.85,4846.30895908061
81,4853.2,4833.3,4818.85,4814.7875,7.101519481587616,4.447056980686629,4.447056980686629,4853.2,4848.7529430193135
82,4854.9,4835.475,4820.283333333334,4815.675,6.853927034151568,4.356181331105683,4.356181331105683,4854.9,4850.543818668894
83,4857.6,4837.4,4821.833333333333,4816.6375,5.264328817117797,3.7682887362833553,3.7682887362833553,4857.6,4853.831711263717
84,4859.9,4839.15,4823.2,4817.5,5.68354040884266,4.4777226354476225,4.4777226354476225,4859.9,4855.422277364552
85,4862.35,4841.075,4824.666666666667,4818.1625,5.771071231400177,4.568484719420537,4.568484719420537,4862.35,4857.78151528058
86,4864.95,4843.225,4826.266666666666,4818.7875,5.880162905011535,4.568484719420537,4.568484719420537,4864.95,4860.381515280579
87,4867.65,4845.6,4827.983333333334,4819.6,5.833433583098471,4.568484719420537,4.568484719420537,4867.65,4863.081515280579
88,4869.95,4847.7,4829.683333333333,4820.575,6.281761402328928,4.523622209550311,4.523622209550311,4869.95,4865.42637779045
89,4872.6,4850.225,4831.566666666667,4821.875,6.628487165655764,4.701623459816271,4.701623459816271,4872.6,4867.8983765401845
90,4875.35,4852.775,4833.35,4823.1625,6.570267958967245,4.435206041615083,4.435206041615083,4875.35,4870.914793958385
91,4878.3,4855.15,4835.033333333334,4824.5625,6.4799285246220535,4.431941477857968,4.431941477857968,4878.3,4873.868058522142
92,4881.5,4857.525,4836.933333333333,4826.0875,6.737756928017859,4.2855325776015505,4.2855325776015505,4881.5,4877.214467422398
93,4884.75,4860.35,4839.2,4827.8,6.833354728250634,6.11813525082344,6.11813525082344,4884.75,4878.631864749176
94,4888.0,4862.825,4841.45,4829.4125,6.833354728250634,6.0689026147540375,6.0689026147540375,4888.0,4881.931097385246
95,4891.65,4865.575,4843.816666666667,4831.075,6.808663212176245,6.188911986686136,6.188911986686136,4891.65,4885.461088013313
96,4895.9,4868.6,4846.466666666666,4832.9125,6.727007624415732,5.984849292390873,5.984849292390873,4895.9,4889.9151507076085
97,4899.85,4871.575,4849.066666666667,4834.7625,6.854886846929754,5.984849292390873,5.984849292390873,4899.85,4893.865150707609
98,4903.25,4874.425,4851.716666666666,4836.525,6.568665649966716,6.135316231716002,6.135316231716002,4903.25,4897.114683768284
99,4906.0,4877.1,4854.283333333334,4838.375,6.386457711851162,6.14281780018875,6.14281780018875,4906.0,4899.857182199811
