time,pro_loss,orders
2022/09/23-09:20,-20.0,-1
2022/09/23-10:00,-36.0,1
2022/09/23-10:10,-36.0,-1
2022/09/23-11:30,36.0,1
2022/09/23-14:25,36.0,-1
2022/09/23-14:35,-52.0,1
2022/09/23-14:45,-52.0,-1
2022/09/26-11:25,-32.0,1
2022/09/26-13:40,-32.0,-1
2022/09/26-13:45,-20.0,1
2022/09/26-13:55,-20.0,-1
2022/09/26-14:00,-32.0,1
2022/09/26-14:15,-32.0,-1
2022/09/26-14:35,148.0,1
2022/09/27-21:15,148.0,-1
2022/09/27-23:00,-44.0,1
2022/09/27-09:05,-44.0,-1
2022/09/27-09:30,-36.0,1
2022/09/27-10:40,-36.0,-1
2022/09/27-14:20,120.0,1
2022/09/28-21:20,120.0,-1
2022/09/28-21:35,-44.0,1
2022/09/28-22:20,-44.0,-1
2022/09/28-22:35,-44.0,1
2022/09/28-09:05,-44.0,-1
2022/09/28-10:55,-40.0,1
2022/09/28-11:25,-40.0,-1
2022/09/29-09:05,-16.0,1
2022/09/29-09:25,-16.0,-1
2022/09/29-09:35,-4.0,1
2022/09/29-10:05,-4.0,-1
2022/09/29-10:50,28.0,1
2022/09/29-13:40,28.0,-1
2022/09/30-21:10,-32.0,1
2022/09/30-21:20,-32.0,-1
2022/09/30-22:30,-60.0,1
2022/09/30-22:40,-60.0,-1
2022/09/30-11:15,-12.0,1
2022/09/30-13:50,-12.0,-1
2022/10/10-09:05,104.0,1
2022/10/10-09:20,104.0,-1
2022/10/10-11:00,-36.0,1
2022/10/10-11:10,-36.0,-1
2022/10/10-11:20,-16.0,1
2022/10/10-13:35,-16.0,-1
2022/10/10-13:40,-24.0,1
2022/10/10-14:00,-24.0,-1
2022/10/10-14:05,-28.0,1
2022/10/10-14:55,-28.0,-1
2022/10/11-21:05,-40.0,1
2022/10/11-21:10,-40.0,-1
2022/10/12-14:15,-4.0,1
2022/10/12-14:35,-4.0,-1
2022/10/12-14:50,-48.0,1
2022/10/13-21:35,-48.0,-1
2022/10/13-21:50,24.0,1
2022/10/13-22:25,24.0,-1
2022/10/14-10:00,-4.0,1
2022/10/14-10:35,-4.0,-1
2022/10/14-10:40,36.0,1
2022/10/14-11:25,36.0,-1
2022/10/14-13:35,-32.0,1
2022/10/14-13:55,-32.0,-1
2022/10/14-14:10,-20.0,1
2022/10/17-21:05,-20.0,-1
2022/10/18-22:15,-52.0,1
2022/10/18-22:20,-52.0,-1
2022/10/20-10:15,-32.0,1
2022/10/20-11:20,-32.0,-1
2022/10/20-13:35,0.0,1
2022/10/20-13:50,0.0,-1
2022/10/21-09:15,-44.0,1
2022/10/21-09:35,-44.0,-1
2022/10/21-09:40,-24.0,1
2022/10/21-10:35,-24.0,-1
2022/10/21-10:50,0.0,1
2022/10/21-13:35,0.0,-1
2022/10/24-22:35,-12.0,1
2022/10/24-22:50,-12.0,-1
2022/10/24-22:55,64.0,1
2022/10/24-09:25,64.0,-1
2022/10/25-14:00,-40.0,1
2022/10/26-21:05,-40.0,-1
2022/10/26-22:50,-36.0,1
2022/10/26-09:05,-36.0,-1
2022/10/26-11:20,-20.0,1
2022/10/26-13:35,-20.0,-1
2022/10/27-10:00,-44.0,1
2022/10/27-10:10,-44.0,-1
2022/10/27-10:50,-80.0,1
2022/10/27-13:35,-80.0,-1
2022/11/01-09:50,72.0,1
2022/11/01-11:05,72.0,-1
2022/11/01-13:40,132.0,1
2022/11/01-14:30,132.0,-1
2022/11/02-22:30,-16.0,1
2022/11/02-09:10,-16.0,-1
2022/11/02-09:15,-24.0,1
2022/11/02-09:55,-24.0,-1
2022/11/02-10:45,172.0,1
2022/11/02-13:40,172.0,-1
2022/11/03-22:05,-20.0,1
2022/11/03-09:05,-20.0,-1
2022/11/03-09:35,-24.0,1
2022/11/03-09:45,-24.0,-1
2022/11/03-10:35,80.0,1
2022/11/03-14:15,80.0,-1
2022/11/03-14:30,-12.0,1
2022/11/03-14:55,-12.0,-1
2022/11/04-21:40,32.0,1
2022/11/04-09:05,32.0,-1
2022/11/04-11:00,136.0,1
2022/11/04-13:35,136.0,-1
2022/11/04-14:55,84.0,1
2022/11/07-21:05,84.0,-1
2022/11/07-21:35,-136.0,1
2022/11/07-09:05,-136.0,-1
2022/11/08-11:05,-28.0,1
2022/11/08-13:35,-28.0,-1
2022/11/08-14:05,168.0,1
2022/11/08-15:00,168.0,-1
2022/11/09-09:50,-32.0,1
2022/11/09-10:00,-32.0,-1
2022/11/09-10:15,4.0,1
2022/11/09-11:00,4.0,-1
2022/11/09-11:15,-44.0,1
2022/11/09-13:45,-44.0,-1
2022/11/09-14:45,-8.0,1
2022/11/09-15:00,-8.0,-1
2022/11/11-22:25,156.0,1
2022/11/11-09:15,156.0,-1
2022/11/11-11:05,76.0,1
2022/11/11-14:15,76.0,-1
2022/11/11-14:30,-40.0,1
2022/11/11-14:35,-40.0,-1
2022/11/15-22:05,-28.0,1
2022/11/15-22:10,-28.0,-1
2022/11/15-22:40,-44.0,1
2022/11/15-09:15,-44.0,-1
2022/11/15-10:05,-12.0,1
2022/11/15-13:35,-12.0,-1
2022/11/16-22:00,-8.0,1
2022/11/16-22:50,-8.0,-1
2022/11/16-23:00,8.0,1
2022/11/16-09:30,8.0,-1
2022/11/16-09:35,-16.0,1
2022/11/16-09:50,-16.0,-1
2022/11/16-10:00,-24.0,1
2022/11/16-10:10,-24.0,-1
2022/11/16-10:35,72.0,1
2022/11/16-13:35,72.0,-1
2022/11/16-13:40,28.0,1
2022/11/16-14:20,28.0,-1
2022/11/16-14:35,-44.0,1
2022/11/16-14:50,-44.0,-1
2022/11/16-14:55,-36.0,1
2022/11/16-15:00,-36.0,-1
2022/11/18-09:30,-52.0,1
2022/11/18-09:35,-52.0,-1
2022/11/21-14:45,76.0,1
2022/11/22-21:40,76.0,-1
2022/11/22-22:20,-36.0,1
2022/11/22-22:25,-36.0,-1
2022/11/22-09:05,-32.0,1
2022/11/22-09:20,-32.0,-1
2022/11/22-09:45,-32.0,1
2022/11/22-10:05,-32.0,-1
2022/11/22-10:15,-56.0,1
2022/11/22-10:35,-56.0,-1
2022/11/22-13:40,-32.0,1
2022/11/22-13:45,-32.0,-1
2022/11/23-22:40,-32.0,1
2022/11/23-23:00,-32.0,-1
2022/11/24-21:05,176.0,1
2022/11/24-22:40,176.0,-1
2022/11/24-09:05,20.0,1
2022/11/24-09:25,20.0,-1
2022/11/24-10:10,-32.0,1
2022/11/24-11:15,-32.0,-1
2022/11/25-09:50,36.0,1
2022/11/25-10:55,36.0,-1
2022/11/25-11:25,68.0,1
2022/11/25-14:30,68.0,-1
2022/11/25-14:35,112.0,1
2022/11/28-21:20,112.0,-1
2022/11/28-21:35,-68.0,1
2022/11/28-09:05,-68.0,-1
2022/11/29-21:05,4.0,1
2022/11/29-21:10,4.0,-1
2022/11/29-22:30,4.0,1
2022/11/29-23:00,4.0,-1
2022/11/29-09:05,-12.0,1
2022/11/29-09:45,-12.0,-1
2022/12/01-21:55,-36.0,1
2022/12/01-22:50,-36.0,-1
2022/12/01-09:05,-32.0,1
2022/12/01-09:35,-32.0,-1
2022/12/01-09:45,-32.0,1
2022/12/01-10:00,-32.0,-1
2022/12/02-13:45,-16.0,1
2022/12/02-14:10,-16.0,-1
2022/12/02-14:40,0.0,1
2022/12/02-15:00,0.0,-1
2022/12/05-21:05,,1
