,ma12_ratio,ma23_ratio,ma13_ratio,ma_category
199,1.0010084105753314,1.0004152192975477,1.0014240485844097,4.0
200,1.0011988238540492,1.000616383365821,1.0018159461549525,4.0
201,1.0012540933821785,1.000754672827992,1.0020097126403695,4.0
202,1.0010983534229558,1.0007760400715275,1.0018752458607525,4.0
203,1.0011673832471177,1.000899945047615,1.0020683788755047,4.0
204,1.0011987417657862,1.0010041413153987,1.0022040867873183,4.0
205,1.001232649119318,1.001107212843584,1.0023412267678384,4.0
206,1.001092207913256,1.0011129260624243,1.0022063495223328,4.0
207,1.0009380660462464,1.001093762275971,1.0020328543434711,4.0
208,1.0008369682563836,1.0010860139828095,1.0019238911984227,4.0
209,1.000789510569454,1.001095748683824,1.0018861243584452,4.0
210,1.0006778840871737,1.0010641053953435,1.0017427108226318,4.0
211,1.0006273634532454,1.001054192678516,1.0016822174937206,4.0
212,1.0005762858940945,1.0010384482667982,1.0016153326039805,4.0
213,1.0005115624657945,1.0010100162459354,1.0015220953981312,4.0
214,1.0004683704779187,1.0009872097482264,1.0014560426060468,4.0
215,1.0003388732457617,1.000913456022035,1.0012526388136036,4.0
216,1.001058260339872,1.0012918089357477,1.002351436345783,4.0
217,1.0021925004023422,1.0019615659161023,1.0041583670525047,4.0
218,1.0030557702808933,1.0025809684324523,1.0056446255599771,4.0
219,1.0033052332403063,1.00293216903408,1.006247093776944,4.0
220,1.0035337294895343,1.0032809464688903,1.0068262699357153,4.0
221,1.003712732937427,1.003609259533537,1.0073353926877138,4.0
222,1.003463327302287,1.003704815500413,1.0071809737913724,4.0
223,1.0036342496628856,1.0039942323677074,1.0076429980682289,4.0
224,1.0037996722554878,1.004283837998201,1.0080997874340776,4.0
225,1.0036114376671594,1.0043822856512146,1.0080095496698431,4.0
226,1.0034163329297112,1.0044479976043508,1.0078795263747489,4.0
227,1.00314974135412,1.0044467858096386,1.007610533388916,4.0
228,1.0030712374491413,1.0045160814679577,1.0076011888756269,4.0
229,1.0030086006470154,1.004580253535358,1.0076026343361233,4.0
230,1.0026999495031046,1.0044982920277985,1.0072103866922284,4.0
231,1.0026185675851962,1.004508062695651,1.0071384349476942,4.0
232,1.0024079329016993,1.0044366490526042,1.0068552651075307,4.0
233,1.0020280963994748,1.0042514902909834,1.0062882091226095,4.0
234,1.0020159158450528,1.0042323998575262,1.0062568478645144,4.0
235,1.0020694454773236,1.0042489080788295,1.0063271464397605,4.0
236,1.0021091769532533,1.0042633803941436,1.006381549571067,4.0
237,1.0021813479102235,1.0042995363966014,1.0064902630915586,4.0
238,1.0020733341906707,1.004243775117828,1.006325908072548,4.0
239,1.0020021716705105,1.0041984235729662,1.0062090012082152,4.0
240,1.001915189136371,1.0041385421338775,1.0060616573611836,4.0
241,1.001876865775839,1.0040983313855243,1.0059828891792788,4.0
242,1.001801376984264,1.004035608161811,1.0058442547977349,4.0
243,1.0016452015379913,1.00392345528369,1.0055751116963483,4.0
244,1.0015664715501027,1.0038414803503262,1.0054139694701079,4.0
245,1.001500018178997,1.0037616490612284,1.0052673097822005,4.0
246,1.0013722710504134,1.003645138701726,1.0050224118704547,4.0
