time,open,high,low,close,volume
 2024/09/20-14:30,115.18,115.25,115.18,115.24,593
 2024/09/20-14:35,115.25,115.27,115.23,115.26,637
 2024/09/20-14:40,115.26,115.27,115.24,115.24,709
 2024/09/20-14:45,115.24,115.28,115.22,115.28,1017
 2024/09/20-14:50,115.28,115.3,115.26,115.3,1393
 2024/09/20-14:55,115.3,115.37,115.3,115.34,2165
 2024/09/20-15:00,115.34,115.41,115.33,115.36,1312
 2024/09/20-15:05,115.36,115.38,115.34,115.38,687
 2024/09/20-15:10,115.38,115.4,115.36,115.38,515
 2024/09/20-15:15,115.39,115.45,115.38,115.44,1323
 2024/09/23-09:35,115.58,115.74,115.57,115.61,4218
 2024/09/23-09:40,115.61,115.64,115.53,115.64,2861
 2024/09/23-09:45,115.63,115.66,115.55,115.62,1785
 2024/09/23-09:50,115.62,115.65,115.59,115.65,1139
 2024/09/23-09:55,115.65,115.7,115.63,115.69,1566
 2024/09/23-10:00,115.69,115.73,115.67,115.69,1342
 2024/09/23-10:05,115.69,115.76,115.69,115.73,1288
 2024/09/23-10:10,115.73,115.75,115.69,115.75,1078
 2024/09/23-10:15,115.75,115.76,115.67,115.68,1260
 2024/09/23-10:20,115.69,115.73,115.68,115.69,668
 2024/09/23-10:25,115.69,115.71,115.68,115.69,529
 2024/09/23-10:30,115.68,115.72,115.65,115.68,1256
 2024/09/23-10:35,115.68,115.69,115.62,115.65,1647
 2024/09/23-10:40,115.66,115.7,115.63,115.67,1182
 2024/09/23-10:45,115.67,115.71,115.65,115.69,765
 2024/09/23-10:50,115.7,115.7,115.61,115.63,1071
 2024/09/23-10:55,115.62,115.68,115.61,115.62,962
 2024/09/23-11:00,115.62,115.65,115.58,115.58,1218
 2024/09/23-11:05,115.58,115.64,115.57,115.6,1469
 2024/09/23-11:10,115.6,115.68,115.59,115.59,1487
 2024/09/23-11:15,115.59,115.6,115.52,115.57,2056
 2024/09/23-11:20,115.58,115.63,115.57,115.58,684
 2024/09/23-11:25,115.58,115.59,115.54,115.55,1014
 2024/09/23-11:30,115.54,115.59,115.51,115.55,774
 2024/09/23-13:05,115.54,115.62,115.54,115.6,780
 2024/09/23-13:10,115.6,115.65,115.59,115.6,899
 2024/09/23-13:15,115.61,115.63,115.58,115.59,461
 2024/09/23-13:20,115.6,115.62,115.58,115.6,868
 2024/09/23-13:25,115.59,115.59,115.55,115.57,660
 2024/09/23-13:30,115.56,115.57,115.51,115.52,1089
 2024/09/23-13:35,115.52,115.52,115.46,115.49,1527
 2024/09/23-13:40,115.49,115.49,115.44,115.46,904
 2024/09/23-13:45,115.46,115.5,115.45,115.48,847
 2024/09/23-13:50,115.48,115.54,115.48,115.53,604
 2024/09/23-13:55,115.53,115.54,115.49,115.54,410
 2024/09/23-14:00,115.54,115.54,115.39,115.39,1530
 2024/09/23-14:05,115.39,115.45,115.36,115.44,993
 2024/09/23-14:10,115.44,115.5,115.43,115.48,611
 2024/09/23-14:15,115.49,115.49,115.44,115.47,522
 2024/09/23-14:20,115.47,115.53,115.45,115.52,626
 2024/09/23-14:25,115.51,115.54,115.5,115.54,552
 2024/09/23-14:30,115.54,115.57,115.52,115.53,824
 2024/09/23-14:35,115.52,115.56,115.51,115.56,628
 2024/09/23-14:40,115.55,115.61,115.55,115.6,1044
 2024/09/23-14:45,115.6,115.65,115.58,115.62,1269
 2024/09/23-14:50,115.63,115.65,115.56,115.56,1079
 2024/09/23-14:55,115.57,115.6,115.56,115.58,809
 2024/09/23-15:00,115.58,115.66,115.58,115.64,1195
 2024/09/23-15:05,115.63,115.68,115.63,115.67,1093
 2024/09/23-15:10,115.67,115.68,115.66,115.67,518
 2024/09/23-15:15,115.67,115.67,115.62,115.63,832
 2024/09/24-09:35,115.86,116,115.73,115.74,8134
 2024/09/24-09:40,115.74,115.89,115.7,115.88,3770
 2024/09/24-09:45,115.88,115.95,115.8,115.82,2899
 2024/09/24-09:50,115.82,115.87,115.8,115.85,2108
 2024/09/24-09:55,115.84,115.86,115.67,115.73,2786
 2024/09/24-10:00,115.73,115.74,115.51,115.51,3898
 2024/09/24-10:05,115.51,115.56,115.11,115.36,7555
 2024/09/24-10:10,115.37,115.48,115.23,115.48,4480
 2024/09/24-10:15,115.48,115.55,115.46,115.47,2687
 2024/09/24-10:20,115.47,115.55,115.45,115.5,3127
 2024/09/24-10:25,115.49,115.53,115.43,115.44,1730
 2024/09/24-10:30,115.45,115.48,115.42,115.47,1335
 2024/09/24-10:35,115.48,115.5,115.4,115.41,1510
 2024/09/24-10:40,115.41,115.52,115.41,115.52,1372
 2024/09/24-10:45,115.51,115.51,115.32,115.35,1960
 2024/09/24-10:50,115.35,115.39,115.28,115.29,1865
 2024/09/24-10:55,115.29,115.39,115.26,115.38,1913
 2024/09/24-11:00,115.39,115.4,115.28,115.3,1101
 2024/09/24-11:05,115.3,115.3,115.09,115.09,3711
 2024/09/24-11:10,115.09,115.13,114.8,115.04,4971
 2024/09/24-11:15,115.04,115.08,114.82,114.93,3361
 2024/09/24-11:20,114.92,114.93,114.61,114.75,4278
 2024/09/24-11:25,114.76,114.81,114.68,114.8,2506
 2024/09/24-11:30,114.81,114.88,114.7,114.72,2151
 2024/09/24-13:05,114.61,114.61,114.4,114.45,4674
 2024/09/24-13:10,114.43,114.48,114.2,114.2,4156
 2024/09/24-13:15,114.19,114.36,114.11,114.35,3964
 2024/09/24-13:20,114.35,114.36,114.23,114.31,2265
 2024/09/24-13:25,114.32,114.35,114.22,114.26,1886
 2024/09/24-13:30,114.27,114.3,114.25,114.3,1525
 2024/09/24-13:35,114.3,114.33,114.26,114.28,1370
 2024/09/24-13:40,114.28,114.29,114.21,114.27,1633
 2024/09/24-13:45,114.27,114.39,114.27,114.37,1754
 2024/09/24-13:50,114.38,114.41,114.33,114.36,2727
 2024/09/24-13:55,114.36,114.48,114.34,114.47,3009
 2024/09/24-14:00,114.47,114.54,114.45,114.53,2502
 2024/09/24-14:05,114.54,114.57,114.47,114.5,1992
 2024/09/24-14:10,114.5,114.64,114.49,114.61,1939
 2024/09/24-14:15,114.61,114.75,114.61,114.67,2915
 2024/09/24-14:20,114.68,114.72,114.61,114.64,1264
 2024/09/24-14:25,114.64,114.67,114.61,114.67,810
 2024/09/24-14:30,114.67,114.7,114.66,114.67,629
 2024/09/24-14:35,114.67,114.67,114.61,114.62,993
 2024/09/24-14:40,114.62,114.63,114.49,114.58,1944
 2024/09/24-14:45,114.57,114.59,114.39,114.4,2533
 2024/09/24-14:50,114.4,114.49,114.34,114.46,2279
 2024/09/24-14:55,114.47,114.48,114.38,114.41,1265
 2024/09/24-15:00,114.41,114.46,114.4,114.41,1262
