time,pro_loss,orders
2022/06/24-22:30,-52.0,1
2022/06/24-22:40,-52.0,-1
2022/06/24-09:15,-60.0,1
2022/06/24-09:50,-60.0,-1
2022/06/24-10:10,-72.0,1
2022/06/24-10:35,-72.0,-1
2022/06/24-10:40,-52.0,1
2022/06/24-10:50,-52.0,-1
2022/06/24-11:00,-4.0,1
2022/06/24-11:15,-4.0,-1
2022/06/24-13:40,-16.0,1
2022/06/24-13:55,-16.0,-1
2022/06/24-14:40,-48.0,1
2022/06/24-14:55,-48.0,-1
2022/06/27-21:15,-48.0,1
2022/06/27-21:20,-48.0,-1
2022/06/27-22:10,156.0,1
2022/06/27-22:55,156.0,-1
2022/06/27-10:00,-48.0,1
2022/06/27-10:45,-48.0,-1
2022/06/27-11:15,-56.0,1
2022/06/27-11:25,-56.0,-1
2022/06/27-13:40,12.0,1
2022/06/27-14:30,12.0,-1
2022/06/27-14:40,-4.0,1
2022/06/28-21:20,-4.0,-1
2022/06/28-21:30,-36.0,1
2022/06/28-21:35,-36.0,-1
2022/06/28-22:05,-44.0,1
2022/06/28-22:10,-44.0,-1
2022/06/28-22:30,0.0,1
2022/06/28-22:55,0.0,-1
2022/06/28-09:05,-48.0,1
2022/06/28-09:20,-48.0,-1
2022/06/28-10:10,-32.0,1
2022/06/28-10:40,-32.0,-1
2022/06/28-10:55,-44.0,1
2022/06/28-11:25,-44.0,-1
2022/06/28-13:35,-36.0,1
2022/06/28-13:50,-36.0,-1
2022/06/29-22:20,-68.0,1
2022/06/29-22:30,-68.0,-1
2022/06/29-23:00,-40.0,1
2022/06/29-09:10,-40.0,-1
2022/06/29-09:20,44.0,1
2022/06/29-10:55,44.0,-1
2022/06/29-13:35,-60.0,1
2022/06/29-13:40,-60.0,-1
2022/06/29-13:45,36.0,1
2022/06/29-14:40,36.0,-1
2022/06/30-21:05,-28.0,1
2022/06/30-21:15,-28.0,-1
2022/06/30-21:45,12.0,1
2022/06/30-22:15,12.0,-1
2022/06/30-22:25,-32.0,1
2022/06/30-09:05,-32.0,-1
2022/06/30-09:15,-44.0,1
2022/06/30-09:30,-44.0,-1
2022/06/30-10:05,-48.0,1
2022/06/30-10:15,-48.0,-1
2022/06/30-11:25,-76.0,1
2022/06/30-13:50,-76.0,-1
2022/06/30-14:05,48.0,1
2022/06/30-14:50,48.0,-1
2022/07/01-21:45,-32.0,1
2022/07/01-21:55,-32.0,-1
2022/07/01-22:10,-36.0,1
2022/07/01-22:20,-36.0,-1
2022/07/01-22:35,-44.0,1
2022/07/01-22:45,-44.0,-1
2022/07/01-22:55,-36.0,1
2022/07/01-23:00,-36.0,-1
2022/07/01-09:10,-20.0,1
2022/07/01-09:30,-20.0,-1
2022/07/01-09:40,72.0,1
2022/07/01-10:35,72.0,-1
2022/07/01-10:45,-44.0,1
2022/07/01-10:55,-44.0,-1
2022/07/01-14:35,-36.0,1
2022/07/01-14:45,-36.0,-1
2022/07/04-21:05,92.0,1
2022/07/04-21:25,92.0,-1
2022/07/04-21:50,-40.0,1
2022/07/04-22:05,-40.0,-1
2022/07/04-09:50,-48.0,1
2022/07/04-10:05,-48.0,-1
2022/07/04-10:10,-52.0,1
2022/07/04-10:40,-52.0,-1
2022/07/04-11:10,-56.0,1
2022/07/04-11:25,-56.0,-1
2022/07/04-11:30,-36.0,1
2022/07/04-14:00,-36.0,-1
2022/07/04-14:25,-40.0,1
2022/07/04-14:30,-40.0,-1
2022/07/04-14:35,-32.0,1
2022/07/04-14:50,-32.0,-1
2022/07/05-21:05,-64.0,1
2022/07/05-21:15,-64.0,-1
2022/07/05-22:10,184.0,1
2022/07/05-22:50,184.0,-1
2022/07/05-23:00,36.0,1
2022/07/05-09:05,36.0,-1
2022/07/05-09:25,-52.0,1
2022/07/05-09:40,-52.0,-1
2022/07/05-09:50,20.0,1
2022/07/05-10:10,20.0,-1
2022/07/05-10:55,36.0,1
2022/07/05-13:35,36.0,-1
2022/07/05-14:50,-240.0,1
2022/07/06-21:05,-240.0,-1
2022/07/06-22:20,-20.0,1
2022/07/06-22:35,-20.0,-1
2022/07/06-09:05,36.0,1
2022/07/06-09:30,36.0,-1
2022/07/06-11:30,-96.0,1
2022/07/06-13:40,-96.0,-1
2022/07/06-13:50,268.0,1
2022/07/07-21:05,268.0,-1
2022/07/07-22:25,-36.0,1
2022/07/07-22:55,-36.0,-1
2022/07/07-09:05,-48.0,1
2022/07/07-09:15,-48.0,-1
2022/07/07-10:05,-48.0,1
2022/07/07-10:10,-48.0,-1
2022/07/07-10:35,-44.0,1
2022/07/07-10:40,-44.0,-1
2022/07/07-10:45,92.0,1
2022/07/07-11:30,92.0,-1
2022/07/07-14:30,-44.0,1
2022/07/07-14:45,-44.0,-1
2022/07/08-21:05,80.0,1
2022/07/08-22:00,80.0,-1
2022/07/08-10:40,-32.0,1
2022/07/08-11:00,-32.0,-1
2022/07/08-11:15,-68.0,1
2022/07/08-11:25,-68.0,-1
2022/07/08-14:20,144.0,1
2022/07/11-21:30,144.0,-1
2022/07/11-10:05,-32.0,1
2022/07/11-10:50,-32.0,-1
2022/07/11-14:20,180.0,1
2022/07/12-21:05,180.0,-1
2022/07/12-22:00,-40.0,1
2022/07/12-22:05,-40.0,-1
2022/07/12-22:10,-40.0,1
2022/07/12-22:15,-40.0,-1
2022/07/12-22:40,-48.0,1
2022/07/12-09:05,-48.0,-1
2022/07/12-09:10,-52.0,1
2022/07/12-09:15,-52.0,-1
2022/07/12-09:40,-40.0,1
2022/07/12-10:10,-40.0,-1
2022/07/12-11:10,-48.0,1
2022/07/12-11:25,-48.0,-1
2022/07/13-21:40,-92.0,1
2022/07/13-21:50,-92.0,-1
2022/07/13-22:25,-40.0,1
2022/07/13-22:45,-40.0,-1
2022/07/13-09:05,16.0,1
2022/07/13-09:35,16.0,-1
2022/07/13-10:50,-44.0,1
2022/07/13-10:55,-44.0,-1
2022/07/13-13:40,-76.0,1
2022/07/13-13:50,-76.0,-1
2022/07/13-14:30,-16.0,1
2022/07/14-21:05,-16.0,-1
2022/07/14-22:35,-40.0,1
2022/07/14-22:40,-40.0,-1
2022/07/14-22:50,-8.0,1
2022/07/14-09:10,-8.0,-1
2022/07/14-09:25,-40.0,1
2022/07/14-09:40,-40.0,-1
2022/07/14-09:45,-32.0,1
2022/07/14-09:55,-32.0,-1
2022/07/14-10:05,-4.0,1
2022/07/14-10:35,-4.0,-1
2022/07/14-10:40,-16.0,1
2022/07/14-10:50,-16.0,-1
2022/07/14-11:00,-32.0,1
2022/07/14-11:20,-32.0,-1
2022/07/14-11:25,-80.0,1
2022/07/14-13:35,-80.0,-1
2022/07/15-22:20,-52.0,1
2022/07/15-22:25,-52.0,-1
2022/07/15-09:05,-60.0,1
2022/07/15-09:15,-60.0,-1
2022/07/15-10:00,-12.0,1
2022/07/15-10:15,-12.0,-1
2022/07/15-10:35,32.0,1
2022/07/15-10:50,32.0,-1
2022/07/15-14:00,-64.0,1
2022/07/15-14:05,-64.0,-1
2022/07/15-14:20,0.0,1
2022/07/15-14:35,0.0,-1
2022/07/18-21:05,132.0,1
2022/07/18-21:40,132.0,-1
2022/07/18-21:55,-4.0,1
2022/07/18-22:20,-4.0,-1
2022/07/18-22:25,8.0,1
2022/07/18-22:35,8.0,-1
2022/07/18-09:40,-56.0,1
2022/07/18-09:50,-56.0,-1
2022/07/18-09:55,-48.0,1
2022/07/18-10:05,-48.0,-1
2022/07/18-10:10,-32.0,1
2022/07/18-10:50,-32.0,-1
2022/07/18-11:05,40.0,1
2022/07/18-13:45,40.0,-1
2022/07/18-14:15,204.0,1
2022/07/19-21:05,204.0,-1
2022/07/19-22:35,-24.0,1
2022/07/19-09:05,-24.0,-1
2022/07/19-10:10,-48.0,1
