,v3_strength,mv13_ratio,bsp,zig,peak,p_pos,valley,p_v_value,v_pos,z_pos,dw_pct_prev,up_pct_prev,z_pct_prev,z_len_prev,z_pct_prev_avg,up_pct_avg,up_pct_avg_k,dw_pct_avg,dw_pct_avg_k,zig_pct_curr,zig_pct_curr_avg_k,zig_pct_avg,zig_pct_avg_k
3532,0.3619893118559646,1.8379090475559379,0.154,0,3891.0,20,3797.0,3797.0,9,9,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.39504872267579483,0.03950487226757948,1.2261912863070539,0.07201704003813154
3533,0.3430851154208196,1.591278075721769,0.154,0,3891.0,21,3797.0,3797.0,10,10,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.3160389781406314,0.028730816194602857,1.2261912863070539,0.07201704003813154
3534,0.9388582624904841,1.3935062671335983,0.429,0,3891.0,22,3797.0,3797.0,11,11,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.23702923360546801,0.019752436133789002,1.2261912863070539,0.07201704003813154
3535,0.4357225483249538,1.16458359253939,0.673,0,3891.0,23,3797.0,3797.0,12,12,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.21069265209376908,0.016207127084136082,1.2261912863070539,0.07201704003813154
3536,0.8922871588377013,0.8650341137502477,1.401,0,3891.0,24,3797.0,3797.0,13,13,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.23702923360546801,0.016930659543247715,1.2261912863070539,0.07201704003813154
3537,0.48254112051637743,0.7716621515147011,0.232,0,3891.0,25,3797.0,3797.0,14,14,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.2897023966289103,0.01931349310859402,1.2261912863070539,0.07201704003813154
3538,0.25071386668160917,0.7048916729886594,0.403,0,3891.0,26,3797.0,3797.0,15,15,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.3160389781406314,0.019752436133789464,1.2261912863070539,0.07201704003813154
3539,0.44333906807896734,0.6333039154141098,0.721,0,3891.0,27,3797.0,3797.0,16,16,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.34237555965235256,0.020139738803079562,1.2261912863070539,0.07201704003813154
3540,0.38643439899650084,0.5744241060150204,0.187,0,3891.0,28,3797.0,3797.0,17,17,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.4477218856992371,0.02487343809440206,1.2261912863070539,0.07201704003813154
3541,1.380629751268919,0.6028116874128426,0.651,0,3891.0,29,3797.0,3797.0,18,18,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.6847511193047051,0.03603953259498448,1.2261912863070539,0.07201704003813154
3542,1.9530577014815755,0.721351208230177,0.98,0,3891.0,30,3797.0,3797.0,19,19,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.632077956281285,0.03160389781406425,1.2261912863070539,0.07201704003813154
3543,0.5583340499585866,0.7006766989099145,0.294,0,3891.0,31,3797.0,3797.0,20,20,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.5267316302344005,0.0250824585825905,1.2261912863070539,0.07201704003813154
3544,0.9177728965714832,0.7482901757439615,0.495,0,3891.0,32,3797.0,3797.0,21,21,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.42138530418751596,0.019153877463068906,1.2261912863070539,0.07201704003813154
3545,0.5984498808476901,0.7707563554535143,0.332,0,3891.0,33,3797.0,3797.0,22,22,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.34237555965235256,0.014885893897928371,1.2261912863070539,0.07201704003813154
3546,0.45065009459863475,0.7318714752236913,0.856,0,3891.0,34,3797.0,3797.0,23,23,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.3160389781406314,0.013168290755859643,1.2261912863070539,0.07201704003813154
3547,0.41935037092064553,0.7374461084178969,0.834,0,3891.0,35,3797.0,3797.0,24,24,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.3160389781406314,0.012641559125625257,1.2261912863070539,0.07201704003813154
3548,1.3665829991062872,0.775440304625699,0.802,0,3891.0,36,3797.0,3797.0,25,25,-2.4158,0.0,-2.4158,10.0,-0.24158,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.632077956281285,0.024310690626203273,1.2261912863070539,0.07201704003813154
