time,open,high,low,close,volume,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M2M   ,LH_MA_ALL.M3M   ,LH_MA_ALL.PV1   ,LH_MA_ALL.PV2   ,LH_MA_ALL.PV3   ,LH_MA_ALL.PEAK_PREV1,LH_MA_ALL.PEAK_PREV2,LH_MA_ALL.T_PREV1,LH_MA_ALL.T_PREV2,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO
2025/08/12-13:05,6328.8,6332,6324.2,6326.2,1320,6319.26,6314.83,6312.18,6307.48,6292.23,6312.52,6309.76,6333.41,6320.8,6320.8,6292.4,6292.4,0,13.2,9.48,9.6,9.24,0,0,0,0,           ,0,0,1,0,0,0,1.04,1.03,0.99,1.39,1.37,1.43,1.38,0,13.2,9.48,9.6,9.24,0,0,0,0,           ,0,0,1,0,0,0,1.04,1.03,0.99,1.39,1.37,1.43,1.38
2025/08/12-13:10,6326,6336.8,6325,6335.8,933,6323.98,6318.06,6314.07,6308.64,6293.13,6315.39,6312.24,6335.51,6320.8,6320.8,6292.4,6292.4,0,9.33,9.45,9.59,9.24,0,0,0,0,           ,0,1,0,0,0,0,1.04,1.02,0.99,0.99,0.97,1.01,0.71,0,9.33,9.45,9.59,9.24,0,0,0,0,           ,0,1,0,0,0,0,1.04,1.02,0.99,0.99,0.97,1.01,0.71
2025/08/12-13:15,6337,6337.6,6330.8,6336,841,6327.42,6320.82,6315.83,6309.76,6294.01,6318.27,6314.71,6337.6,6320.8,6320.8,6292.4,6292.4,0,8.41,9.26,9.53,9.23,0,0,0,0,           ,0,1,0,0,0,0,1.03,1,0.97,0.91,0.88,0.91,0.9,0,8.41,9.26,9.53,9.23,0,0,0,0,           ,0,1,0,0,0,0,1.03,1,0.97,0.91,0.88,0.91,0.9
2025/08/12-13:20,6336.2,6338,6329.4,6332,750,6328.73,6322.54,6317.12,6310.66,6294.79,6321.14,6317.19,6339.69,6320.8,6320.8,6292.4,6292.4,0,7.5,8.94,9.43,9.21,0,0,0,0,           ,0,1,0,0,0,0,1.02,0.97,0.95,0.84,0.8,0.81,0.89,0,7.5,8.94,9.43,9.21,0,0,0,0,           ,0,1,0,0,0,0,1.02,0.97,0.95,0.84,0.8,0.81,0.89
2025/08/12-13:25,6332.8,6339,6331.4,6332.2,700,6329.72,6324.03,6318.33,6311.54,6295.56,6324.02,6319.67,6341.78,6320.8,6320.8,6292.4,6292.4,0,7,8.59,9.31,9.19,0,0,0,0,           ,0,1,0,0,0,0,1.01,0.93,0.92,0.82,0.75,0.76,0.93,0,7,8.59,9.31,9.19,0,0,0,0,           ,0,1,0,0,0,0,1.01,0.93,0.92,0.82,0.75,0.76,0.93
2025/08/12-13:30,6332.6,6336.6,6330.2,6331.8,512,6330.31,6325.22,6319.4,6312.37,6296.31,6326.89,6322.15,6343.87,6320.8,6320.8,6292.4,6292.4,0,5.12,7.96,9.11,9.15,0,0,0,0,           ,1,0,0,0,0,0,1,0.87,0.87,0.64,0.56,0.56,0.73,0,5.12,7.96,9.11,9.15,0,0,0,0,           ,1,0,0,0,0,0,1,0.87,0.87,0.64,0.56,0.56,0.73
2025/08/12-13:35,6330.8,6339.8,6330.6,6336,534,6331.94,6326.88,6320.73,6313.33,6297.13,6329.77,6324.63,6345.96,6320.8,6320.8,6292.4,6292.4,0,5.34,7.48,8.93,9.11,0,0,0,0,           ,1,0,0,0,0,0,0.98,0.82,0.84,0.71,0.6,0.59,1.04,0,5.34,7.48,8.93,9.11,0,0,0,0,           ,1,0,0,0,0,0,0.98,0.82,0.84,0.71,0.6,0.59,1.04
2025/08/12-13:40,6335.2,6337.2,6325,6325.8,687,6330.18,6326.71,6321.14,6313.84,6297.72,6332.64,6327.11,6348.06,6320.8,6320.8,6292.4,6292.4,0,6.87,7.37,8.83,9.09,0,0,0,0,           ,0,1,0,0,0,0,0.97,0.81,0.84,0.93,0.78,0.76,1.29,0,6.87,7.37,8.83,9.09,0,0,0,0,           ,0,1,0,0,0,0,0.97,0.81,0.84,0.93,0.78,0.76,1.29
2025/08/12-13:45,6325.8,6338.4,6324.6,6336.6,706,6332.02,6328.23,6322.37,6314.77,6298.52,6335.51,6329.59,6350.15,6320.8,6320.8,6292.4,6292.4,0,7.06,7.31,8.74,9.07,0,0,0,0,           ,0,1,0,0,0,0,0.96,0.81,0.84,0.97,0.81,0.78,1.03,0,7.06,7.31,8.74,9.07,0,0,0,0,           ,0,1,0,0,0,0,0.96,0.81,0.84,0.97,0.81,0.78,1.03
2025/08/12-13:50,6336.6,6337,6330.2,6331.6,361,6331.9,6328.75,6323.11,6315.46,6299.2,6338.39,6332.07,6352.24,6320.8,6320.8,6292.4,6292.4,0,3.61,6.64,8.49,9.02,0,0,0,0,           ,1,0,0,0,0,0,0.94,0.74,0.78,0.54,0.43,0.4,0.51,0,3.61,6.64,8.49,9.02,0,0,0,0,           ,1,0,0,0,0,0,0.94,0.74,0.78,0.54,0.43,0.4,0.51
2025/08/12-13:55,6331.6,6334,6328,6330.2,482,6331.41,6328.98,6323.68,6316.06,6299.84,6341.26,6334.55,6354.33,6320.8,6320.8,6292.4,6292.4,0,4.82,6.31,8.31,8.97,0,0,0,0,           ,1,0,0,0,0,0,0.93,0.7,0.76,0.76,0.58,0.54,1.34,0,4.82,6.31,8.31,8.97,0,0,0,0,           ,1,0,0,0,0,0,0.93,0.7,0.76,0.76,0.58,0.54,1.34
2025/08/12-14:00,6330,6337.6,6329.6,6337.6,363,6333.18,6330.3,6324.79,6316.94,6300.62,6344.14,6337.03,6356.42,6320.8,6320.8,6292.4,6292.4,0,3.63,5.82,8.08,8.92,0,0,0,0,           ,1,0,0,0,0,0,0.91,0.65,0.72,0.62,0.45,0.41,0.75,0,3.63,5.82,8.08,8.92,0,0,0,0,           ,1,0,0,0,0,0,0.91,0.65,0.72,0.62,0.45,0.41,0.75
2025/08/12-14:05,6337.6,6344.2,6336.8,6339.4,828,6334.96,6331.7,6325.96,6317.86,6301.42,6347.01,6339.51,6358.51,6320.8,6320.8,6292.4,6292.4,0,8.28,6.27,8.09,8.91,0,0,0,0,           ,0,0,1,1,0,0,0.91,0.7,0.77,1.32,1.02,0.93,2.28,0,8.28,6.27,8.09,8.91,0,0,0,0,           ,0,0,1,1,0,0,0.91,0.7,0.77,1.32,1.02,0.93,2.28
