time,open,high,low,close,volume,LH_MA_ALL.M1S   ,LH_MA_ALL.M2S   ,LH_MA_ALL.M3S   ,LH_MA_ALL.M2M   ,LH_MA_ALL.M3M   ,LH_MA_ALL.PV1   ,LH_MA_ALL.PV2   ,LH_MA_ALL.PV3   ,LH_MA_ALL.PEAK_PREV1,LH_MA_ALL.PEAK_PREV2,LH_MA_ALL.T_PREV1,LH_MA_ALL.T_PREV2,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO,LH_VOL_TDX2.AMO1  ,LH_VOL_TDX2.VOLUME,LH_VOL_TDX2.MV1   ,LH_VOL_TDX2.MV2   ,LH_VOL_TDX2.MV3   ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.      ,LH_VOL_TDX2.TL    ,LH_VOL_TDX2.      ,LH_VOL_TDX2.R23   ,LH_VOL_TDX2.R13   ,LH_VOL_TDX2.R12   ,LH_VOL_TDX2.V1S   ,LH_VOL_TDX2.V2S   ,LH_VOL_TDX2.V3S   ,LH_VOL_TDX2.VVRATIO
2025/08/01-13:30,6097.8,6102.8,6095,6095.8,675,6104.66,6111.77,6120.55,6133.12,6154.62,6096.62,6095.35,6095.35,6124,6160.8,6111.2,6092.8,0,6.75,7.18,9.88,11.23,0,0,0,0,           ,0,1,0,0,0,0,0.88,0.64,0.73,0.94,0.68,0.6,0.95,0,6.75,7.18,9.88,11.23,0,0,0,0,           ,0,1,0,0,0,0,0.88,0.64,0.73,0.94,0.68,0.6,0.95
2025/08/01-13:35,6096.6,6104.2,6088.8,6089.8,1212,6100.41,6108.39,6118.09,6131.35,6153.28,6092.71,6092.07,6092.07,6124,6160.8,6111.2,6092.8,0,12.12,8.08,9.99,11.24,0,0,0,0,           ,0,0,1,1,0,0,0.89,0.72,0.81,1.5,1.21,1.08,1.8,0,12.12,8.08,9.99,11.24,0,0,0,0,           ,0,0,1,1,0,0,0.89,0.72,0.81,1.5,1.21,1.08,1.8
2025/08/01-13:40,6089.4,6091.4,6078.8,6088.8,1837,6097.09,6105.38,6115.75,6129.61,6151.95,6088.8,6088.8,6088.8,6124,6160.8,6088.8,6088.8,0,18.37,9.95,10.4,11.31,0,0,0,0,           ,0,0,1,1,0,0,0.92,0.88,0.96,1.85,1.77,1.62,1.52,0,18.37,9.95,10.4,11.31,0,0,0,0,           ,0,0,1,1,0,0,0.92,0.88,0.96,1.85,1.77,1.62,1.52
2025/08/01-13:45,6088.6,6092.4,6084.6,6089.8,799,6095.01,6102.98,6113.67,6127.99,6150.67,6093.2,6093.2,6089.95,6124,6160.8,6088.8,6088.8,0,7.99,9.6,10.28,11.28,0,0,0,0,           ,0,1,0,0,0,0,0.91,0.85,0.93,0.83,0.78,0.71,0.43,0,7.99,9.6,10.28,11.28,0,0,0,0,           ,0,1,0,0,0,0,0.91,0.85,0.93,0.83,0.78,0.71,0.43
2025/08/01-13:50,6091,6106.2,6090,6106,1171,6098.15,6103.44,6113.06,6127.09,6149.75,6097.6,6097.6,6091.1,6124,6160.8,6088.8,6088.8,0,11.71,9.98,10.35,11.29,0,0,0,0,           ,0,1,0,0,0,0,0.92,0.88,0.96,1.17,1.13,1.04,1.47,0,11.71,9.98,10.35,11.29,0,0,0,0,           ,0,1,0,0,0,0,0.92,0.88,0.96,1.17,1.13,1.04,1.47
2025/08/01-13:55,6106,6114,6103.6,6109.2,931,6101.31,6104.33,6112.75,6126.36,6148.91,6102,6102,6092.25,6124,6160.8,6088.8,6088.8,0,9.31,9.86,10.3,11.27,0,0,0,0,           ,0,1,0,0,0,0,0.91,0.88,0.96,0.94,0.9,0.83,0.8,0,9.31,9.86,10.3,11.27,0,0,0,0,           ,0,1,0,0,0,0,0.91,0.88,0.96,0.94,0.9,0.83,0.8
2025/08/01-14:00,6110,6111.6,6098,6098,643,6100.36,6103.36,6111.57,6125.2,6147.86,6106.4,6106.4,6093.4,6124,6160.8,6088.8,6088.8,0,6.43,9.23,10.11,11.22,0,0,0,0,           ,1,0,0,0,0,0,0.9,0.82,0.91,0.7,0.64,0.57,0.69,0,6.43,9.23,10.11,11.22,0,0,0,0,           ,1,0,0,0,0,0,0.9,0.82,0.91,0.7,0.64,0.57,0.69
2025/08/01-14:05,6098,6111.2,6095.2,6097.8,973,6099.63,6102.5,6110.47,6124.09,6146.83,6110.8,6110.8,6094.55,6124,6160.8,6088.8,6088.8,0,9.73,9.32,10.09,11.2,0,0,0,0,           ,0,1,0,1,0,0,0.9,0.83,0.92,1.04,0.96,0.87,1.51,0,9.73,9.32,10.09,11.2,0,0,0,0,           ,0,1,0,1,0,0,0.9,0.83,0.92,1.04,0.96,0.87,1.51
2025/08/01-14:10,6097.8,6106.4,6092,6105.4,759,6101.28,6102.95,6110.06,6123.32,6145.98,6115.2,6115.2,6095.7,6124,6160.8,6088.8,6088.8,0,7.59,9.01,9.97,11.17,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.81,0.9,0.84,0.76,0.68,0.78,0,7.59,9.01,9.97,11.17,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.81,0.9,0.84,0.76,0.68,0.78
2025/08/01-14:15,6105.2,6121.2,6100,6119.6,961,6106.51,6105.51,6110.83,6123.17,6145.43,6119.6,6119.6,6096.85,6119.6,6119.6,6088.8,6088.8,0,9.61,9.12,9.95,11.15,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.82,0.92,1.05,0.97,0.86,1.27,0,9.61,9.12,9.95,11.15,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.82,0.92,1.05,0.97,0.86,1.27
2025/08/01-14:20,6120.2,6121.8,6113.6,6116.6,930,6109.4,6107.22,6111.29,6122.9,6144.84,6116.72,6116.72,6098,6119.6,6119.6,6088.8,6088.8,0,9.3,9.15,9.92,11.13,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.82,0.92,1.02,0.94,0.84,0.97,0,9.3,9.15,9.92,11.13,0,0,0,0,           ,0,1,0,0,0,0,0.89,0.82,0.92,1.02,0.94,0.84,0.97
2025/08/01-14:25,6116,6121.6,6112.6,6119.6,678,6112.31,6109.12,6111.95,6122.77,6144.32,6113.84,6113.84,6099.15,6119.6,6119.6,6088.8,6088.8,0,6.78,8.72,9.77,11.09,0,0,0,0,           ,1,0,0,0,0,0,0.88,0.79,0.89,0.78,0.69,0.61,0.73,0,6.78,8.72,9.77,11.09,0,0,0,0,           ,1,0,0,0,0,0,0.88,0.79,0.89,0.78,0.69,0.61,0.73
2025/08/01-14:30,6119.6,6120.6,6112.2,6115.4,566,6113.19,6110.09,6112.23,6122.47,6143.72,6110.96,6110.96,6100.3,6119.6,6119.6,6088.8,6088.8,0,5.66,8.16,9.57,11.04,0,0,0,0,           ,1,0,0,0,0,0,0.87,0.74,0.85,0.69,0.59,0.51,0.83,0,5.66,8.16,9.57,11.04,0,0,0,0,           ,1,0,0,0,0,0,0.87,0.74,0.85,0.69,0.59,0.51,0.83
2025/08/01-14:35,6115.4,6119.8,6106.2,6112,848,6112.85,6110.38,6112.21,6122.04,6143.07,6108.08,6108.08,6101.45,6119.6,6119.6,6088.8,6088.8,0,8.48,8.22,9.51,11.01,0,0,0,0,           ,0,1,0,0,0,0,0.86,0.75,0.86,1.03,0.89,0.77,1.5,0,8.48,8.22,9.51,11.01,0,0,0,0,           ,0,1,0,0,0,0,0.86,0.75,0.86,1.03,0.89,0.77,1.5
2025/08/01-14:40,6111.8,6113.6,6106.6,6110.8,659,6112.27,6110.45,6112.1,6121.58,6142.4,6105.2,6105.2,6102.6,6119.6,6119.6,6088.8,6088.8,0,6.59,7.92,9.37,10.97,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.72,0.85,0.83,0.7,0.6,0.78,0,6.59,7.92,9.37,10.97,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.72,0.85,0.83,0.7,0.6,0.78
2025/08/01-14:45,6110,6114.4,6108,6111,815,6111.9,6110.53,6112.01,6121.15,6141.75,6102.32,6102.32,6103.75,6119.6,6119.6,6088.8,6088.8,0,8.15,7.97,9.31,10.94,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.73,0.86,1.02,0.88,0.75,1.24,0,8.15,7.97,9.31,10.94,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.73,0.86,1.02,0.88,0.75,1.24
2025/08/01-14:50,6110.4,6112,6106.4,6111.2,704,6111.7,6110.63,6111.95,6120.74,6141.12,6099.44,6099.44,6104.9,6119.6,6119.6,6088.8,6088.8,0,7.04,7.8,9.2,10.9,0,0,0,0,           ,0,1,0,0,0,0,0.84,0.72,0.85,0.9,0.77,0.65,0.86,0,7.04,7.8,9.2,10.9,0,0,0,0,           ,0,1,0,0,0,0,0.84,0.72,0.85,0.9,0.77,0.65,0.86
2025/08/01-14:55,6111.2,6111.8,6106.6,6109.4,912,6111.04,6110.44,6111.74,6120.28,6140.47,6096.56,6096.56,6106.05,6119.6,6119.6,6088.8,6088.8,0,9.12,8.04,9.2,10.88,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.74,0.87,1.13,0.99,0.84,1.3,0,9.12,8.04,9.2,10.88,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.74,0.87,1.13,0.99,0.84,1.3
2025/08/01-15:00,6109.4,6110.8,6100.8,6104,1530,6109.03,6109.45,6111.12,6119.62,6139.72,6093.68,6093.68,6107.2,6119.6,6119.6,6088.8,6088.8,0,15.3,9.36,9.49,10.93,0,0,0,0,           ,0,0,1,1,0,0,0.87,0.86,0.99,1.63,1.61,1.4,1.68,0,15.3,9.36,9.49,10.93,0,0,0,0,           ,0,0,1,1,0,0,0.87,0.86,0.99,1.63,1.61,1.4,1.68
2025/08/04-09:35,6084,6105.6,6083.2,6090.8,4074,6103.82,6106.58,6109.5,6118.44,6138.71,6090.8,6090.8,6108.35,6119.6,6119.6,6090.8,6090.8,0,40.74,15.06,11.02,11.22,0,1,0,1,15.06,0,0,1,1,1,1,0.98,1.34,1.37,2.7,3.7,3.63,2.66,0,40.74,15.06,11.02,11.22,0,1,0,1,15.06,0,0,1,1,1,1,0.98,1.34,1.37,2.7,3.7,3.63,2.66
2025/08/04-09:40,6090.4,6115.8,6087,6115.8,2338,6107.24,6108,6110,6118.33,6138.24,6115.8,6092.07,6109.51,6115.8,6119.6,6090.8,6090.8,0,23.38,16.58,11.62,11.34,0,0,0,1,16.58,0,0,1,0,0,0,1.02,1.46,1.43,1.41,2.01,2.06,0.57,0,23.38,16.58,11.62,11.34,0,0,0,1,16.58,0,0,1,0,0,0,1.02,1.46,1.43,1.41,2.01,2.06,0.57
2025/08/04-09:45,6115,6116.8,6098.8,6100.4,1850,6105.29,6106.83,6109.23,6117.6,6137.46,6107.4,6093.34,6110.66,6115.8,6119.6,6090.8,6090.8,0,18.5,16.93,11.96,11.41,0,0,0,0,16.93,0,1,0,0,0,0,1.05,1.48,1.42,1.09,1.55,1.62,0.79,0,18.5,16.93,11.96,11.41,0,0,0,0,16.93,0,1,0,0,0,0,1.05,1.48,1.42,1.09,1.55,1.62,0.79
2025/08/04-09:50,6100,6107,6090.2,6099,1302,6103.49,6105.63,6108.41,6116.84,6136.66,6099,6094.62,6111.81,6115.8,6119.6,6099,6090.8,0,13.02,16.22,12.01,11.43,0,0,0,0,16.22,0,1,0,0,0,0,1.05,1.42,1.35,0.8,1.08,1.14,0.7,0,13.02,16.22,12.01,11.43,0,0,0,0,16.22,0,1,0,0,0,0,1.05,1.42,1.35,0.8,1.08,1.14,0.7
2025/08/04-09:55,6099,6116.8,6097,6114.8,1336,6106.72,6107.04,6108.92,6116.76,6136.21,6102.91,6095.89,6112.96,6115.8,6119.6,6099,6090.8,0,13.36,15.7,12.08,11.45,0,0,0,0,15.7,0,1,0,0,0,0,1.05,1.37,1.3,0.85,1.11,1.17,1.03,0,13.36,15.7,12.08,11.45,0,0,0,0,15.7,0,1,0,0,0,0,1.05,1.37,1.3,0.85,1.11,1.17,1.03
2025/08/04-10:00,6114.2,6118,6110.6,6115.4,874,6109.2,6108.32,6109.44,6116.7,6135.78,6106.83,6097.16,6114.11,6115.8,6119.6,6099,6090.8,0,8.74,14.43,11.91,11.42,0,0,0,0,           ,1,0,0,0,0,0,1.04,1.26,1.21,0.61,0.73,0.77,0.65,0,8.74,14.43,11.91,11.42,0,0,0,0,           ,1,0,0,0,0,0,1.04,1.26,1.21,0.61,0.73,0.77,0.65
2025/08/04-10:05,6113.8,6114.4,6103,6107,846,6108.57,6108.12,6109.25,6116.31,6135.19,6110.74,6098.43,6115.26,6115.8,6119.6,6099,6090.8,0,8.46,13.35,11.74,11.39,0,0,0,0,           ,1,0,0,0,0,0,1.03,1.17,1.14,0.63,0.72,0.74,0.97,0,8.46,13.35,11.74,11.39,0,0,0,0,           ,1,0,0,0,0,0,1.03,1.17,1.14,0.63,0.72,0.74,0.97
2025/08/04-10:10,6107,6121.2,6103.4,6119.8,951,6111.78,6109.92,6110.09,6116.45,6134.87,6114.66,6099.71,6116.41,6115.8,6119.6,6099,6090.8,0,9.51,12.65,11.63,11.37,0,0,0,0,           ,1,0,0,0,0,0,1.02,1.11,1.09,0.75,0.82,0.84,1.12,0,9.51,12.65,11.63,11.37,0,0,0,0,           ,1,0,0,0,0,0,1.02,1.11,1.09,0.75,0.82,0.84,1.12
2025/08/04-10:15,6120.6,6125,6112.8,6118.6,946,6113.73,6111.25,6110.77,6116.54,6134.54,6118.57,6100.98,6117.56,6115.8,6119.6,6099,6090.8,0,9.46,12.07,11.53,11.36,0,0,0,0,           ,1,0,0,0,0,0,1.02,1.06,1.05,0.78,0.82,0.83,0.99,0,9.46,12.07,11.53,11.36,0,0,0,0,           ,1,0,0,0,0,0,1.02,1.06,1.05,0.78,0.82,0.83,0.99
2025/08/04-10:20,6119,6126,6119,6124.6,784,6116.83,6113.31,6111.88,6116.87,6134.33,6122.49,6102.25,6118.71,6115.8,6119.6,6099,6090.8,0,7.84,11.3,11.35,11.32,0,0,0,0,           ,1,0,0,0,0,0,1,1,1,0.69,0.69,0.69,0.83,0,7.84,11.3,11.35,11.32,0,0,0,0,           ,1,0,0,0,0,0,1,1,1,0.69,0.69,0.69,0.83
2025/08/04-10:25,6125.6,6130,6122.8,6126.4,737,6119.57,6115.32,6113.04,6117.25,6134.17,6126.4,6103.52,6119.86,6126.4,6119.6,6099,6090.8,0,7.37,10.59,11.15,11.28,0,0,0,0,           ,1,0,0,0,0,0,0.99,0.94,0.95,0.7,0.66,0.65,0.94,0,7.37,10.59,11.15,11.28,0,0,0,0,           ,1,0,0,0,0,0,0.99,0.94,0.95,0.7,0.66,0.65,0.94
2025/08/04-10:30,6127.4,6129.2,6120,6121,510,6119.98,6116.19,6113.68,6117.41,6133.9,6123.7,6104.79,6121.01,6126.4,6119.6,6099,6090.8,0,5.1,9.59,10.86,11.22,0,0,0,0,           ,1,0,0,0,0,0,0.97,0.85,0.88,0.53,0.47,0.45,0.69,0,5.1,9.59,10.86,11.22,0,0,0,0,           ,1,0,0,0,0,0,0.97,0.85,0.88,0.53,0.47,0.45,0.69
2025/08/04-10:35,6121.4,6126.2,6116.8,6117.8,776,6119.35,6116.44,6114.01,6117.42,6133.57,6121,6106.07,6122.16,6126.4,6119.6,6099,6090.8,0,7.76,9.26,10.71,11.19,0,0,0,0,           ,0,1,0,1,0,0,0.96,0.83,0.86,0.84,0.72,0.69,1.52,0,7.76,9.26,10.71,11.19,0,0,0,0,           ,0,1,0,1,0,0,0.96,0.83,0.86,0.84,0.72,0.69,1.52
2025/08/04-10:40,6118,6122.6,6112.6,6112.6,568,6117.42,6115.85,6113.89,6117.23,6133.13,6118.3,6107.34,6123.31,6126.4,6119.6,6099,6090.8,0,5.68,8.61,10.46,11.13,0,0,0,0,           ,1,0,0,0,0,0,0.94,0.77,0.82,0.66,0.54,0.51,0.73,0,5.68,8.61,10.46,11.13,0,0,0,0,           ,1,0,0,0,0,0,0.94,0.77,0.82,0.66,0.54,0.51,0.73
2025/08/04-10:45,6113.6,6124.2,6112.6,6123,482,6119.02,6116.95,6114.62,6117.46,6132.92,6115.6,6108.61,6124.46,6126.4,6119.6,6099,6090.8,0,4.82,7.92,10.19,11.07,0,0,0,0,           ,1,0,0,0,0,0,0.92,0.72,0.78,0.61,0.47,0.44,0.85,0,4.82,7.92,10.19,11.07,0,0,0,0,           ,1,0,0,0,0,0,0.92,0.72,0.78,0.61,0.47,0.44,0.85
2025/08/04-10:50,6123,6125,6115,6115.2,481,6117.93,6116.68,6114.67,6117.37,6132.56,6112.9,6109.88,6125.61,6126.4,6119.6,6099,6090.8,0,4.81,7.35,9.93,11.01,0,0,0,0,           ,1,0,0,0,0,0,0.9,0.67,0.74,0.65,0.48,0.44,1,0,4.81,7.35,9.93,11.01,0,0,0,0,           ,1,0,0,0,0,0,0.9,0.67,0.74,0.65,0.48,0.44,1
2025/08/04-10:55,6116,6118.6,6108.2,6110.2,440,6115.72,6115.68,6114.31,6117.08,6132.1,6110.2,6111.16,6126.76,6126.4,6119.6,6110.2,6090.8,0,4.4,6.82,9.66,10.94,0,0,0,0,           ,1,0,0,0,0,0,0.88,0.62,0.71,0.65,0.46,0.4,0.91,0,4.4,6.82,9.66,10.94,0,0,0,0,           ,1,0,0,0,0,0,0.88,0.62,0.71,0.65,0.46,0.4,0.91
2025/08/04-11:00,6110.8,6114.2,6109.4,6110.4,394,6114.2,6114.87,6114,6116.81,6131.65,6112.23,6112.43,6127.91,6126.4,6119.6,6110.2,6090.8,0,3.94,6.29,9.38,10.87,0,0,0,0,           ,1,0,0,0,0,0,0.86,0.58,0.67,0.63,0.42,0.36,0.9,0,3.94,6.29,9.38,10.87,0,0,0,0,           ,1,0,0,0,0,0,0.86,0.58,0.67,0.63,0.42,0.36,0.9
2025/08/04-11:05,6110.4,6117.8,6107.8,6115,491,6114.43,6114.89,6114.08,6116.73,6131.31,6114.25,6113.7,6129.06,6126.4,6119.6,6110.2,6090.8,0,4.91,6.04,9.16,10.81,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.56,0.66,0.81,0.54,0.45,1.25,0,4.91,6.04,9.16,10.81,0,0,0,0,           ,0,1,0,0,0,0,0.85,0.56,0.66,0.81,0.54,0.45,1.25
2025/08/04-11:10,6114.8,6118.8,6112.8,6118.8,317,6115.68,6115.49,6114.46,6116.82,6131.05,6116.28,6114.97,6130.21,6126.4,6119.6,6110.2,6090.8,0,3.17,5.52,8.87,10.73,1,0,0,0,           ,1,0,0,0,0,0,0.83,0.51,0.62,0.57,0.36,0.3,0.65,0,3.17,5.52,8.87,10.73,1,0,0,0,           ,1,0,0,0,0,0,0.83,0.51,0.62,0.57,0.36,0.3,0.65
2025/08/04-11:15,6117.8,6117.8,6113,6115,231,6115.48,6115.42,6114.5,6116.74,6130.72,6118.3,6116.24,6131.36,6126.4,6119.6,6110.2,6090.8,0,2.31,4.94,8.55,10.65,1,0,0,0,           ,1,0,0,0,0,0,0.8,0.46,0.58,0.47,0.27,0.22,0.73,0,2.31,4.94,8.55,10.65,1,0,0,0,           ,1,0,0,0,0,0,0.8,0.46,0.58,0.47,0.27,0.22,0.73
2025/08/04-11:20,6115.4,6122.4,6115.4,6118.6,474,6116.37,6115.91,6114.83,6116.82,6130.47,6120.33,6117.52,6132.51,6126.4,6119.6,6110.2,6090.8,0,4.74,4.9,8.36,10.59,0,0,0,0,           ,0,1,0,1,0,0,0.79,0.46,0.59,0.97,0.57,0.45,2.05,0,4.74,4.9,8.36,10.59,0,0,0,0,           ,0,1,0,1,0,0,0.79,0.46,0.59,0.97,0.57,0.45,2.05
2025/08/04-11:25,6118,6131,6118,6121.8,903,6117.92,6116.81,6115.39,6117.02,6130.29,6122.35,6118.79,6133.66,6126.4,6119.6,6110.2,6090.8,0,9.03,5.65,8.39,10.58,0,0,0,0,           ,0,0,1,1,0,0,0.79,0.53,0.67,1.6,1.08,0.85,1.91,0,9.03,5.65,8.39,10.58,0,0,0,0,           ,0,0,1,1,0,0,0.79,0.53,0.67,1.6,1.08,0.85,1.91
2025/08/04-11:30,6121.6,6122.6,6110,6110.2,579,6115.72,6115.8,6114.97,6116.74,6129.88,6124.38,6120.06,6134.81,6126.4,6119.6,6110.2,6090.8,0,5.79,5.68,8.27,10.53,0,0,0,0,           ,0,1,0,0,0,0,0.79,0.54,0.69,1.02,0.7,0.55,0.64,0,5.79,5.68,8.27,10.53,0,0,0,0,           ,0,1,0,0,0,0,0.79,0.54,0.69,1.02,0.7,0.55,0.64
2025/08/04-13:05,6109.6,6130,6109.6,6123.6,1029,6117.97,6117,6115.66,6117.02,6129.75,6126.41,6121.33,6135.96,6126.4,6119.6,6110.2,6090.8,0,10.29,6.52,8.37,10.53,0,0,0,0,           ,0,0,1,1,0,0,0.79,0.62,0.78,1.58,1.23,0.98,1.78,0,10.29,6.52,8.37,10.53,0,0,0,0,           ,0,0,1,1,0,0,0.79,0.62,0.78,1.58,1.23,0.98,1.78
2025/08/04-13:10,6123.8,6130,6121.2,6124.6,651,6119.86,6118.17,6116.38,6117.33,6129.64,6128.43,6122.61,6137.11,6126.4,6119.6,6110.2,6090.8,0,6.51,6.51,8.28,10.49,0,0,0,0,           ,0,1,0,0,0,0,0.79,0.62,0.79,1,0.79,0.62,0.63,0,6.51,6.51,8.28,10.49,0,0,0,0,           ,0,1,0,0,0,0,0.79,0.62,0.79,1,0.79,0.62,0.63
2025/08/04-13:15,6124.6,6125.6,6118,6118,413,6119.33,6118.14,6116.51,6117.36,6129.4,6130.46,6123.88,6138.26,6126.4,6119.6,6110.2,6090.8,0,4.13,6.08,8.07,10.42,0,0,0,0,           ,1,0,0,0,0,0,0.77,0.58,0.75,0.68,0.51,0.4,0.63,0,4.13,6.08,8.07,10.42,0,0,0,0,           ,1,0,0,0,0,0,0.77,0.58,0.75,0.68,0.51,0.4,0.63
2025/08/04-13:20,6117.8,6129.8,6116.4,6129.8,520,6122.32,6119.93,6117.57,6117.87,6129.41,6132.48,6125.15,6139.41,6126.4,6119.6,6110.2,6090.8,0,5.2,5.92,7.93,10.37,0,0,0,0,           ,0,1,0,0,0,0,0.76,0.57,0.75,0.88,0.66,0.5,1.26,0,5.2,5.92,7.93,10.37,0,0,0,0,           ,0,1,0,0,0,0,0.76,0.57,0.75,0.88,0.66,0.5,1.26
2025/08/04-13:25,6129.4,6132.2,6126.8,6130,765,6124.52,6121.48,6118.56,6118.36,6129.42,6134.51,6126.42,6140.56,6126.4,6119.6,6110.2,6090.8,0,7.65,6.24,7.92,10.34,0,0,0,0,           ,0,0,1,0,0,0,0.77,0.6,0.79,1.23,0.97,0.74,1.47,0,7.65,6.24,7.92,10.34,0,0,0,0,           ,0,0,1,0,0,0,0.77,0.6,0.79,1.23,0.97,0.74,1.47
2025/08/04-13:30,6130.2,6132.8,6127,6130.6,406,6126.25,6122.89,6119.53,6118.86,6129.45,6136.53,6127.69,6141.71,6126.4,6119.6,6110.2,6090.8,0,4.06,5.84,7.73,10.28,0,0,0,0,           ,1,0,0,0,0,0,0.75,0.57,0.76,0.7,0.53,0.39,0.53,0,4.06,5.84,7.73,10.28,0,0,0,0,           ,1,0,0,0,0,0,0.75,0.57,0.76,0.7,0.53,0.39,0.53
2025/08/04-13:35,6131.2,6135,6124,6125.2,788,6125.95,6123.24,6119.98,6119.12,6129.36,6138.56,6128.97,6142.86,6126.4,6119.6,6110.2,6090.8,0,7.88,6.21,7.74,10.26,0,0,0,0,           ,0,0,1,1,0,0,0.75,0.61,0.8,1.27,1.02,0.77,1.94,0,7.88,6.21,7.74,10.26,0,0,0,0,           ,0,0,1,1,0,0,0.75,0.61,0.8,1.27,1.02,0.77,1.94
2025/08/04-13:40,6125.4,6128.2,6123,6125.6,326,6125.85,6123.6,6120.43,6119.38,6129.28,6140.58,6130.24,6144.01,6126.4,6119.6,6110.2,6090.8,0,3.26,5.67,7.52,10.19,1,0,0,0,           ,1,0,0,0,0,0,0.74,0.56,0.75,0.57,0.43,0.32,0.41,0,3.26,5.67,7.52,10.19,1,0,0,0,           ,1,0,0,0,0,0,0.74,0.56,0.75,0.57,0.43,0.32,0.41
2025/08/04-13:45,6125.4,6129.8,6124.4,6128.8,414,6126.69,6124.4,6121.1,6119.77,6129.27,6142.61,6131.51,6145.17,6126.4,6119.6,6110.2,6090.8,0,4.14,5.4,7.35,10.13,0,0,0,0,           ,1,0,0,0,0,0,0.73,0.53,0.73,0.77,0.56,0.41,1.27,0,4.14,5.4,7.35,10.13,0,0,0,0,           ,1,0,0,0,0,0,0.73,0.53,0.73,0.77,0.56,0.41,1.27
2025/08/04-13:50,6128,6129.8,6125,6126.8,323,6126.72,6124.77,6121.56,6120.06,6129.22,6144.64,6132.78,6146.32,6126.4,6119.6,6110.2,6090.8,0,3.23,5,7.15,10.06,1,0,0,0,           ,1,0,0,0,0,0,0.71,0.5,0.7,0.65,0.45,0.32,0.78,0,3.23,5,7.15,10.06,1,0,0,0,           ,1,0,0,0,0,0,0.71,0.5,0.7,0.65,0.45,0.32,0.78
2025/08/04-13:55,6127,6131.2,6126.2,6126.6,409,6126.69,6125.05,6121.96,6120.32,6129.17,6146.66,6134.06,6147.47,6126.4,6119.6,6110.2,6090.8,0,4.09,4.84,7,10,0,0,0,0,           ,0,1,0,0,0,0,0.7,0.48,0.69,0.85,0.58,0.41,1.27,0,4.09,4.84,7,10,0,0,0,0,           ,0,1,0,0,0,0,0.7,0.48,0.69,0.85,0.58,0.41,1.27
2025/08/04-14:00,6127.6,6129.2,6123,6127.2,601,6126.83,6125.38,6122.38,6120.6,6129.13,6148.69,6135.33,6148.62,6126.4,6119.6,6110.2,6090.8,0,6.01,5.05,6.96,9.96,0,0,0,0,           ,0,1,0,0,0,0,0.7,0.51,0.73,1.19,0.86,0.6,1.47,0,6.01,5.05,6.96,9.96,0,0,0,0,           ,0,1,0,0,0,0,0.7,0.51,0.73,1.19,0.86,0.6,1.47
2025/08/04-14:05,6127.2,6142.6,6127.2,6142.4,1035,6131.28,6128,6123.98,6121.49,6129.4,6150.71,6136.6,6149.77,6126.4,6119.6,6110.2,6090.8,0,10.35,6.01,7.12,9.96,0,0,0,0,           ,0,0,1,1,0,0,0.71,0.6,0.84,1.72,1.45,1.04,1.72,0,10.35,6.01,7.12,9.96,0,0,0,0,           ,0,0,1,1,0,0,0.71,0.6,0.84,1.72,1.45,1.04,1.72
2025/08/04-14:10,6142.8,6152.6,6140.6,6152.6,1576,6137.37,6131.79,6126.27,6122.76,6129.88,6152.74,6137.87,6150.92,6126.4,6119.6,6110.2,6090.8,0,15.76,7.79,7.54,10.02,0,0,0,0,           ,0,0,1,1,0,0,0.75,0.78,1.03,2.02,2.09,1.57,1.52,0,15.76,7.79,7.54,10.02,0,0,0,0,           ,0,0,1,1,0,0,0.75,0.78,1.03,2.02,2.09,1.57,1.52
